CPT_PERIODENDING	ZONEID	MW
2007-01-02 06:30:00	244	10773
2007-01-02 06:30:00	246	2579
2007-01-02 06:45:00	240	7706
2007-01-02 06:45:00	242	18868
2007-01-02 06:45:00	244	10817
2007-01-02 06:45:00	246	2578
2007-01-02 07:00:00	240	7706
2007-01-02 07:00:00	242	18868
2007-01-02 07:00:00	244	10850
2007-01-02 07:00:00	246	2581
2007-01-02 07:15:00	240	7699
2007-01-02 07:15:00	242	19267
2007-01-02 07:15:00	244	10989
2007-01-02 07:15:00	246	2471
2007-01-02 07:30:00	240	7659
2007-01-02 07:30:00	242	19267
2007-01-02 07:30:00	244	11020
2007-01-02 07:30:00	246	2471
2007-01-02 07:45:00	240	7619
2007-01-02 07:45:00	242	19267
2007-01-02 07:45:00	244	11028
2007-01-02 07:45:00	246	2472
2007-01-02 08:00:00	240	7579
2007-01-02 08:00:00	242	19267
2007-01-02 08:00:00	244	11011
2007-01-02 08:00:00	246	2473
2007-01-02 08:15:00	240	7427
2007-01-02 08:15:00	242	18486
2007-01-02 08:15:00	244	10883
2007-01-02 08:15:00	246	2343
2007-01-02 08:30:00	240	7292
2007-01-02 08:30:00	242	18499
2007-01-02 08:30:00	244	10863
2007-01-02 08:30:00	246	2331
2007-01-02 08:45:00	240	7142
2007-01-02 08:45:00	242	18507
2007-01-02 08:45:00	244	10835
2007-01-02 08:45:00	246	2329
2007-01-02 09:00:00	240	6992
2007-01-02 09:00:00	242	18509
2007-01-02 09:00:00	244	10799
2007-01-02 09:00:00	246	2331
2007-01-02 09:15:00	240	6919
2007-01-02 09:15:00	242	18102
2007-01-02 09:15:00	244	10851
2007-01-02 09:15:00	246	2286
2007-01-02 09:30:00	240	6909
2007-01-02 09:30:00	242	18103
2007-01-02 09:30:00	244	10815
2007-01-02 09:30:00	246	2287
2007-01-02 09:45:00	240	6899
2007-01-02 09:45:00	242	18107
2007-01-02 09:45:00	244	10741
2007-01-02 09:45:00	246	2283
2007-01-02 10:00:00	240	6889
2007-01-02 10:00:00	242	18113
2007-01-02 10:00:00	244	10637
2007-01-02 10:00:00	246	2277
2007-01-02 10:15:00	240	6904
2007-01-02 10:15:00	242	17454
2007-01-02 10:15:00	244	10543
2007-01-02 10:15:00	246	2327
2007-01-02 10:30:00	240	6904
2007-01-02 10:30:00	242	17473
2007-01-02 10:30:00	244	10491
2007-01-02 10:30:00	246	2308
2007-01-02 10:45:00	240	6904
2007-01-02 10:45:00	242	17528
2007-01-02 10:45:00	244	10429
2007-01-02 10:45:00	246	2254
2007-01-02 11:00:00	240	6904
2007-01-02 11:00:00	242	17617
2007-01-02 11:00:00	244	10357
2007-01-02 11:00:00	246	2166
2007-01-02 11:15:00	240	6854
2007-01-02 11:15:00	242	17019
2007-01-02 11:15:00	244	10162
2007-01-02 11:15:00	246	1899
2007-01-02 11:30:00	240	6854
2007-01-02 11:30:00	242	17110
2007-01-02 11:30:00	244	10107
2007-01-02 11:30:00	246	1808
2007-01-02 11:45:00	240	6854
2007-01-02 11:45:00	242	17167
2007-01-02 11:45:00	244	10075
2007-01-02 11:45:00	246	1758
2007-01-02 12:00:00	240	6854
2007-01-02 12:00:00	242	17190
2007-01-02 12:00:00	244	10068
2007-01-02 12:00:00	246	1736
2007-01-02 12:15:00	240	6380
2007-01-02 12:15:00	242	16285
2007-01-02 12:15:00	244	9940
2007-01-02 12:15:00	246	1855
2007-01-02 12:30:00	240	6380
2007-01-02 12:30:00	242	16299
2007-01-02 12:30:00	244	9941
2007-01-02 12:30:00	246	1844
2007-01-02 12:45:00	240	6380
2007-01-02 12:45:00	242	16318
2007-01-02 12:45:00	244	9923
2007-01-02 12:45:00	246	1846
2007-01-02 13:00:00	240	6380
2007-01-02 13:00:00	242	16542
2007-01-02 13:00:00	244	9888
2007-01-02 13:00:00	246	2024
2007-01-02 13:15:00	240	6306
2007-01-02 13:15:00	242	15727
2007-01-02 13:15:00	244	9800
2007-01-02 13:15:00	246	1713
2007-01-02 13:30:00	240	6306
2007-01-02 13:30:00	242	15773
2007-01-02 13:30:00	244	9774
2007-01-02 13:30:00	246	1667
2007-01-02 13:45:00	240	6306
2007-01-02 13:45:00	242	15823
2007-01-02 13:45:00	244	9746
2007-01-02 13:45:00	246	1617
2007-01-02 14:00:00	240	6306
2007-01-02 14:00:00	242	16076
2007-01-02 14:00:00	244	9716
2007-01-02 14:00:00	246	1765
2007-01-02 14:15:00	240	6299
2007-01-02 14:15:00	242	15521
2007-01-02 14:15:00	244	9648
2007-01-02 14:15:00	246	1485
2007-01-02 14:30:00	240	6299
2007-01-02 14:30:00	242	15570
2007-01-02 14:30:00	244	9622
2007-01-02 14:30:00	246	1436
2007-01-02 14:45:00	240	6299
2007-01-02 14:45:00	242	15602
2007-01-02 14:45:00	244	9595
2007-01-02 14:45:00	246	1404
2007-01-02 15:00:00	240	6299
2007-01-02 15:00:00	242	15665
2007-01-02 15:00:00	244	9571
2007-01-02 15:00:00	246	1486
2007-01-02 15:15:00	240	6292
2007-01-02 15:15:00	242	15470
2007-01-02 15:15:00	244	9472
2007-01-02 15:15:00	246	1383
2007-01-02 15:30:00	240	6292
2007-01-02 15:30:00	242	15478
2007-01-02 15:30:00	244	9459
2007-01-02 15:30:00	246	1375
2007-01-02 15:45:00	240	6292
2007-01-02 15:45:00	242	15483
2007-01-02 15:45:00	244	9458
2007-01-02 15:45:00	246	1370
2007-01-02 16:00:00	240	6292
2007-01-02 16:00:00	242	15684
2007-01-02 16:00:00	244	9467
2007-01-02 16:00:00	246	1466
2007-01-02 16:15:00	240	5975
2007-01-02 16:15:00	242	15580
2007-01-02 16:15:00	244	9799
2007-01-02 16:15:00	246	1366
2007-01-02 16:30:00	240	5975
2007-01-02 16:30:00	242	15572
2007-01-02 16:30:00	244	9806
2007-01-02 16:30:00	246	1374
2007-01-02 16:45:00	240	5989
2007-01-02 16:45:00	242	15548
2007-01-02 16:45:00	244	9804
