,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 10, 10:00 pm",9.585,29845.5,0.965358,199,8.74
"Jan 10, 11:00 pm",8.676,22901.8,0.964435,218,7.945
"Jan 11, 12:00 am",7.719,30639.2,0.964618,232,8.747
"Jan 11, 01:00 am",8.307,42610.4,0.964599,229,9.948
"Jan 11, 02:00 am",8.565,52299.3,0.964187,224,10.947
"Jan 11, 03:00 am",8.396,55734.2,0.963916,221,11.59
"Jan 11, 04:00 am",8.441,55312.3,0.962819,222,11.447
"Jan 11, 05:00 am",8.256,34230.8,0.962204,229,9.1
"Jan 11, 06:00 am",7.776,28742.6,0.961743,226,8.567
"Jan 11, 07:00 am",7.783,34210,0.961732,240,9.101
"Jan 11, 08:00 am",8.287,41490.5,0.961621,249,9.866
"Jan 11, 09:00 am",7.799,22508.2,0.961864,283,7.914
"Jan 11, 10:00 am",6.821,7358.3,0.962378,308,5.657
"Jan 11, 11:00 am",6.648,6865.68,0.962779,321,5.573
"Jan 11, 12:00 pm",6.583,5951.89,0.963135,328,5.448
"Jan 11, 01:00 pm",6.857,0,0.963462,335,3.494
"Jan 11, 02:00 pm",7.754,0,0.963808,360,3.548
"Jan 11, 03:00 pm",8.33,0,0.963871,357,3.39
"Jan 11, 04:00 pm",9.121,0,0.963715,353,3.128
"Jan 11, 05:00 pm",9.638,0,0.963589,344,2.41
"Jan 11, 06:00 pm",10.011,0,0.963499,328,1.799
"Jan 11, 07:00 pm",10.337,0,0.963396,311,2.004
"Jan 11, 08:00 pm",10.289,0,0.963478,312,2.193
"Jan 11, 09:00 pm",9.58,0,0.963916,307,2.235
"Jan 11, 10:00 pm",8.403,1509.06,0.964335,353,4.066
"Jan 11, 11:00 pm",6.667,26048.1,0.964927,0,8.245
"Jan 12, 12:00 am",5.974,17067.6,0.965311,7,7.165
"Jan 12, 01:00 am",5.13,9289.41,0.965916,23,6.076
"Jan 12, 02:00 am",3.782,26835.1,0.966508,6,8.29
"Jan 12, 03:00 am",2.432,34913.1,0.967006,349,9.061
"Jan 12, 04:00 am",0.985,18138.2,0.967359,341,7.307
"Jan 12, 05:00 am",0.377,7127.92,0.967728,325,5.606
