,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 10, 11:00 am",-2.997,60016.8,0.97688,212,12.473
"Jan 10, 12:00 pm",-2.663,59744.2,0.976359,214,12.099
"Jan 10, 01:00 pm",-1.523,49490.4,0.97585,214,10.469
"Jan 10, 02:00 pm",-0.449,25889.7,0.975343,213,8.203
"Jan 10, 03:00 pm",0.745,12080.8,0.974674,219,6.476
"Jan 10, 04:00 pm",1.528,6690.96,0.974192,232,5.514
"Jan 10, 05:00 pm",1.945,3307.93,0.973835,231,4.704
"Jan 10, 06:00 pm",2.095,2170.08,0.973536,224,4.302
"Jan 10, 07:00 pm",2.111,7915.79,0.973301,229,5.713
"Jan 10, 08:00 pm",0.582,30117.8,0.973559,230,8.598
"Jan 10, 09:00 pm",-0.124,49011.1,0.974141,247,10.392
"Jan 10, 10:00 pm",0.141,51182.8,0.974906,272,10.765
"Jan 10, 11:00 pm",-0.806,56441.2,0.975972,297,11.185
"Jan 11, 12:00 am",-2.681,53348.9,0.976933,330,10.858
"Jan 11, 01:00 am",-4.16,45420.1,0.977892,335,10.092
"Jan 11, 02:00 am",-5.112,55919.6,0.979052,330,11.086
"Jan 11, 03:00 am",-6.089,37518.4,0.97976,330,9.3
"Jan 11, 04:00 am",-7.119,40855.9,0.980298,329,9.625
"Jan 11, 05:00 am",-8.201,35886.8,0.9811,333,9.113
"Jan 11, 06:00 am",-8.898,20116.9,0.982121,348,7.37
"Jan 11, 07:00 am",-10.187,29559,0.983121,351,8.371
"Jan 11, 08:00 am",-11.31,31657.1,0.984088,352,8.566
"Jan 11, 09:00 am",-12.057,30157.1,0.985171,353,8.406
"Jan 11, 10:00 am",-12.629,28781.2,0.98603,356,8.261
"Jan 11, 11:00 am",-13.155,27027.4,0.986897,5,8.083
"Jan 11, 12:00 pm",-13.549,19933.4,0.9875,4,7.298
"Jan 11, 01:00 pm",-13.208,7630.37,0.98811,1,5.575
"Jan 11, 02:00 pm",-12.28,2809.83,0.988166,3,4.466
"Jan 11, 03:00 pm",-11.205,1496.19,0.988199,1,3.996
"Jan 11, 04:00 pm",-10.09,1001.34,0.988274,357,3.777
"Jan 11, 05:00 pm",-9.302,0,0.988437,359,3.13
"Jan 11, 06:00 pm",-8.797,0,0.988684,1,2.476
"Jan 11, 07:00 pm",-8.62,0,0.988809,2,2.106
"Jan 11, 08:00 pm",-8.879,0,0.988952,12,2.181
"Jan 11, 09:00 pm",-9.477,0,0.989303,54,2.852
"Jan 11, 10:00 pm",-10.403,838.76,0.989729,82,3.723
"Jan 11, 11:00 pm",-10.941,1064.98,0.990035,75,3.805
"Jan 12, 12:00 am",-11.184,1357.46,0.990278,72,3.933
"Jan 12, 01:00 am",-11.313,1648.54,0.990618,76,4.066
"Jan 12, 02:00 am",-11.797,2982.61,0.990622,72,4.525
"Jan 12, 03:00 am",-11.77,1357.46,0.990328,78,3.94
"Jan 12, 04:00 am",-11.674,0,0.990072,73,3.476
"Jan 12, 05:00 am",-11.652,1489.26,0.989937,73,3.991
"Jan 12, 06:00 am",-11.733,2468.52,0.989766,71,4.354
"Jan 12, 07:00 am",-11.717,3748.83,0.989419,67,4.758
"Jan 12, 08:00 am",-11.588,5253.81,0.988854,64,5.125
"Jan 12, 09:00 am",-10.965,7249.57,0.988456,64,5.532
"Jan 12, 10:00 am",-10.326,12080.9,0.988124,66,6.324
"Jan 12, 11:00 am",-9.92,17181.6,0.987497,67,7.025
"Jan 12, 12:00 pm",-9.261,26531.4,0.986695,73,8.094
"Jan 12, 01:00 pm",-8.088,36876.7,0.985939,75,9.084
"Jan 12, 02:00 pm",-6.63,38869.7,0.984704,72,9.335
"Jan 12, 03:00 pm",-5.989,43062.5,0.983082,67,9.731
"Jan 12, 04:00 pm",-5.429,55489.8,0.981211,65,10.895
"Jan 12, 05:00 pm",-5.241,57598,0.979679,63,11.188
"Jan 12, 06:00 pm",-5.368,51555.8,0.978521,58,10.521
"Jan 12, 07:00 pm",-6.174,56864.2,0.97712,55,11.087
"Jan 12, 08:00 pm",-7.207,59326.1,0.975695,51,11.451
"Jan 12, 09:00 pm",-7.609,59581.3,0.974689,48,11.527
"Jan 12, 10:00 pm",-6.347,59444.6,0.973823,49,11.606
"Jan 12, 11:00 pm",-4.898,51060.1,0.972999,51,10.505
"Jan 13, 12:00 am",-4.947,41160,0.971998,43,9.617
"Jan 13, 01:00 am",-5.017,39786.2,0.971181,39,9.505
"Jan 13, 02:00 am",-4.801,32011.3,0.970442,34,8.777
"Jan 13, 03:00 am",-4.817,25276.4,0.969628,23,8.14
"Jan 13, 04:00 am",-4.924,24941.6,0.969113,13,8.01
"Jan 13, 05:00 am",-5.224,19495.3,0.968779,1,7.364
"Jan 13, 06:00 am",-5.628,14447.3,0.968662,354,6.764
"Jan 13, 07:00 am",-5.785,8854.8,0.96851,348,5.853
"Jan 13, 08:00 am",-5.77,2145.27,0.968342,345,4.278
"Jan 13, 09:00 am",-5.692,0,0.968224,344,3.027
"Jan 13, 10:00 am",-5.752,0,0.968017,353,1.737
"Jan 13, 11:00 am",-5.565,0,0.96767,60,0.676
"Jan 13, 12:00 pm",-5.081,0,0.967311,156,2.361
"Jan 13, 01:00 pm",-3.896,2570.94,0.966358,148,4.465
"Jan 13, 02:00 pm",-1.952,4623.97,0.964887,149,5.091
"Jan 13, 03:00 pm",-0.488,4831.28,0.963139,139,5.101
"Jan 13, 04:00 pm",1.116,15759.9,0.961096,134,6.985
"Jan 13, 05:00 pm",2.661,35021.5,0.958436,130,9.129
"Jan 13, 06:00 pm",4.054,48012.6,0.956413,140,10.448
"Jan 13, 07:00 pm",5.276,56928.2,0.954984,174,12.765
"Jan 13, 08:00 pm",4.92,56971.3,0.954485,202,14.759
"Jan 13, 09:00 pm",2.466,57499.3,0.95483,213,13.854
"Jan 13, 10:00 pm",1.264,57787.6,0.955432,218,13.752
"Jan 13, 11:00 pm",-0.011,58097,0.956085,223,15.704
"Jan 14, 12:00 am",-1.21,58388.4,0.956662,227,15.323
"Jan 14, 01:00 am",-2.555,58733.8,0.957562,229,15.545
"Jan 14, 02:00 am",-3.557,58995.4,0.958265,229,16.977
"Jan 14, 03:00 am",-3.065,58944.1,0.959179,234,14.933
"Jan 14, 04:00 am",-1.935,58757.2,0.960139,240,14.443
"Jan 14, 05:00 am",-1.714,58793.6,0.961515,247,15.216
"Jan 14, 06:00 am",-2.391,59031,0.962991,253,14.507
"Jan 14, 07:00 am",-3.831,59435.1,0.964425,255,15.23
"Jan 14, 08:00 am",-5.232,59837.4,0.965903,257,13.831
"Jan 14, 09:00 am",-6.785,57678,0.96769,264,11.404
"Jan 14, 10:00 am",-8.28,44332.7,0.969382,268,10.015
"Jan 14, 11:00 am",-8.839,39890,0.970541,266,9.598
"Jan 14, 12:00 pm",-9.335,49678.4,0.971366,270,10.473
"Jan 14, 01:00 pm",-9.29,15828.1,0.97226,289,6.905
"Jan 14, 02:00 pm",-8.678,5894.42,0.973031,304,5.308
"Jan 14, 03:00 pm",-8.227,7222.62,0.973479,297,5.556
"Jan 14, 04:00 pm",-7.986,3779.46,0.973851,289,4.796
"Jan 14, 05:00 pm",-7.799,5322.38,0.974241,311,5.173
"Jan 14, 06:00 pm",-8.157,13803.7,0.974852,318,6.656
"Jan 14, 07:00 pm",-9.304,17672.1,0.975545,324,7.136
"Jan 14, 08:00 pm",-11.439,35288.9,0.976257,326,8.969
"Jan 14, 09:00 pm",-13.529,62015.5,0.977265,329,11.991
"Jan 14, 10:00 pm",-14.706,62463.5,0.978423,331,12.059
"Jan 14, 11:00 pm",-15.669,57751.4,0.979511,331,11.041
"Jan 15, 12:00 am",-16.33,21140.1,0.980359,334,7.53
"Jan 15, 01:00 am",-17.109,11172.1,0.981121,339,6.184
"Jan 15, 02:00 am",-17.794,12915.3,0.981882,335,6.513
"Jan 15, 03:00 am",-18.171,15115.3,0.982328,332,6.824
"Jan 15, 04:00 am",-18.409,23284.1,0.982828,334,7.753
"Jan 15, 05:00 am",-18.735,32534.2,0.983365,335,8.682
"Jan 15, 06:00 am",-18.917,38487,0.983973,331,9.195
"Jan 15, 07:00 am",-19.326,40367.8,0.98459,331,9.384
"Jan 15, 08:00 am",-19.805,31581.2,0.985379,332,8.573
"Jan 15, 09:00 am",-20.126,35784.3,0.986221,330,8.923
"Jan 15, 10:00 am",-20.287,38038,0.987142,330,9.114
"Jan 15, 11:00 am",-20.302,36336.4,0.988007,331,8.969
"Jan 15, 12:00 pm",-20.092,33704,0.988803,333,8.758
"Jan 15, 01:00 pm",-19.127,18710.2,0.989557,332,7.21
"Jan 15, 02:00 pm",-17.959,15654.8,0.989991,332,6.877
"Jan 15, 03:00 pm",-16.771,14675.8,0.990042,329,6.748
"Jan 15, 04:00 pm",-15.757,18185.1,0.990105,321,7.093
"Jan 15, 05:00 pm",-14.884,26535.2,0.990196,318,8.016
"Jan 15, 06:00 pm",-14.452,37170.1,0.990403,317,8.987
"Jan 15, 07:00 pm",-14.443,36632,0.990729,317,8.941
"Jan 15, 08:00 pm",-15.277,36269.3,0.991309,312,8.901
"Jan 15, 09:00 pm",-16.336,50485.8,0.992207,307,10.144
"Jan 15, 10:00 pm",-16.801,64305.5,0.993204,316,12.602
"Jan 15, 11:00 pm",-17.067,64429.1,0.99408,319,13.767
"Jan 16, 12:00 am",-17.082,64473.3,0.994705,317,14.147
"Jan 16, 01:00 am",-16.876,64469.4,0.995444,320,14.003
"Jan 16, 02:00 am",-16.911,64519.3,0.996079,322,12.865
"Jan 16, 03:00 am",-17.065,64574.3,0.996329,322,12.494
"Jan 16, 04:00 am",-16.656,64482.1,0.996496,318,13.077
"Jan 16, 05:00 am",-16.013,64342.9,0.996836,318,13.223
"Jan 16, 06:00 am",-16.046,64376.5,0.99723,320,13.103
"Jan 16, 07:00 am",-15.73,64281.5,0.997612,320,12.135
"Jan 16, 08:00 am",-16.423,37601,0.998097,317,8.975
"Jan 16, 09:00 am",-17.685,10465.8,0.998679,316,6.004
"Jan 16, 10:00 am",-17.203,16028.9,0.998939,320,6.824
"Jan 16, 11:00 am",-17.267,12947.7,0.999257,318,6.406
"Jan 16, 12:00 pm",-16.992,7134.21,0.999563,318,5.472
"Jan 16, 01:00 pm",-14.268,4332.71,0.999627,307,4.896
"Jan 16, 02:00 pm",-12.254,0,0.999371,296,3.507
"Jan 16, 03:00 pm",-10.613,0,0.99889,285,2.257
"Jan 16, 04:00 pm",-9.002,0,0.997896,238,1.756
"Jan 16, 05:00 pm",-7.922,0,0.997001,202,3.395
"Jan 16, 06:00 pm",-7.804,1774.83,0.996126,202,4.151
"Jan 16, 07:00 pm",-7.945,6120.95,0.995116,198,5.349
"Jan 16, 08:00 pm",-8.951,25146.2,0.99404,197,7.957
"Jan 16, 09:00 pm",-8.945,42194.2,0.993203,191,9.566
"Jan 16, 10:00 pm",-7.383,52749.4,0.992359,200,10.595
"Jan 16, 11:00 pm",-6.681,59254.2,0.991614,210,11.412
"Jan 17, 12:00 am",-6.15,61574,0.990529,214,14.243
"Jan 17, 01:00 am",-5.849,61449.2,0.989637,211,14.642
"Jan 17, 02:00 am",-4.97,61179.7,0.988536,211,14.692
"Jan 17, 03:00 am",-4.112,60902.3,0.987202,211,14.769
"Jan 17, 04:00 am",-3.691,60719,0.985772,214,14.111
"Jan 17, 05:00 am",-3.556,60617.6,0.984618,215,12.884
"Jan 17, 06:00 am",-3.646,57341.7,0.983865,216,11.196
"Jan 17, 07:00 am",-3.633,50595.1,0.983047,218,10.451
"Jan 17, 08:00 am",-3.395,46434.4,0.982419,219,10.045
"Jan 17, 09:00 am",-3.132,43143.2,0.982145,221,9.78
"Jan 17, 10:00 am",-2.742,38579.9,0.981785,221,9.37
"Jan 17, 11:00 am",-2.471,37006.8,0.981474,222,9.186
"Jan 17, 12:00 pm",-2.211,39638.6,0.981177,226,9.478
