,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind speed | (m/s)","Wind direction | (deg)"
"Mar 28, 10:00 pm",14.483,36540,0.972352,9.564,264
"Mar 28, 11:00 pm",12.912,34786.4,0.972502,9.347,267
"Mar 29, 12:00 am",12.268,27743.1,0.972794,8.606,274
"Mar 29, 01:00 am",11.931,21635.9,0.973108,7.873,278
"Mar 29, 02:00 am",11.305,11159.7,0.973296,6.393,282
"Mar 29, 03:00 am",10.474,12976.7,0.973384,6.698,283
"Mar 29, 04:00 am",9.948,20269.6,0.973259,7.59,290
"Mar 29, 05:00 am",9.494,13591.3,0.97326,6.759,306
"Mar 29, 06:00 am",8.665,12154.8,0.973514,6.535,316
"Mar 29, 07:00 am",9.405,17118,0.973654,7.281,332
"Mar 29, 08:00 am",8.936,29005,0.973822,8.602,343
"Mar 29, 09:00 am",7.363,42388.9,0.974096,10.005,332
"Mar 29, 10:00 am",6.207,42613.4,0.974249,9.972,328
"Mar 29, 11:00 am",5.182,34010.8,0.974404,9.009,322
"Mar 29, 12:00 pm",5.726,23086.2,0.974746,7.996,335
"Mar 29, 01:00 pm",7.479,19651.6,0.975172,7.483,346
"Mar 29, 02:00 pm",9.028,19272.1,0.975601,7.455,345
"Mar 29, 03:00 pm",10.531,19890.1,0.975906,7.584,341
"Mar 29, 04:00 pm",11.991,20594.9,0.975832,7.731,337
"Mar 29, 05:00 pm",13.355,23506.9,0.975828,8.111,335
"Mar 29, 06:00 pm",14.364,26501.9,0.975773,8.458,334
"Mar 29, 07:00 pm",15.034,28071.7,0.975608,8.639,333
"Mar 29, 08:00 pm",15.269,33428.9,0.975556,9.182,334
"Mar 29, 09:00 pm",15.11,35552.1,0.975504,9.425,336
"Mar 29, 10:00 pm",14.486,35386.1,0.975696,9.355,340
"Mar 29, 11:00 pm",12.449,49996.5,0.976014,10.788,338
"Mar 30, 12:00 am",10.569,51896.4,0.976285,10.884,344
"Mar 30, 01:00 am",7.862,39473.5,0.976681,9.616,347
"Mar 30, 02:00 am",7.004,33479.2,0.977047,8.959,346
"Mar 30, 03:00 am",6.26,45886.6,0.977134,10.138,350
"Mar 30, 04:00 am",4.996,36818,0.977443,9.305,1
"Mar 30, 05:00 am",5.135,20179.3,0.977748,7.623,25
"Mar 30, 06:00 am",4.056,16709.4,0.978183,7.167,31
"Mar 30, 07:00 am",3.21,16743.9,0.978608,7.172,30
"Mar 30, 08:00 am",2.233,5608.95,0.978913,5.344,29
"Mar 30, 09:00 am",1.824,1405.25,0.9793,4.016,32
"Mar 30, 10:00 am",1.303,0,0.97983,3.159,33
"Mar 30, 11:00 am",0.392,0,0.980247,2.265,22
"Mar 30, 12:00 pm",2.378,0,0.98062,1.725,4
"Mar 30, 01:00 pm",6.448,0,0.98094,1.737,354
"Mar 30, 02:00 pm",9.555,0,0.98122,1.899,346
"Mar 30, 03:00 pm",11.902,0,0.981357,2.709,1
"Mar 30, 04:00 pm",13.444,0,0.981154,3.123,356
"Mar 30, 05:00 pm",14.545,0,0.98093,2.757,350
"Mar 30, 06:00 pm",15.564,0,0.980605,2.349,335
"Mar 30, 07:00 pm",16.45,0,0.980238,2.624,330
"Mar 30, 08:00 pm",16.911,0,0.979872,1.876,323
"Mar 30, 09:00 pm",17.039,0,0.97957,1.674,268
"Mar 30, 10:00 pm",16.737,0,0.979318,2.908,242
"Mar 30, 11:00 pm",13.718,693.71,0.979147,3.675,240
"Mar 31, 12:00 am",11.186,0,0.979117,2.609,234
"Mar 31, 01:00 am",10.272,0,0.979278,2.565,241
"Mar 31, 02:00 am",9.246,0,0.979522,2.947,230
"Mar 31, 03:00 am",8.31,0,0.979541,3.081,231
"Mar 31, 04:00 am",7.18,0,0.979555,3.135,229
"Mar 31, 05:00 am",6.262,0,0.979854,3.455,236
"Mar 31, 06:00 am",5.551,0,0.980257,3.358,231
"Mar 31, 07:00 am",4.992,0,0.980449,2.948,233
"Mar 31, 08:00 am",4.396,0,0.980745,2.257,210
"Mar 31, 09:00 am",4.098,0,0.980929,2.407,190
"Mar 31, 10:00 am",4.067,0,0.98123,2.752,175
"Mar 31, 11:00 am",3.957,0,0.981437,3.248,178
"Mar 31, 12:00 pm",6.372,0,0.981783,3.478,167
"Mar 31, 01:00 pm",10.219,0,0.982111,3.159,165
"Mar 31, 02:00 pm",13.955,0,0.982119,2.016,156
"Mar 31, 03:00 pm",17.101,0,0.98206,2.323,197
"Mar 31, 04:00 pm",19.545,0,0.981625,3.439,213
"Mar 31, 05:00 pm",21.169,1222.98,0.98122,3.956,215
"Mar 31, 06:00 pm",22.166,2386.61,0.980937,4.464,213
"Mar 31, 07:00 pm",22.794,3958.85,0.980738,4.99,213
"Mar 31, 08:00 pm",23.137,3500.92,0.980391,4.875,210
"Mar 31, 09:00 pm",23.184,5703.95,0.980155,5.468,206
"Mar 31, 10:00 pm",22.459,6230.33,0.980022,5.576,206
"Mar 31, 11:00 pm",18.604,11849.1,0.98003,6.537,185
"Apr 1, 12:00 am",15.614,23038.3,0.980171,8.031,200
"Apr 1, 01:00 am",13.845,33621.3,0.98051,9.172,206
"Apr 1, 02:00 am",12.792,37811.7,0.98087,9.619,210
"Apr 1, 03:00 am",11.711,40275.1,0.980979,9.841,210
"Apr 1, 04:00 am",10.788,36985.1,0.980934,9.508,210
"Apr 1, 05:00 am",10.245,30086.7,0.981129,8.77,210
"Apr 1, 06:00 am",9.682,29257.1,0.981434,8.663,212
"Apr 1, 07:00 am",9.18,30367.8,0.98171,8.739,214
"Apr 1, 08:00 am",8.458,27662.9,0.981933,8.453,214
"Apr 1, 09:00 am",8.316,21013.2,0.982112,7.651,220
"Apr 1, 10:00 am",7.741,12437.1,0.98249,6.555,224
"Apr 1, 11:00 am",7.426,7616.46,0.98268,5.687,217
"Apr 1, 12:00 pm",9.936,8434.59,0.983027,5.886,214
"Apr 1, 01:00 pm",12.988,0,0.983277,3.17,210
"Apr 1, 02:00 pm",15.98,0,0.983331,2.794,207
"Apr 1, 03:00 pm",18.757,0,0.983154,3.284,203
"Apr 1, 04:00 pm",20.99,1176.48,0.982711,3.956,205
"Apr 1, 05:00 pm",22.769,1914.25,0.982256,4.296,203
"Apr 1, 06:00 pm",24.203,2889.63,0.981764,4.673,202
"Apr 1, 07:00 pm",25.143,5176.31,0.98131,5.328,202
"Apr 1, 08:00 pm",25.499,6336.66,0.980893,5.543,196
"Apr 1, 09:00 pm",25.448,7346.52,0.98057,5.705,192
"Apr 1, 10:00 pm",24.731,9241.97,0.980388,6.066,189
"Apr 1, 11:00 pm",21.184,17775.6,0.98003,7.357,195
"Apr 2, 12:00 am",17.243,21235.2,0.979903,7.82,199
"Apr 2, 01:00 am",15.491,20889.2,0.979949,7.758,199
"Apr 2, 02:00 am",14.115,41057.2,0.980073,9.952,204
"Apr 2, 03:00 am",12.789,32222.5,0.98001,9.013,205
"Apr 2, 04:00 am",11.758,22525.6,0.979711,7.95,201
"Apr 2, 05:00 am",10.818,28159,0.97958,8.518,197
"Apr 2, 06:00 am",10.048,29338.6,0.979701,8.611,195
"Apr 2, 07:00 am",9.863,25995.8,0.979745,8.227,192
"Apr 2, 08:00 am",9.954,26038.4,0.979708,8.227,188
"Apr 2, 09:00 am",9.646,28059.7,0.97986,8.449,186
"Apr 2, 10:00 am",9.045,24121.9,0.980181,8.02,184
"Apr 2, 11:00 am",8.726,21935.4,0.980244,7.77,183
"Apr 2, 12:00 pm",11.296,14067.7,0.980513,6.808,180
"Apr 2, 01:00 pm",14.104,1857.95,0.980804,4.228,162
"Apr 2, 02:00 pm",17.038,903.492,0.980873,3.807,155
"Apr 2, 03:00 pm",19.638,1565.82,0.980888,4.112,166
"Apr 2, 04:00 pm",22.342,4637.38,0.980569,5.123,174
"Apr 2, 05:00 pm",24.062,9172.92,0.980236,6.058,178
"Apr 2, 06:00 pm",25.214,12762.3,0.979987,6.718,185
"Apr 2, 07:00 pm",25.818,17953.6,0.979781,7.396,186
"Apr 2, 08:00 pm",26.159,17139.8,0.979445,7.294,186
"Apr 2, 09:00 pm",26,16447,0.978998,7.207,184
"Apr 2, 10:00 pm",24.9,18229.1,0.978607,7.432,181
"Apr 2, 11:00 pm",21.193,47508.7,0.97827,10.553,186
"Apr 3, 12:00 am",18.721,54499.3,0.978232,11.551,189
"Apr 3, 01:00 am",17.269,54102.1,0.978502,11.334,189
"Apr 3, 02:00 am",16.096,55853.4,0.978574,11.931,195
"Apr 3, 03:00 am",14.62,56424.8,0.978305,12.441,190
"Apr 3, 04:00 am",14.44,56434.8,0.977867,12.49,185
"Apr 3, 05:00 am",15.549,56204.5,0.977632,13.849,185
"Apr 3, 06:00 am",15.195,56284.2,0.977817,12.57,189
"Apr 3, 07:00 am",13.626,41861.5,0.978056,9.889,191
"Apr 3, 08:00 am",12.546,38863.3,0.977986,9.606,190
"Apr 3, 09:00 am",11.762,43874,0.97786,10.038,183
"Apr 3, 10:00 am",11.156,49903.1,0.978075,10.631,183
"Apr 3, 11:00 am",10.741,55379.8,0.977912,11.362,181
"Apr 3, 12:00 pm",12.864,56188.8,0.978279,11.784,191
"Apr 3, 01:00 pm",14.173,41306.4,0.978831,9.881,196
"Apr 3, 02:00 pm",13.062,11270.1,0.980181,6.39,220
"Apr 3, 03:00 pm",13.749,5016.13,0.98101,5.195,237
"Apr 3, 04:00 pm",14.496,1451.57,0.981026,4.083,208
"Apr 3, 05:00 pm",16.971,1469.91,0.980979,4.079,200
"Apr 3, 06:00 pm",18.733,1085.11,0.981092,3.878,216
"Apr 3, 07:00 pm",20.001,884.928,0.980988,3.779,216
"Apr 3, 08:00 pm",21.009,0,0.980757,3.121,215
"Apr 3, 09:00 pm",21.49,0,0.980502,3.103,189
"Apr 3, 10:00 pm",20.966,2674.47,0.980597,4.542,177
"Apr 3, 11:00 pm",18.446,5297.14,0.980738,5.286,164
"Apr 4, 12:00 am",16.046,6676.73,0.981033,5.554,166
"Apr 4, 01:00 am",13.954,2695.24,0.981396,4.522,174
"Apr 4, 02:00 am",13.026,0,0.981735,3.445,180
"Apr 4, 03:00 am",12.449,0,0.981787,2.54,200
"Apr 4, 04:00 am",11.641,0,0.981781,1.797,179
"Apr 4, 05:00 am",11.028,0,0.982045,2.332,164
"Apr 4, 06:00 am",10.518,0,0.982476,1.949,169
"Apr 4, 07:00 am",9.986,0,0.98289,1.811,159
"Apr 4, 08:00 am",9.581,0,0.98329,1.806,130
"Apr 4, 09:00 am",9.834,0,0.983613,1.765,121
"Apr 4, 10:00 am",11.762,0,0.984023,2.282,111
"Apr 4, 11:00 am",11.908,0,0.984375,2.916,108
"Apr 4, 12:00 pm",12.358,0,0.984806,2.877,113
"Apr 4, 01:00 pm",12.997,0,0.985207,2.277,114
"Apr 4, 02:00 pm",13.43,0,0.985424,1.587,122
"Apr 4, 03:00 pm",14.643,0,0.985392,1.533,136
"Apr 4, 04:00 pm",19.174,0,0.984882,1.445,165
"Apr 4, 05:00 pm",21.831,0,0.984479,2.206,217
"Apr 4, 06:00 pm",23.37,0,0.983961,2.679,223
"Apr 4, 07:00 pm",24.382,0,0.983427,2.819,212
"Apr 4, 08:00 pm",25.122,620.706,0.982963,3.643,189
"Apr 4, 09:00 pm",25.176,3317.16,0.982682,4.797,199
"Apr 4, 10:00 pm",24.961,8347.11,0.982549,5.93,195
"Apr 4, 11:00 pm",22.245,6306.54,0.982356,5.546,199
"Apr 5, 12:00 am",19.724,16849,0.982384,7.231,196
"Apr 5, 01:00 am",18.578,33900.1,0.982584,9.252,208
"Apr 5, 02:00 am",17.446,43016.6,0.982891,10.08,215
"Apr 5, 03:00 am",15.698,41365.9,0.983058,9.918,215
"Apr 5, 04:00 am",14.631,34763.6,0.982992,9.249,213
"Apr 5, 05:00 am",14.169,24972.4,0.983186,8.268,208
"Apr 5, 06:00 am",14.013,18253.1,0.983525,7.444,206
"Apr 5, 07:00 am",13.953,14368.1,0.983952,6.951,208
"Apr 5, 08:00 am",13.672,16712.5,0.984339,7.177,216
"Apr 5, 09:00 am",13.261,18120.2,0.98477,7.321,220
"Apr 5, 10:00 am",12.523,16093.5,0.985314,7.058,223
"Apr 5, 11:00 am",12.418,11315,0.985555,6.38,230
"Apr 5, 12:00 pm",14.964,3646.6,0.98597,4.838,218
"Apr 5, 01:00 pm",17.694,0,0.986208,2.806,207
"Apr 5, 02:00 pm",19.964,0,0.986226,3.066,216
"Apr 5, 03:00 pm",22.06,1608.37,0.986076,4.139,218
"Apr 5, 04:00 pm",23.814,2772.19,0.985598,4.586,219
"Apr 5, 05:00 pm",25.34,3575.89,0.985098,4.865,216
"Apr 5, 06:00 pm",26.725,6535.2,0.984565,5.617,212
"Apr 5, 07:00 pm",27.454,6778.12,0.984073,5.677,210
"Apr 5, 08:00 pm",27.659,8580.97,0.983619,6.051,209
"Apr 5, 09:00 pm",27.578,10101.2,0.983195,6.311,204
"Apr 5, 10:00 pm",26.591,17511.2,0.982946,7.376,197
"Apr 5, 11:00 pm",22.63,18476,0.982636,7.514,201
"Apr 6, 12:00 am",18.825,32085,0.982406,9.054,209
"Apr 6, 01:00 am",18.683,53675.3,0.9824,11.411,211
"Apr 6, 02:00 am",16.205,55155.4,0.982477,11.657,211
"Apr 6, 03:00 am",14.252,50807.2,0.982336,10.904,210
"Apr 6, 04:00 am",13.529,48379.8,0.981943,10.649,209
"Apr 6, 05:00 am",13.026,44028.9,0.981748,10.209,207
"Apr 6, 06:00 am",12.564,36858.6,0.981778,9.532,207
"Apr 6, 07:00 am",12.064,48170.4,0.981707,10.616,207
"Apr 6, 08:00 am",11.115,54837.2,0.981797,11.403,208
"Apr 6, 09:00 am",10.937,52656.9,0.981801,11.06,210
"Apr 6, 10:00 am",11.151,45046.3,0.982015,10.274,207
"Apr 6, 11:00 am",10.157,33927.8,0.982043,9.153,206
"Apr 6, 12:00 pm",13.685,16036.2,0.982166,7.136,201
"Apr 6, 01:00 pm",16.789,4215.18,0.981991,5.006,196
"Apr 6, 02:00 pm",19.367,4013.48,0.981641,4.951,191
"Apr 6, 03:00 pm",21.86,11837.4,0.981283,6.575,196
"Apr 6, 04:00 pm",23.955,19798.7,0.980738,7.687,199
"Apr 6, 05:00 pm",25.533,26719.9,0.980251,8.51,197
"Apr 6, 06:00 pm",26.312,37317.8,0.979752,9.672,197
"Apr 6, 07:00 pm",26.802,45691.2,0.979179,10.468,193
"Apr 6, 08:00 pm",26.941,45695.8,0.978582,10.464,191
"Apr 6, 09:00 pm",26.661,45340.8,0.978182,10.437,193
"Apr 6, 10:00 pm",25.532,32053.6,0.977889,9.01,192
"Apr 6, 11:00 pm",22.861,53548.2,0.977552,11.49,187
"Apr 7, 12:00 am",19.423,55450.1,0.977452,12.736,185
"Apr 7, 01:00 am",17.196,52451.5,0.977429,11.086,184
"Apr 7, 02:00 am",16.941,55918.7,0.97735,12.262,192
"Apr 7, 03:00 am",15.358,56209.5,0.977072,12.481,192
"Apr 7, 04:00 am",14.81,54913.5,0.976642,11.454,190
"Apr 7, 05:00 am",14.006,54909.5,0.976479,11.439,196
"Apr 7, 06:00 am",13.231,43956.5,0.976652,10.115,197
"Apr 7, 07:00 am",12.691,38713.9,0.976846,9.701,201
"Apr 7, 08:00 am",12.698,38894,0.976934,9.748,204
"Apr 7, 09:00 am",15.164,31764.7,0.977143,8.943,199
"Apr 7, 10:00 am",16.534,25401.2,0.977537,8.322,201
"Apr 7, 11:00 am",16.524,32545.4,0.977846,9.03,199
"Apr 7, 12:00 pm",16.391,25878.2,0.978186,8.398,204
"Apr 7, 01:00 pm",17.504,17563.9,0.978231,7.294,193
"Apr 7, 02:00 pm",18.96,24754.9,0.978184,8.224,197
"Apr 7, 03:00 pm",19.839,26702.9,0.978065,8.528,204
"Apr 7, 04:00 pm",20.753,35091,0.97753,9.387,198
"Apr 7, 05:00 pm",22.044,35127.5,0.976898,9.413,198
"Apr 7, 06:00 pm",22.802,31334.8,0.976523,8.972,198
"Apr 7, 07:00 pm",23.7,31205.9,0.975962,8.995,200
"Apr 7, 08:00 pm",24.195,31812.2,0.975343,8.993,194
"Apr 7, 09:00 pm",24.404,35106.3,0.974975,9.423,196
"Apr 7, 10:00 pm",23.94,32705.5,0.974603,9.146,199
"Apr 7, 11:00 pm",22.118,34415.9,0.974434,9.335,198
"Apr 8, 12:00 am",20.557,42180.6,0.974231,10.013,191
"Apr 8, 01:00 am",19.981,50635.2,0.973707,10.924,186
"Apr 8, 02:00 am",18.279,54087.9,0.973319,11.464,186
"Apr 8, 03:00 am",17.485,55016.9,0.972697,11.806,185
"Apr 8, 04:00 am",16.62,54026.8,0.972177,11.365,188
"Apr 8, 05:00 am",17.902,55424.8,0.971926,12.693,193
"Apr 8, 06:00 am",17.829,55419,0.971581,12.822,198
"Apr 8, 07:00 am",18.321,50429.8,0.972102,10.884,220
"Apr 8, 08:00 am",17.883,34305.1,0.971764,9.281,214
"Apr 8, 09:00 am",17.223,32185.7,0.971353,9.025,214
"Apr 8, 10:00 am",16.983,29331.8,0.971404,8.806,208
"Apr 8, 11:00 am",16.432,30065.4,0.971354,8.755,221
"Apr 8, 12:00 pm",13.613,16200.4,0.9723,7.119,286
"Apr 8, 01:00 pm",13.534,9621.71,0.972565,6.192,271
"Apr 8, 02:00 pm",13.522,5629.08,0.972785,5.438,269
"Apr 8, 03:00 pm",14.934,2692.95,0.973183,4.538,252
"Apr 8, 04:00 pm",17.696,10393.4,0.972782,6.327,276
"Apr 8, 05:00 pm",18.306,17940.8,0.972856,7.362,295
"Apr 8, 06:00 pm",18.893,20217.9,0.972923,7.674,299
"Apr 8, 07:00 pm",18.99,25329.7,0.973207,8.27,296
"Apr 8, 08:00 pm",18.486,25215,0.973292,8.256,308
"Apr 8, 09:00 pm",17.537,28897.5,0.973694,8.641,314
"Apr 8, 10:00 pm",17.085,29411.5,0.974223,8.684,314
"Apr 8, 11:00 pm",15.366,31352.3,0.974866,8.854,319
"Apr 9, 12:00 am",12.386,34253.4,0.975554,9.106,319
"Apr 9, 01:00 am",11.045,44768.9,0.976176,10.174,325
"Apr 9, 02:00 am",9.437,40722.1,0.976884,9.868,336
"Apr 9, 03:00 am",8.17,39680.1,0.977505,9.726,339
"Apr 9, 04:00 am",6.776,35643.6,0.977904,9.278,338
"Apr 9, 05:00 am",5.908,33942,0.978425,8.985,346
"Apr 9, 06:00 am",5.202,29148.6,0.979088,8.519,352
"Apr 9, 07:00 am",4.781,18200.1,0.979494,7.267,358
"Apr 9, 08:00 am",4.379,7547.79,0.980006,5.645,355
"Apr 9, 09:00 am",3.929,1906.46,0.980577,4.213,344
"Apr 9, 10:00 am",2.843,0,0.981281,3.563,316
"Apr 9, 11:00 am",2.104,801.029,0.981892,3.731,277
"Apr 9, 12:00 pm",5.099,1216.97,0.982471,3.94,277
"Apr 9, 01:00 pm",8.743,0,0.982991,2.876,283
"Apr 9, 02:00 pm",11.934,0,0.983402,3.018,287
"Apr 9, 03:00 pm",14.792,2908.78,0.983577,4.611,307
"Apr 9, 04:00 pm",16.052,4803.27,0.983485,5.14,312
"Apr 9, 05:00 pm",17.042,4543.66,0.983505,5.082,310
"Apr 9, 06:00 pm",17.809,4224.86,0.983532,5.009,307
"Apr 9, 07:00 pm",18.477,4027.86,0.983489,4.962,306
"Apr 9, 08:00 pm",18.881,3786.12,0.983507,4.899,302
"Apr 9, 09:00 pm",18.993,3321.05,0.983592,4.751,313
"Apr 9, 10:00 pm",18.582,2977.37,0.98402,4.644,312
"Apr 9, 11:00 pm",15.181,3821.24,0.984308,4.923,328
"Apr 10, 12:00 am",11.152,7504.16,0.984715,5.733,330
"Apr 10, 01:00 am",10.031,8130.63,0.985109,5.856,334
"Apr 10, 02:00 am",9.449,6600.29,0.98551,5.51,359
"Apr 10, 03:00 am",8.374,4199.49,0.985733,4.955,7
"Apr 10, 04:00 am",7.99,4590.57,0.985815,5.047,8
"Apr 10, 05:00 am",5.882,4069.83,0.986302,4.938,35
"Apr 10, 06:00 am",5.131,1138.64,0.986753,3.875,57
"Apr 10, 07:00 am",4.887,0,0.987204,3.118,74
"Apr 10, 08:00 am",4.324,0,0.98777,3.097,94
"Apr 10, 09:00 am",3.538,1108.35,0.988321,3.851,112
"Apr 10, 10:00 am",2.859,741.051,0.989009,3.679,117
"Apr 10, 11:00 am",2.513,0,0.989581,3.395,119
"Apr 10, 12:00 pm",5.881,0,0.990264,3.345,119
"Apr 10, 01:00 pm",9.968,0,0.990741,2.905,106
"Apr 10, 02:00 pm",13.505,0,0.99099,2.56,110
"Apr 10, 03:00 pm",16.191,0,0.99094,2.913,116
"Apr 10, 04:00 pm",17.839,0,0.990493,2.482,115
"Apr 10, 05:00 pm",18.86,0,0.990044,2.018,120
"Apr 10, 06:00 pm",19.726,0,0.98961,2.319,131
"Apr 10, 07:00 pm",20.408,0,0.989162,2.425,129
"Apr 10, 08:00 pm",20.874,0,0.988657,2.153,118
"Apr 10, 09:00 pm",21.033,0,0.988291,2.391,125
"Apr 10, 10:00 pm",20.729,0,0.988299,2.712,130
"Apr 10, 11:00 pm",17.244,0,0.988233,2.942,121
"Apr 11, 12:00 am",13.41,0,0.988255,3.405,122
"Apr 11, 01:00 am",12.263,2487.09,0.98842,4.434,135
"Apr 11, 02:00 am",10.939,2119.88,0.988573,4.316,161
"Apr 11, 03:00 am",10.196,1137.5,0.988414,3.907,156
"Apr 11, 04:00 am",9.681,0,0.988022,3.024,149
"Apr 11, 05:00 am",9.13,0,0.988012,2.356,146
"Apr 11, 06:00 am",8.403,0,0.988197,2.15,136
"Apr 11, 07:00 am",7.431,1275.17,0.988486,3.943,124
"Apr 11, 08:00 am",6.895,5440.63,0.988635,5.256,125
"Apr 11, 09:00 am",6.5,4432.16,0.988934,5.012,126
"Apr 11, 10:00 am",5.799,809.991,0.989357,3.714,114
"Apr 11, 11:00 am",5.695,0,0.989579,3.384,106
"Apr 11, 12:00 pm",9.125,0,0.989902,3.29,112
"Apr 11, 01:00 pm",13.002,0,0.990149,2.579,99
"Apr 11, 02:00 pm",16.275,0,0.990232,1.951,109
"Apr 11, 03:00 pm",19.066,0,0.990024,1.649,115
"Apr 11, 04:00 pm",21.352,0,0.98949,1.186,99
"Apr 11, 05:00 pm",22.13,0,0.989062,1.127,119
"Apr 11, 06:00 pm",22.627,0,0.988582,1.13,130
"Apr 11, 07:00 pm",23.076,0,0.988092,1.322,127
"Apr 11, 08:00 pm",23.346,0,0.987635,1.248,91
"Apr 11, 09:00 pm",23.408,0,0.987318,0.919,81
"Apr 11, 10:00 pm",23.211,0,0.987341,0.807,123
"Apr 11, 11:00 pm",19.885,0,0.987175,0.606,147
"Apr 12, 12:00 am",15.763,0,0.987112,0.487,208
"Apr 12, 01:00 am",14.283,0,0.987201,0.275,132
"Apr 12, 02:00 am",13.131,0,0.987365,0.776,12
"Apr 12, 03:00 am",12.706,0,0.987335,0.977,12
"Apr 12, 04:00 am",12.359,0,0.987091,0.944,16
"Apr 12, 05:00 am",11.204,0,0.987182,1.602,22
"Apr 12, 06:00 am",10.162,0,0.987414,1.872,68
"Apr 12, 07:00 am",9.43,0,0.987593,2.211,76
"Apr 12, 08:00 am",8.682,0,0.987725,1.322,85
"Apr 12, 09:00 am",8.151,0,0.987854,1.037,91
"Apr 12, 10:00 am",7.462,0,0.988292,0.951,80
"Apr 12, 11:00 am",7.129,0,0.988478,1.876,83
"Apr 12, 12:00 pm",10.575,0,0.988752,2.76,100
"Apr 12, 01:00 pm",13.804,0,0.988995,2.217,102
"Apr 12, 02:00 pm",17.236,0,0.989062,1.335,95
"Apr 12, 03:00 pm",20.344,0,0.988866,1.796,101
"Apr 12, 04:00 pm",22.722,0,0.988364,2.311,91
"Apr 12, 05:00 pm",24.196,0,0.98789,2.781,88
"Apr 12, 06:00 pm",24.965,0,0.987405,2.961,94
"Apr 12, 07:00 pm",25.572,0,0.986948,2.913,103
"Apr 12, 08:00 pm",26.002,0,0.986546,3.02,100
"Apr 12, 09:00 pm",26.125,0,0.98635,3.546,112
"Apr 12, 10:00 pm",25.675,0,0.986317,3.516,104
"Apr 12, 11:00 pm",22.014,0,0.98623,3.333,120
"Apr 13, 12:00 am",17.892,0,0.986201,3.343,108
"Apr 13, 01:00 am",16.745,0,0.98625,3.576,91
"Apr 13, 02:00 am",15.775,3228.16,0.986451,4.727,102
"Apr 13, 03:00 am",15.271,1137.18,0.986436,3.888,111
"Apr 13, 04:00 am",14.41,804.703,0.986223,3.725,115
"Apr 13, 05:00 am",13.613,652.005,0.986203,3.652,123
"Apr 13, 06:00 am",12.412,9790.69,0.986545,6.094,124
"Apr 13, 07:00 am",12.749,18929,0.986698,7.414,124
"Apr 13, 08:00 am",12.124,10092.7,0.986878,6.193,149
"Apr 13, 09:00 am",11.055,5637.5,0.987286,5.311,171
"Apr 13, 10:00 am",10.523,3874.66,0.987821,4.877,175
"Apr 13, 11:00 am",10.526,1679.95,0.988225,4.137,177
"Apr 13, 12:00 pm",13.868,1680.94,0.988657,4.146,179
"Apr 13, 01:00 pm",17.138,0,0.989136,2.764,170
"Apr 13, 02:00 pm",20.062,0,0.989405,2.716,180
"Apr 13, 03:00 pm",22.407,0,0.989418,2.81,197
"Apr 13, 04:00 pm",24.26,0,0.989116,3.028,209
"Apr 13, 05:00 pm",25.227,0,0.988948,2.604,217
"Apr 13, 06:00 pm",25.904,0,0.988658,2.053,204
"Apr 13, 07:00 pm",26.341,0,0.988389,1.934,178
"Apr 13, 08:00 pm",26.575,0,0.988016,1.356,173
"Apr 13, 09:00 pm",26.669,0,0.987794,1.681,153
"Apr 13, 10:00 pm",26.36,0,0.98777,2.231,145
"Apr 13, 11:00 pm",23.242,702.81,0.987702,3.687,119
"Apr 14, 12:00 am",19.094,4434.51,0.987731,5.055,132
"Apr 14, 01:00 am",17.34,3655.15,0.987786,4.839,135
"Apr 14, 02:00 am",16.085,2840.48,0.988027,4.577,135
"Apr 14, 03:00 am",15.599,3163.6,0.988156,4.686,137
"Apr 14, 04:00 am",15.1,3835.12,0.988166,4.933,150
"Apr 14, 05:00 am",14.438,3827.25,0.988359,4.922,158
"Apr 14, 06:00 am",13.808,3162.42,0.988684,4.681,166
"Apr 14, 07:00 am",13.253,2354.35,0.989129,4.385,170
"Apr 14, 08:00 am",12.45,0,0.989585,3.44,179
"Apr 14, 09:00 am",11.67,0,0.989943,2.838,183
"Apr 14, 10:00 am",11.103,0,0.990563,2.82,184
"Apr 14, 11:00 am",10.789,0,0.990939,2.696,175
"Apr 14, 12:00 pm",13.88,0,0.991625,2.968,158
"Apr 14, 01:00 pm",16.948,0,0.992139,2.271,150
"Apr 14, 02:00 pm",20.057,0,0.992292,1.502,157
"Apr 14, 03:00 pm",22.431,0,0.992179,1.377,201
"Apr 14, 04:00 pm",24.243,0,0.991734,1.047,223
"Apr 14, 05:00 pm",25.489,0,0.991449,0.76,170
"Apr 14, 06:00 pm",26.352,0,0.991065,1.612,119
"Apr 14, 07:00 pm",26.96,0,0.990612,1.599,119
"Apr 14, 08:00 pm",27.4,0,0.990192,2.834,128
"Apr 14, 09:00 pm",27.508,0,0.989641,3.173,125
"Apr 14, 10:00 pm",27.043,1131.95,0.989438,3.904,139
"Apr 14, 11:00 pm",24.173,1745.49,0.989112,4.19,139
"Apr 15, 12:00 am",20.784,2405.09,0.988879,4.433,141
"Apr 15, 01:00 am",19.54,2198.1,0.988877,4.396,155
"Apr 15, 02:00 am",18.244,0,0.98899,3.611,165
"Apr 15, 03:00 am",17.795,0,0.989011,3.319,154
"Apr 15, 04:00 am",17.072,0,0.988829,3.229,152
"Apr 15, 05:00 am",15.971,2268.17,0.989082,4.366,133
"Apr 15, 06:00 am",16.182,31851.6,0.989509,8.862,132
