,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind speed | (m/s)","Wind direction | (deg)"
"Mar 14, 08:00 pm",11.847,1873.37,0.978834,4.225,123
"Mar 14, 09:00 pm",11.682,1550.83,0.978636,4.093,125
"Mar 14, 10:00 pm",11.857,2343.51,0.978625,4.389,135
"Mar 14, 11:00 pm",11.981,3334.11,0.978601,4.735,139
"Mar 15, 12:00 am",12.02,6148.8,0.978633,5.45,138
"Mar 15, 01:00 am",12.288,7814.23,0.978777,5.736,137
"Mar 15, 02:00 am",12.059,8824.33,0.97883,5.953,141
"Mar 15, 03:00 am",11.847,1775.15,0.978891,4.22,156
"Mar 15, 04:00 am",11.895,0,0.978859,2.732,217
"Mar 15, 05:00 am",11.901,0,0.979079,3.371,233
"Mar 15, 06:00 am",12.12,1545.86,0.979447,4.09,242
"Mar 15, 07:00 am",11.799,0,0.979552,3.145,248
"Mar 15, 08:00 am",11.606,0,0.979584,2.121,224
"Mar 15, 09:00 am",11.505,0,0.979958,2.451,218
"Mar 15, 10:00 am",11.456,0,0.980255,3.163,233
"Mar 15, 11:00 am",11.294,0,0.980412,2.961,272
"Mar 15, 12:00 pm",11.186,0,0.980802,2.576,261
"Mar 15, 01:00 pm",11.297,0,0.981266,2.711,269
"Mar 15, 02:00 pm",11.754,0,0.981651,1.97,251
"Mar 15, 03:00 pm",12.32,0,0.981927,2.039,237
"Mar 15, 04:00 pm",12.993,0,0.981918,2.364,214
"Mar 15, 05:00 pm",13.714,0,0.98196,2.168,226
"Mar 15, 06:00 pm",14.435,0,0.981992,1.553,259
"Mar 15, 07:00 pm",14.933,0,0.982029,1.148,280
"Mar 15, 08:00 pm",15.587,0,0.981986,1.535,308
"Mar 15, 09:00 pm",16.135,0,0.98203,2.097,303
"Mar 15, 10:00 pm",15.911,0,0.982223,2.207,317
"Mar 15, 11:00 pm",13.227,0,0.982366,2.963,333
"Mar 16, 12:00 am",12.114,0,0.982659,2.911,341
"Mar 16, 01:00 am",12.433,0,0.982933,3.099,357
"Mar 16, 02:00 am",12.372,0,0.983222,2.519,357
"Mar 16, 03:00 am",11.894,0,0.983366,1.764,32
"Mar 16, 04:00 am",12.138,0,0.98336,1.401,72
"Mar 16, 05:00 am",11.976,0,0.983316,1.928,57
"Mar 16, 06:00 am",12.208,0,0.983573,1.268,87
"Mar 16, 07:00 am",12.245,0,0.98372,1.157,129
"Mar 16, 08:00 am",12.196,0,0.983844,0.982,327
"Mar 16, 09:00 am",12.208,0,0.983834,2.33,4
"Mar 16, 10:00 am",12.294,0,0.984066,2.996,20
"Mar 16, 11:00 am",12.157,0,0.984323,3.239,28
"Mar 16, 12:00 pm",12.059,0,0.984548,3.384,28
"Mar 16, 01:00 pm",12.214,0,0.985068,3.287,359
"Mar 16, 02:00 pm",13.587,0,0.985305,3.108,351
"Mar 16, 03:00 pm",15.794,0,0.985477,3.483,350
"Mar 16, 04:00 pm",16.391,0,0.98517,3.089,339
"Mar 16, 05:00 pm",17.183,0,0.985086,2.719,327
"Mar 16, 06:00 pm",17.48,852.857,0.985075,3.772,338
"Mar 16, 07:00 pm",18.018,0,0.984893,3.492,333
"Mar 16, 08:00 pm",18.752,0,0.984758,3.383,327
"Mar 16, 09:00 pm",19.118,807.847,0.984738,3.755,330
"Mar 16, 10:00 pm",18.641,878.717,0.984753,3.793,336
"Mar 16, 11:00 pm",15.424,3006.24,0.984939,4.636,351
"Mar 17, 12:00 am",13.637,6054.5,0.985247,5.431,357
"Mar 17, 01:00 am",12.691,24727.2,0.98566,8.143,17
"Mar 17, 02:00 am",12.116,37379.8,0.985988,9.556,29
"Mar 17, 03:00 am",11.39,37272.7,0.986116,9.491,33
"Mar 17, 04:00 am",10.351,29227,0.986063,8.679,29
"Mar 17, 05:00 am",8.994,16300.5,0.986174,7.144,30
"Mar 17, 06:00 am",7.861,11341.1,0.986456,6.405,31
"Mar 17, 07:00 am",7.012,7398.55,0.98666,5.705,28
"Mar 17, 08:00 am",7.364,5173.36,0.986934,5.213,35
"Mar 17, 09:00 am",7.337,3076.53,0.987163,4.633,40
"Mar 17, 10:00 am",7.348,1171.75,0.987578,3.89,38
"Mar 17, 11:00 am",7.238,0,0.98789,2.477,49
"Mar 17, 12:00 pm",7.386,0,0.988149,2.03,45
"Mar 17, 01:00 pm",7.523,0,0.98847,2.032,39
"Mar 17, 02:00 pm",7.713,0,0.988683,1.886,27
"Mar 17, 03:00 pm",8.217,0,0.988627,1.542,5
"Mar 17, 04:00 pm",9.582,0,0.98824,1.315,345
"Mar 17, 05:00 pm",13.805,0,0.987703,1.399,334
"Mar 17, 06:00 pm",17.114,0,0.987047,1.908,4
"Mar 17, 07:00 pm",18.852,0,0.986442,1.301,32
"Mar 17, 08:00 pm",19.67,0,0.985924,1.127,48
"Mar 17, 09:00 pm",19.926,0,0.985598,1.279,16
"Mar 17, 10:00 pm",19.552,0,0.985607,0.92,350
"Mar 17, 11:00 pm",15.551,1552.53,0.9857,4.098,256
"Mar 18, 12:00 am",13.65,0,0.985754,3.326,262
"Mar 18, 01:00 am",12.799,0,0.985899,2.718,283
"Mar 18, 02:00 am",11.91,0,0.985987,2.296,306
"Mar 18, 03:00 am",10.981,0,0.986067,1.872,67
"Mar 18, 04:00 am",10.614,0,0.985786,2.264,124
"Mar 18, 05:00 am",9.756,0,0.985713,3.517,126
"Mar 18, 06:00 am",8.812,1765.19,0.985738,4.165,139
"Mar 18, 07:00 am",8.095,2285.41,0.985791,4.372,146
"Mar 18, 08:00 am",7.678,1800.61,0.985793,4.208,149
"Mar 18, 09:00 am",7.287,4948.69,0.98586,5.133,136
"Mar 18, 10:00 am",7.176,8249.86,0.986152,5.796,142
"Mar 18, 11:00 am",7.084,8695.32,0.98636,5.95,152
"Mar 18, 12:00 pm",8.719,15613.6,0.986517,7.043,158
"Mar 18, 01:00 pm",12.151,2606.24,0.986741,4.517,158
"Mar 18, 02:00 pm",15.044,1109.77,0.98671,3.907,153
"Mar 18, 03:00 pm",17.427,2038.3,0.986481,4.286,166
"Mar 18, 04:00 pm",19.202,1760.82,0.986012,4.188,176
"Mar 18, 05:00 pm",20.097,1156.38,0.985544,3.906,185
"Mar 18, 06:00 pm",20.576,0,0.984969,3.541,191
"Mar 18, 07:00 pm",20.954,0,0.984442,3.221,193
"Mar 18, 08:00 pm",21.254,953.144,0.983985,3.841,207
"Mar 18, 09:00 pm",21.28,0,0.983729,2.813,195
"Mar 18, 10:00 pm",20.708,0,0.983659,3.445,211
"Mar 18, 11:00 pm",17.195,1571.49,0.98359,4.148,207
"Mar 19, 12:00 am",15.065,2952.19,0.983524,4.618,187
"Mar 19, 01:00 am",13.508,10925.6,0.983565,6.289,190
"Mar 19, 02:00 am",12.239,15914.7,0.983623,7.031,186
"Mar 19, 03:00 am",11.447,9955.04,0.983583,6.104,187
"Mar 19, 04:00 am",11.164,7089.3,0.983305,5.594,187
"Mar 19, 05:00 am",10.688,2164.41,0.983276,4.314,189
"Mar 19, 06:00 am",10.148,0,0.983476,2.945,217
"Mar 19, 07:00 am",9.768,862.342,0.983552,3.745,226
"Mar 19, 08:00 am",9.362,1435.68,0.983554,4.022,219
"Mar 19, 09:00 am",8.641,0,0.983679,3.2,209
"Mar 19, 10:00 am",8.187,0,0.983978,3.166,213
"Mar 19, 11:00 am",7.609,0,0.984192,2.812,234
"Mar 19, 12:00 pm",8.022,0,0.984552,2.535,266
"Mar 19, 01:00 pm",7.937,1937.21,0.985105,4.239,342
"Mar 19, 02:00 pm",9.394,4686.77,0.985412,5.078,6
"Mar 19, 03:00 pm",15.015,0,0.985282,3.108,25
"Mar 19, 04:00 pm",17.637,2752.39,0.985012,4.551,8
"Mar 19, 05:00 pm",18.906,8752.3,0.984889,5.96,3
"Mar 19, 06:00 pm",19.13,17535.1,0.984685,7.283,4
"Mar 19, 07:00 pm",19.078,6167.18,0.984508,5.475,0
"Mar 19, 08:00 pm",17.874,38644.7,0.984809,9.626,352
"Mar 19, 09:00 pm",16.756,27634.1,0.985171,8.467,358
"Mar 19, 10:00 pm",15.456,31986.8,0.985598,8.875,3
"Mar 19, 11:00 pm",13.986,28949.6,0.985855,8.571,7
"Mar 20, 12:00 am",12.823,33912.4,0.986204,9.098,19
"Mar 20, 01:00 am",11.569,25416.5,0.986449,8.285,27
"Mar 20, 02:00 am",8.905,30581.5,0.986644,8.766,32
"Mar 20, 03:00 am",7.997,35729.5,0.986736,9.299,28
"Mar 20, 04:00 am",7.788,51592.6,0.986655,10.85,28
"Mar 20, 05:00 am",7.92,58268.3,0.986747,12.74,36
"Mar 20, 06:00 am",7.043,58469.6,0.987066,12.543,39
"Mar 20, 07:00 am",6.274,58646.9,0.987341,12.429,41
"Mar 20, 08:00 am",5.588,58806.2,0.987603,12.212,42
"Mar 20, 09:00 am",4.758,58764.5,0.987922,11.972,42
"Mar 20, 10:00 am",3.89,58199.4,0.988394,11.634,42
"Mar 20, 11:00 am",3.565,58491.6,0.988884,11.709,45
"Mar 20, 12:00 pm",4.405,51807.8,0.989204,10.643,43
"Mar 20, 01:00 pm",6.723,17556.7,0.989679,7.187,42
"Mar 20, 02:00 pm",9.225,8906.02,0.99005,5.926,44
"Mar 20, 03:00 pm",11.156,14632.2,0.990226,6.862,48
"Mar 20, 04:00 pm",12.485,15398.6,0.990015,6.963,43
"Mar 20, 05:00 pm",13.503,16547.7,0.989775,7.135,37
"Mar 20, 06:00 pm",14.284,13009.4,0.989542,6.707,35
"Mar 20, 07:00 pm",14.829,11202.2,0.989194,6.444,29
"Mar 20, 08:00 pm",15.048,12655.6,0.98895,6.709,24
"Mar 20, 09:00 pm",14.853,11899.3,0.988788,6.593,28
"Mar 20, 10:00 pm",13.865,15800.2,0.988846,7.101,22
"Mar 20, 11:00 pm",10.047,26118.1,0.988941,8.339,27
"Mar 21, 12:00 am",7.435,46735.3,0.989028,10.328,30
"Mar 21, 01:00 am",7.098,53018.4,0.989221,10.88,36
"Mar 21, 02:00 am",6.585,57306.5,0.989228,11.485,46
"Mar 21, 03:00 am",6.214,57442,0.989226,11.529,53
"Mar 21, 04:00 am",5.625,40516.7,0.98896,9.649,62
"Mar 21, 05:00 am",3.964,16966.4,0.988932,7.134,78
"Mar 21, 06:00 am",2.716,8888.54,0.989104,5.927,100
"Mar 21, 07:00 am",2.393,21823.2,0.989201,7.792,94
"Mar 21, 08:00 am",2.123,19011.5,0.989332,7.449,91
"Mar 21, 09:00 am",1.682,12699.8,0.989628,6.624,97
"Mar 21, 10:00 am",0.727,6095.22,0.990168,5.389,103
"Mar 21, 11:00 am",0.676,18099.6,0.99056,7.204,111
"Mar 21, 12:00 pm",3.818,33608.3,0.990938,8.891,115
"Mar 21, 01:00 pm",7.978,18608.8,0.991187,7.32,114
"Mar 21, 02:00 pm",10.066,8105.94,0.991495,5.769,117
"Mar 21, 03:00 pm",12.068,3617.38,0.991583,4.814,124
"Mar 21, 04:00 pm",13.886,0,0.991459,3.592,134
"Mar 21, 05:00 pm",15.39,0,0.991252,2.454,148
"Mar 21, 06:00 pm",16.701,0,0.990863,2.091,168
"Mar 21, 07:00 pm",17.496,0,0.990532,1.774,153
"Mar 21, 08:00 pm",18.067,0,0.990199,1.672,137
"Mar 21, 09:00 pm",18.335,0,0.990077,2.316,160
"Mar 21, 10:00 pm",17.925,0,0.99004,2.73,163
"Mar 21, 11:00 pm",14.696,0,0.990015,3.092,148
"Mar 22, 12:00 am",12.791,1801.43,0.990148,4.191,128
"Mar 22, 01:00 am",12.085,4453.41,0.990252,5.036,142
"Mar 22, 02:00 am",10.258,8242.79,0.990413,5.798,140
"Mar 22, 03:00 am",9.272,8409.32,0.990445,5.822,136
"Mar 22, 04:00 am",9.073,11462.1,0.990206,6.367,139
"Mar 22, 05:00 am",9.442,21193.3,0.990185,7.656,133
"Mar 22, 06:00 am",9.087,33478.7,0.990411,8.934,133
"Mar 22, 07:00 am",8.432,31331.6,0.990649,8.732,138
"Mar 22, 08:00 am",7.928,22342.4,0.990801,7.789,139
"Mar 22, 09:00 am",7.589,19326.3,0.990952,7.433,144
"Mar 22, 10:00 am",7.177,19064.3,0.991304,7.369,139
"Mar 22, 11:00 am",6.953,27605.5,0.991317,8.339,137
"Mar 22, 12:00 pm",7.731,20133.2,0.991566,7.515,142
"Mar 22, 01:00 pm",10.043,3808.86,0.991664,4.853,139
"Mar 22, 02:00 pm",12.557,0,0.991568,3.544,137
"Mar 22, 03:00 pm",15.113,1924.33,0.991328,4.276,151
"Mar 22, 04:00 pm",17.021,3714.82,0.990637,4.885,160
"Mar 22, 05:00 pm",18.432,2420.73,0.990064,4.425,168
"Mar 22, 06:00 pm",19.606,1867.62,0.989508,4.228,179
"Mar 22, 07:00 pm",20.277,2227.14,0.989066,4.361,193
"Mar 22, 08:00 pm",20.588,1252.42,0.9886,3.981,202
"Mar 22, 09:00 pm",20.591,859.622,0.988223,3.786,204
"Mar 22, 10:00 pm",20.07,1125.58,0.987994,3.926,207
"Mar 22, 11:00 pm",16.465,3790.53,0.987786,4.873,191
"Mar 23, 12:00 am",13.985,11126,0.987689,6.331,188
"Mar 23, 01:00 am",12.49,21091.2,0.987591,7.674,185
"Mar 23, 02:00 am",11.148,29444.1,0.987619,8.591,183
"Mar 23, 03:00 am",10.656,35148.8,0.987436,9.132,183
"Mar 23, 04:00 am",9.931,25074,0.986966,8.108,186
"Mar 23, 05:00 am",9.353,18525,0.986856,7.321,187
"Mar 23, 06:00 am",8.836,13394.2,0.986995,6.692,183
"Mar 23, 07:00 am",8.584,10549.9,0.987067,6.174,184
"Mar 23, 08:00 am",8.132,7632.79,0.987116,5.664,188
"Mar 23, 09:00 am",7.816,2976.9,0.987211,4.599,183
"Mar 23, 10:00 am",7.448,3413.9,0.987365,4.731,173
"Mar 23, 11:00 am",7.13,5672.15,0.987378,5.322,163
"Mar 23, 12:00 pm",8.84,5627.2,0.987598,5.313,164
"Mar 23, 01:00 pm",12.211,1640.32,0.987731,4.151,158
"Mar 23, 02:00 pm",15.001,0,0.987558,2.818,142
"Mar 23, 03:00 pm",17.559,0,0.987464,3.51,160
"Mar 23, 04:00 pm",19.519,1344.81,0.987073,3.996,173
"Mar 23, 05:00 pm",20.728,3376.9,0.986741,4.772,180
"Mar 23, 06:00 pm",21.321,3849.36,0.986431,4.911,173
"Mar 23, 07:00 pm",21.793,7521.6,0.985881,5.73,164
"Mar 23, 08:00 pm",21.97,10850.7,0.985378,6.359,165
"Mar 23, 09:00 pm",21.611,16406.1,0.984901,7.2,162
"Mar 23, 10:00 pm",20.711,15279,0.984672,7.023,165
"Mar 23, 11:00 pm",17.135,19802.8,0.984367,7.565,166
"Mar 24, 12:00 am",14.378,32257.7,0.98426,8.968,160
"Mar 24, 01:00 am",12.768,36129.7,0.984284,9.394,159
"Mar 24, 02:00 am",11.77,50000.5,0.984309,10.689,161
"Mar 24, 03:00 am",11.027,55772.1,0.984183,11.379,166
"Mar 24, 04:00 am",10.307,55376,0.983903,11.309,164
"Mar 24, 05:00 am",9.941,55132.2,0.983882,11.272,163
"Mar 24, 06:00 am",10.392,55307.8,0.983915,11.382,159
"Mar 24, 07:00 am",10.405,55247.3,0.983946,11.402,157
"Mar 24, 08:00 am",10.185,55468.2,0.983961,11.437,157
"Mar 24, 09:00 am",9.503,52049.6,0.983985,10.943,156
"Mar 24, 10:00 am",9.362,51018.3,0.984117,10.831,153
"Mar 24, 11:00 am",9.038,46519.2,0.984323,10.349,157
"Mar 24, 12:00 pm",10.799,38904.4,0.984524,9.668,158
"Mar 24, 01:00 pm",13.785,10556.3,0.984755,6.285,158
"Mar 24, 02:00 pm",16.394,10493.4,0.984803,6.273,160
"Mar 24, 03:00 pm",18.521,17931.8,0.984642,7.337,166
"Mar 24, 04:00 pm",19.978,27510.8,0.984233,8.488,168
"Mar 24, 05:00 pm",20.791,35590.2,0.983482,9.368,167
"Mar 24, 06:00 pm",21.259,39781,0.98287,9.827,163
"Mar 24, 07:00 pm",21.828,44576,0.982444,10.267,165
"Mar 24, 08:00 pm",21.78,50492.7,0.98197,10.885,169
"Mar 24, 09:00 pm",21.246,51205.4,0.981555,10.976,168
"Mar 24, 10:00 pm",20.814,47484.7,0.981234,10.576,163
"Mar 24, 11:00 pm",19.378,55073.9,0.980735,11.909,158
"Mar 25, 12:00 am",18.574,53548.2,0.980181,11.441,154
"Mar 25, 01:00 am",18.523,55615.4,0.980032,12.196,155
"Mar 25, 02:00 am",17.814,55898,0.979929,12.789,156
"Mar 25, 03:00 am",18.001,55844.1,0.979613,13.095,157
"Mar 25, 04:00 am",18.132,55805.3,0.979372,12.308,164
"Mar 25, 05:00 am",17.707,55556.2,0.979309,11.889,169
"Mar 25, 06:00 am",17.078,56009.3,0.979395,12.319,176
"Mar 25, 07:00 am",15.862,51022.8,0.979858,10.84,175
"Mar 25, 08:00 am",14.594,40502.5,0.980245,9.775,174
"Mar 25, 09:00 am",13.903,56672.2,0.980147,12.241,172
"Mar 25, 10:00 am",14.141,55459,0.979816,11.626,161
"Mar 25, 11:00 am",14.264,54650.6,0.979479,11.429,160
"Mar 25, 12:00 pm",14.374,54861.7,0.979461,11.403,164
"Mar 25, 01:00 pm",14.964,56395.4,0.97937,12.139,167
"Mar 25, 02:00 pm",15.701,55456.4,0.979327,11.684,169
"Mar 25, 03:00 pm",16.083,38720.8,0.979257,9.634,174
"Mar 25, 04:00 pm",16.537,51049.3,0.978889,10.861,173
"Mar 25, 05:00 pm",17.135,55448.7,0.978505,11.814,172
"Mar 25, 06:00 pm",17.186,47286,0.97805,10.485,166
"Mar 25, 07:00 pm",17.813,45408.6,0.977614,10.319,165
"Mar 25, 08:00 pm",17.678,26255.2,0.977056,8.391,162
"Mar 25, 09:00 pm",17.381,19623.1,0.976685,7.556,178
"Mar 25, 10:00 pm",16.709,4401.07,0.976682,5.104,203
"Mar 25, 11:00 pm",17.204,21111.1,0.976576,7.858,204
"Mar 26, 12:00 am",15.668,787.414,0.97676,3.721,249
"Mar 26, 01:00 am",15.811,0,0.976584,2.987,204
"Mar 26, 02:00 am",15.901,2301.54,0.976206,4.385,171
"Mar 26, 03:00 am",16.473,22332.7,0.97556,7.907,166
"Mar 26, 04:00 am",16.248,19931,0.974315,7.613,142
"Mar 26, 05:00 am",15.662,21733.4,0.973769,7.883,146
"Mar 26, 06:00 am",15.531,18320.1,0.973091,7.425,145
"Mar 26, 07:00 am",15.375,0,0.973016,3.611,243
"Mar 26, 08:00 am",14.611,20926.9,0.972609,7.722,347
"Mar 26, 09:00 am",13.322,20075.9,0.97326,7.597,346
"Mar 26, 10:00 am",11.609,22701.5,0.973767,7.98,339
"Mar 26, 11:00 am",11.341,12309.2,0.974074,6.569,349
"Mar 26, 12:00 pm",11.677,24372.4,0.972135,8.23,93
"Mar 26, 01:00 pm",12.417,0,0.973637,1.77,50
"Mar 26, 02:00 pm",13.762,0,0.974072,2.046,159
"Mar 26, 03:00 pm",15.523,0,0.974465,2.987,205
"Mar 26, 04:00 pm",17.276,0,0.974262,3.586,240
"Mar 26, 05:00 pm",18.649,1239.01,0.974387,3.953,251
"Mar 26, 06:00 pm",19.614,1703.12,0.974538,4.235,267
"Mar 26, 07:00 pm",20.344,1065.35,0.974557,3.91,275
"Mar 26, 08:00 pm",20.806,0,0.974425,3.305,283
"Mar 26, 09:00 pm",20.978,0,0.97428,2.37,289
"Mar 26, 10:00 pm",20.768,0,0.974184,1.84,322
"Mar 26, 11:00 pm",18.125,0,0.974133,1.65,8
"Mar 27, 12:00 am",15.831,0,0.974221,3.075,48
"Mar 27, 01:00 am",15.985,3054.63,0.974242,4.674,65
"Mar 27, 02:00 am",15.311,25814.6,0.974173,8.289,71
"Mar 27, 03:00 am",14.894,20718.1,0.974011,7.801,84
"Mar 27, 04:00 am",14.563,24731,0.973725,8.263,97
"Mar 27, 05:00 am",14.373,32351.8,0.973287,9.072,96
"Mar 27, 06:00 am",14.741,33519.6,0.97291,9.108,102
"Mar 27, 07:00 am",14.798,32493.3,0.97314,8.962,115
"Mar 27, 08:00 am",14.736,29313.8,0.972551,8.663,116
"Mar 27, 09:00 am",14.605,29426.9,0.972199,8.676,118
"Mar 27, 10:00 am",14.88,26213.2,0.97206,8.337,124
"Mar 27, 11:00 am",15.178,25405.6,0.971856,8.251,123
"Mar 27, 12:00 pm",15.455,30778.1,0.971726,8.806,133
"Mar 27, 01:00 pm",15.635,35526,0.971633,9.454,152
"Mar 27, 02:00 pm",16.309,16560.1,0.97163,7.248,149
"Mar 27, 03:00 pm",17.5,4026.43,0.971508,5.009,149
"Mar 27, 04:00 pm",18.947,2123.64,0.970959,4.375,150
"Mar 27, 05:00 pm",19.906,2000.4,0.970604,4.333,156
"Mar 27, 06:00 pm",20.531,0,0.97031,3.59,148
"Mar 27, 07:00 pm",21.375,0,0.96995,3.477,160
"Mar 27, 08:00 pm",21.746,0,0.96976,3.477,171
"Mar 27, 09:00 pm",21.728,0,0.96953,2.975,189
"Mar 27, 10:00 pm",21.573,0,0.969435,2.624,184
"Mar 27, 11:00 pm",20.091,1543.86,0.969569,4.111,139
"Mar 28, 12:00 am",17.123,12658,0.969989,6.674,133
"Mar 28, 01:00 am",16.325,5735.53,0.969949,5.417,145
"Mar 28, 02:00 am",16.144,10631.2,0.970552,6.308,144
"Mar 28, 03:00 am",16.32,10901.9,0.970807,6.431,151
"Mar 28, 04:00 am",16.523,10866.9,0.970107,6.349,131
"Mar 28, 05:00 am",16.672,25218.5,0.969344,8.252,123
"Mar 28, 06:00 am",16.573,34678.4,0.968952,9.267,129
"Mar 28, 07:00 am",16.415,15636.5,0.969202,7.064,130
"Mar 28, 08:00 am",16.16,4096.12,0.969605,4.981,141
"Mar 28, 09:00 am",16.232,14754.6,0.96903,7.021,149
"Mar 28, 10:00 am",16.214,14643.3,0.968146,6.942,128
"Mar 28, 11:00 am",16.295,19749.7,0.967326,7.664,99
"Mar 28, 12:00 pm",16.117,9534.15,0.966874,6.201,89
"Mar 28, 01:00 pm",16.511,25879.7,0.966411,8.324,132
"Mar 28, 02:00 pm",18.417,32461,0.966441,9.053,163
"Mar 28, 03:00 pm",18.571,18578.5,0.965974,7.521,147
"Mar 28, 04:00 pm",20.301,34942.1,0.965082,9.449,159
"Mar 28, 05:00 pm",20.814,44381.4,0.964385,10.334,164
"Mar 28, 06:00 pm",21.046,53735.8,0.963669,11.825,161
"Mar 28, 07:00 pm",21.402,37859.9,0.963106,9.677,169
"Mar 28, 08:00 pm",22.236,37420.2,0.962353,9.656,178
"Mar 28, 09:00 pm",21.647,40638.7,0.96171,9.938,189
"Mar 28, 10:00 pm",20.902,54286.3,0.961774,12.256,226
"Mar 28, 11:00 pm",17.365,47388.1,0.962898,10.568,247
"Mar 29, 12:00 am",14.029,55333.5,0.963747,11.892,250
"Mar 29, 01:00 am",11.363,56272.3,0.964619,12.952,257
"Mar 29, 02:00 am",9.971,56603.7,0.965551,14.189,257
"Mar 29, 03:00 am",8.711,56908.7,0.966434,12.255,248
"Mar 29, 04:00 am",8.129,57021.7,0.966807,12.175,242
"Mar 29, 05:00 am",7.319,47730.6,0.966924,10.438,233
"Mar 29, 06:00 am",6.772,45815.7,0.966975,10.205,225
"Mar 29, 07:00 am",5.643,35173.5,0.967371,9.217,214
"Mar 29, 08:00 am",5.199,40812.9,0.967454,9.738,226
"Mar 29, 09:00 am",4.401,30976,0.967725,8.736,234
"Mar 29, 10:00 am",4.099,57972.8,0.968396,12.668,253
"Mar 29, 11:00 am",3.098,48340.3,0.968935,10.416,253
"Mar 29, 12:00 pm",3.107,43526,0.969947,9.966,256
"Mar 29, 01:00 pm",3.862,42285.2,0.970941,9.913,260
"Mar 29, 02:00 pm",5.034,42207.4,0.971707,9.965,263
"Mar 29, 03:00 pm",6.421,44441.7,0.972384,10.169,263
"Mar 29, 04:00 pm",7.882,40032.8,0.97295,9.828,265
"Mar 29, 05:00 pm",9.402,36022.8,0.973493,9.453,270
"Mar 29, 06:00 pm",10.619,35323.6,0.974043,9.355,276
"Mar 29, 07:00 pm",11.583,36352.6,0.97452,9.505,275
"Mar 29, 08:00 pm",12.233,37507.6,0.974981,9.61,277
"Mar 29, 09:00 pm",12.423,44954.1,0.975318,10.23,281
"Mar 29, 10:00 pm",12.247,34644.9,0.975736,9.284,276
"Mar 29, 11:00 pm",10.818,46551.6,0.976148,10.426,278
"Mar 30, 12:00 am",8.794,47478.2,0.976727,10.522,276
"Mar 30, 01:00 am",5.891,43839.1,0.977431,10.006,283
"Mar 30, 02:00 am",4.916,33000.8,0.97816,8.886,294
"Mar 30, 03:00 am",3.713,26111.7,0.978518,8.193,309
"Mar 30, 04:00 am",3.206,12910,0.978681,6.604,311
"Mar 30, 05:00 am",2.72,848.392,0.979213,3.734,308
"Mar 30, 06:00 am",2.102,0,0.979867,2.206,298
"Mar 30, 07:00 am",1.222,0,0.980404,1.396,280
"Mar 30, 08:00 am",0.631,0,0.980791,0.993,252
"Mar 30, 09:00 am",0.587,0,0.980911,0.863,272
"Mar 30, 10:00 am",0.517,0,0.981113,0.494,100
"Mar 30, 11:00 am",0.579,0,0.981306,1.153,95
"Mar 30, 12:00 pm",2.659,0,0.981578,1.24,76
"Mar 30, 01:00 pm",6.021,0,0.981872,1.427,85
"Mar 30, 02:00 pm",9.064,0,0.981922,1.415,72
"Mar 30, 03:00 pm",11.653,0,0.981863,2.197,82
"Mar 30, 04:00 pm",13.281,0,0.981462,2.615,90
"Mar 30, 05:00 pm",14.671,0,0.981159,2.402,99
"Mar 30, 06:00 pm",15.867,0,0.980762,2.045,114
"Mar 30, 07:00 pm",16.913,0,0.980268,2.377,138
"Mar 30, 08:00 pm",17.674,0,0.979802,2.666,138
"Mar 30, 09:00 pm",18.077,0,0.979324,3.249,136
"Mar 30, 10:00 pm",17.521,3497.15,0.979025,4.811,127
"Mar 30, 11:00 pm",14.615,7866.78,0.978834,5.77,120
"Mar 31, 12:00 am",13.548,10158.7,0.978692,6.166,125
"Mar 31, 01:00 am",13.398,24700.1,0.978561,8.175,145
"Mar 31, 02:00 am",12.6,24993.6,0.978506,8.21,146
"Mar 31, 03:00 am",12.577,27841,0.978021,8.474,139
"Mar 31, 04:00 am",12.332,29312.7,0.977497,8.627,140
"Mar 31, 05:00 am",11.918,21985.7,0.977553,7.821,140
"Mar 31, 06:00 am",12.134,13535.6,0.977689,6.754,139
"Mar 31, 07:00 am",12.309,12959.3,0.978091,6.746,150
"Mar 31, 08:00 am",12.862,41120.2,0.977244,9.855,143
"Mar 31, 09:00 am",12.808,37646.3,0.976914,9.502,137
"Mar 31, 10:00 am",12.474,21200.7,0.977185,7.728,139
"Mar 31, 11:00 am",12.012,33622.6,0.977498,9.073,162
"Mar 31, 12:00 pm",12.829,36260,0.977661,9.469,151
"Mar 31, 01:00 pm",14.432,32663.3,0.977628,9.08,152
"Mar 31, 02:00 pm",15.916,30440,0.977342,8.881,154
"Mar 31, 03:00 pm",17.414,36942.7,0.97705,9.505,165
"Mar 31, 04:00 pm",18.293,38801,0.976635,9.677,173
"Mar 31, 05:00 pm",19.953,47537.3,0.975837,10.549,175
"Mar 31, 06:00 pm",20.419,50192.1,0.975349,10.87,177
"Mar 31, 07:00 pm",21.477,53507.9,0.974246,11.45,176
"Mar 31, 08:00 pm",21.897,50434.2,0.973094,10.944,173
"Mar 31, 09:00 pm",21.824,52805.2,0.972756,11.321,178
"Mar 31, 10:00 pm",20.717,51678.3,0.972152,11.098,173
"Mar 31, 11:00 pm",19.437,54437.3,0.97167,11.74,167
"Apr 1, 12:00 am",17.898,48315,0.971891,10.623,166
"Apr 1, 01:00 am",17.344,44083.5,0.972466,10.167,182
"Apr 1, 02:00 am",16.708,54857.1,0.972679,11.686,180
