,"Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","AC inverter power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Nov 16, 01:00 am",2.2,0,0,0,0,0,0,2.2,0,0,1,0,0,1
"Nov 16, 02:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,2.1
"Nov 16, 03:00 am",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,2.1
"Nov 16, 04:00 am",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,2.6
"Nov 16, 05:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,1.5
"Nov 16, 06:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,1.5
"Nov 16, 07:00 am",0,77.1299,233,20,263.477,236.18,44,0.600992,83.1581,0.23618,1,2,68.773,0
"Nov 16, 08:00 am",4.4,65.6776,659,41,1085.45,1038.65,199,16.1099,328.388,1.03865,1,1,303.149,0
"Nov 16, 09:00 am",8.9,53.3384,816,57,1830.34,1760.89,383,30.8528,561.334,1.76089,1,1,547.609,0
"Nov 16, 10:00 am",12.2,42.5429,888,69,2479.2,2386.17,530,29.5288,743.069,2.38617,1,1,737.021,3.1
"Nov 16, 11:00 am",13.9,34.7932,920,75,2792.8,2687.08,620,34.0915,851.745,2.68708,1,1,848.847,3.1
"Nov 16, 12:00 pm",15.6,32.3672,929,77,2844.78,2736.87,646,37.8977,883.349,2.73687,1,1,881.11,2.6
"Nov 16, 01:00 pm",16.1,36.3487,916,74,2701.58,2599.63,605,36.1162,832.766,2.59963,1,1,829.365,3.1
"Nov 16, 02:00 pm",17.2,45.0672,875,66,2277.14,2191.83,499,35.1341,703.16,2.19183,1,1,695.678,2.6
"Nov 16, 03:00 pm",16.7,56.3573,790,53,1641.5,1578.23,341,30.5248,506.928,1.57823,1,1,490.332,2.1
"Nov 16, 04:00 pm",16.1,68.9419,588,36,817.91,778.087,153,22.4235,261.928,0.778087,1,1,235.127,2.6
"Nov 16, 05:00 pm",12.8,78.7872,122,15,132.045,107.333,28,13.2104,44.118,0.107333,1,3,36.4019,1
"Nov 16, 06:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,1.5
"Nov 16, 07:00 pm",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,2.1
"Nov 16, 08:00 pm",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,2.1
"Nov 16, 09:00 pm",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,2.1
"Nov 16, 10:00 pm",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,2.1
"Nov 16, 11:00 pm",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,2.1
"Nov 17, 12:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,1.5
"Nov 17, 01:00 am",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,0
"Nov 17, 02:00 am",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,0
"Nov 17, 03:00 am",5,0,0,0,0,0,0,5,0,0,1,0,0,1.5
"Nov 17, 04:00 am",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,1.5
"Nov 17, 05:00 am",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,2.1
"Nov 17, 06:00 am",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,1
"Nov 17, 07:00 am",3.3,77.1452,205,20,242.166,215.298,41,3.62056,76.6858,0.215298,1,2,64.0256,0
"Nov 17, 08:00 am",6.7,65.8223,635,42,1060.2,1014.09,193,14.3242,318.252,1.01409,1,1,293.732,1.5
"Nov 17, 09:00 am",13.3,53.5142,799,59,1830.19,1760.74,375,28.6015,555.288,1.76074,1,1,541.669,1.5
"Nov 17, 10:00 am",15.6,42.7555,759,78,2152.98,2072.25,469,34.627,661.376,2.07225,1,1,656.104,1.5
"Nov 17, 11:00 am",17.2,35.0392,864,69,2533.29,2438.12,578,40.1533,796.384,2.43812,1,1,793.59,1.5
"Nov 17, 12:00 pm",18.3,32.6123,915,80,2836.15,2728.61,637,36.1264,872.99,2.72861,1,1,870.723,4.6
"Nov 17, 01:00 pm",18.3,36.5459,893,77,2609.5,2511.3,591,38.9647,815.962,2.5113,1,1,812.577,2.6
"Nov 17, 02:00 pm",18.3,45.206,850,68,2202.81,2120.25,487,36.955,686.429,2.12025,1,1,679.071,2.1
"Nov 17, 03:00 pm",18.9,56.4492,765,55,1610.55,1548.27,331,30.752,497.794,1.54827,1,1,481.616,3.1
"Nov 17, 04:00 pm",17.8,68.9983,566,38,789.391,750.276,148,25.2677,255.836,0.750277,1,1,229.966,1.5
"Nov 17, 05:00 pm",15,78.7568,109,15,124.938,100.362,27,15.1712,41.6382,0.100362,1,3,34.7461,1.5
"Nov 17, 06:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,0
"Nov 17, 07:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,0
"Nov 17, 08:00 pm",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,1
"Nov 17, 09:00 pm",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,0
"Nov 17, 10:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,0
"Nov 17, 11:00 pm",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,0
"Nov 18, 12:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,0
"Nov 18, 01:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,0
"Nov 18, 02:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,0
"Nov 18, 03:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,1
"Nov 18, 04:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,1.5
"Nov 18, 05:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,2.1
"Nov 18, 06:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,2.1
"Nov 18, 07:00 am",9.4,77.1623,95,23,163.145,137.835,33,8.88996,49.9954,0.137835,1,2,44.1265,2.6
"Nov 18, 08:00 am",12.8,65.9677,433,70,877.556,836.229,171,18.7201,264.865,0.836229,1,1,248.008,1.5
"Nov 18, 09:00 am",14.4,53.6898,628,91,1648.19,1584.71,338,25.1008,490.621,1.58471,1,1,479.774,3.1
"Nov 18, 10:00 am",18.3,42.9665,753,107,2272.13,2187.01,493,32.7333,691.353,2.18701,1,1,686.02,4.1
"Nov 18, 11:00 am",19.4,35.2813,728,136,2537.11,2441.8,562,33.1265,769.913,2.4418,1,1,767.497,5.7
"Nov 18, 12:00 pm",20,32.8516,766,119,2600.82,2502.96,583,35.1278,796.488,2.50296,1,1,794.538,5.2
"Nov 18, 01:00 pm",20.6,36.7372,683,108,2217.73,2134.63,499,38.0314,689.996,2.13463,1,1,687.356,2.6
"Nov 18, 02:00 pm",20.6,45.3393,796,86,2143.15,2062.78,475,38.47,672.674,2.06278,1,1,665.703,2.1
"Nov 18, 03:00 pm",20.6,56.536,696,68,1504.74,1445.77,319,34.7859,473.726,1.44577,1,1,458.916,1.5
"Nov 18, 04:00 pm",19.4,69.0501,473,46,726.905,689.318,137,24.5528,232.728,0.689318,1,1,211.052,3.1
"Nov 18, 05:00 pm",16.7,78.7253,63,16,98.0342,73.9675,22,16.4976,31.4097,0.0739675,1,3,27.4274,1.5
"Nov 18, 06:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,2.6
"Nov 18, 07:00 pm",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,3.1
"Nov 18, 08:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.6
"Nov 18, 09:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.6
"Nov 18, 10:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.1
"Nov 18, 11:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,1.5
"Nov 19, 12:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,2.1
"Nov 19, 01:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,2.6
"Nov 19, 02:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,2.6
"Nov 19, 03:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,2.6
"Nov 19, 04:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,2.1
"Nov 19, 05:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,2.6
"Nov 19, 06:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,1
"Nov 19, 07:00 am",10,77.181,125,24,199.167,173.153,37,9.64916,61.7738,0.173153,1,2,54.0487,1
"Nov 19, 08:00 am",13.9,66.1138,550,50,951.136,907.913,176,19.6845,291.579,0.907913,1,1,269.991,2.6
"Nov 19, 09:00 am",17.2,53.8652,732,67,1695.08,1630.09,351,31.3629,521.205,1.63009,1,1,508.393,1.5
"Nov 19, 10:00 am",19.4,43.1757,807,88,2217.85,2134.75,498,41.2638,704.526,2.13475,1,1,698.701,1
"Nov 19, 11:00 am",20.6,35.5194,853,91,2542.2,2446.68,587,44.033,815.232,2.44668,1,1,812.329,1.5
"Nov 19, 12:00 pm",21.7,33.0852,872,87,2596.79,2499.1,613,46.1201,841.089,2.4991,1,1,838.81,1.5
"Nov 19, 01:00 pm",22.2,36.9226,858,84,2423.96,2333.07,573,47.6688,792.741,2.33307,1,1,789.36,1
"Nov 19, 02:00 pm",22.8,45.4672,815,74,2010.29,1934.66,471,50.2654,670.934,1.93466,1,1,663.716,0
"Nov 19, 03:00 pm",22.8,56.6178,723,60,1453.07,1395.68,318,43.6062,478.765,1.39568,1,1,463.291,0
"Nov 19, 04:00 pm",21.7,69.0971,511,40,712.566,675.325,138,33.2115,239.118,0.675325,1,1,215.646,0
"Nov 19, 05:00 pm",18.3,78.6927,82,15,110.053,85.759,25,19.8941,36.4516,0.085759,1,3,31.2698,0
"Nov 19, 06:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,0
"Nov 19, 07:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,0
"Nov 19, 08:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,0
"Nov 19, 09:00 pm",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,0
"Nov 19, 10:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,0
"Nov 19, 11:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,0
"Nov 20, 12:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,0
"Nov 20, 01:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,0
"Nov 20, 02:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,0
"Nov 20, 03:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,0
"Nov 20, 04:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,0
"Nov 20, 05:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,0
"Nov 20, 06:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,1.5
"Nov 20, 07:00 am",9.4,77.2012,210,18,227.65,201.073,39,9.51409,74.7252,0.201073,1,2,61.7419,4.1
"Nov 20, 08:00 am",10.6,66.2605,501,48,893.699,851.96,162,15.0672,268.253,0.85196,1,1,248.427,4.1
"Nov 20, 09:00 am",14.4,54.0401,457,99,1331.12,1277.37,275,22.7754,391.39,1.27737,1,1,383.286,3.1
"Nov 20, 10:00 am",16.7,43.3829,710,110,2180.15,2098.43,468,31.6039,659.863,2.09843,1,1,654.641,3.1
"Nov 20, 11:00 am",18.3,35.7533,404,227,1968.95,1894.76,460,30.1546,588.507,1.89476,1,1,587.098,4.6
"Nov 20, 12:00 pm",20,33.3129,120,315,1497.38,1438.63,387,26.8815,439.875,1.43863,1,1,439.554,6.7
"Nov 20, 01:00 pm",21.1,37.102,132,233,1228.11,1177.34,308,26.8041,360.909,1.17734,1,1,360.379,6.2
"Nov 20, 02:00 pm",20.6,45.5895,156,243,1285.06,1232.65,318,27.1923,379.181,1.23265,1,1,377.785,5.2
"Nov 20, 03:00 pm",20,56.6944,48,135,577.87,543.792,152,22.7927,167.44,0.543792,1,1,166.407,4.6
"Nov 20, 04:00 pm",19.4,69.1394,9,103,400.598,370.447,105,20.8166,114.722,0.370447,1,1,114.308,4.1
"Nov 20, 05:00 pm",17.8,78.6591,2,10,34.7696,11.8765,11,16.6893,9.8624,0.0118765,1,3,9.73606,3.1
"Nov 20, 06:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Nov 20, 07:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,4.1
"Nov 20, 08:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.6
"Nov 20, 09:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,4.1
"Nov 20, 10:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,4.1
"Nov 20, 11:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,4.1
"Nov 21, 12:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.6
"Nov 21, 01:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,3.1
"Nov 21, 02:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.1
"Nov 21, 03:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.1
"Nov 21, 04:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.6
"Nov 21, 05:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,3.6
"Nov 21, 06:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,3.6
"Nov 21, 07:00 am",12.2,77.2231,3,20,71.6577,48.0844,21,11.0082,19.7482,0.0480844,1,2,19.5626,3.6
"Nov 21, 08:00 am",12.8,66.4077,1,66,235.794,209.054,67,12.7289,64.9041,0.209054,1,1,64.8642,5.2
"Nov 21, 09:00 am",14.4,54.2145,5,143,520.732,487.949,145,16.1979,145.58,0.487949,1,1,145.49,4.1
"Nov 21, 10:00 am",15.6,43.588,4,234,850.055,809.426,236,19.1431,240.731,0.809426,1,1,240.701,5.2
"Nov 21, 11:00 am",16.1,35.983,159,232,1320.05,1266.63,324,24.209,383.22,1.26663,1,1,382.652,3.1
"Nov 21, 12:00 pm",18.9,33.5347,786,136,2668.84,2568.23,604,38.6633,831.954,2.56823,1,1,829.796,2.6
"Nov 21, 01:00 pm",19.4,37.2752,608,153,2203.94,2121.34,496,35.6978,677.677,2.12135,1,1,675.193,3.1
"Nov 21, 02:00 pm",21.1,45.7063,659,149,2120.19,2040.65,466,32.5879,645.651,2.04065,1,1,639.692,5.7
"Nov 21, 03:00 pm",20.6,56.7659,510,113,1381.22,1325.99,292,27.9391,418.53,1.32599,1,1,407.5,5.7
"Nov 21, 04:00 pm",18.9,69.1768,320,63,627.106,591.89,123,22.0335,194.706,0.59189,1,1,179.95,5.2
"Nov 21, 05:00 pm",16.1,78.6245,37,17,84.4626,60.6505,21,15.5441,25.8656,0.0606505,1,3,23.529,2.1
"Nov 21, 06:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,2.6
"Nov 21, 07:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Nov 21, 08:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.6
"Nov 21, 09:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.1
"Nov 21, 10:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.1
"Nov 21, 11:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.1
"Nov 22, 12:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,4.1
"Nov 22, 01:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,3.6
"Nov 22, 02:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,3.6
"Nov 22, 03:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.6
"Nov 22, 04:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,4.1
"Nov 22, 05:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.1
"Nov 22, 06:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.6
"Nov 22, 07:00 am",13.9,77.2464,0,22,77.8555,54.1668,22,12.8757,21.4311,0.0541668,1,2,21.4311,4.1
"Nov 22, 08:00 am",15,66.5551,4,89,330.325,301.657,90,15.5412,92.1794,0.301657,1,1,92.0185,4.1
"Nov 22, 09:00 am",15.6,54.3883,0,112,390.844,360.901,112,16.7367,109.466,0.360901,1,1,109.466,3.6
"Nov 22, 10:00 am",18.3,43.7909,366,195,1656.2,1592.47,378,26.551,488.21,1.59247,1,1,485.417,5.2
"Nov 22, 11:00 am",20.6,36.2084,495,233,2225.45,2142.07,516,33.9693,677.813,2.14207,1,1,676.002,4.6
"Nov 22, 12:00 pm",21.7,33.7504,441,195,2016.17,1940.33,457,30.5669,603.612,1.94033,1,1,602.372,7.7
"Nov 22, 01:00 pm",21.1,37.4423,599,211,2401.47,2311.44,547,33.3578,729.773,2.31144,1,1,727.284,6.2
"Nov 22, 02:00 pm",22.2,45.8173,456,207,1865.94,1795.28,426,31.3093,563.656,1.79528,1,1,559.492,6.7
"Nov 22, 03:00 pm",21.7,56.8323,485,124,1373,1318.01,294,28.5307,416.759,1.31801,1,1,406.219,6.2
"Nov 22, 04:00 pm",20.6,69.2095,223,76,555.374,521.809,118,23.1234,170.475,0.521809,1,1,160.175,5.7
"Nov 22, 05:00 pm",17.8,78.5889,7,16,60.0197,36.6623,17,17.0136,17.2731,0.0366623,1,3,16.8312,3.1
"Nov 22, 06:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,4.1
"Nov 22, 07:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,3.6
"Nov 22, 08:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,5.7
"Nov 22, 09:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,4.6
"Nov 22, 10:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,5.2
"Nov 22, 11:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,6.2
"Nov 23, 12:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,5.2
"Nov 23, 01:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,2.6
"Nov 23, 02:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,0
"Nov 23, 03:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,2.6
"Nov 23, 04:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,6.2
"Nov 23, 05:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,5.2
"Nov 23, 06:00 am",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,6.2
"Nov 23, 07:00 am",16.7,77.2713,1,12,41.3703,18.3563,12,15.4882,11.5837,0.0183563,1,2,11.5217,4.1
"Nov 23, 08:00 am",16.7,66.7029,1,27,92.9375,68.9665,27,15.9647,25.9795,0.0689666,1,1,25.939,5.7
"Nov 23, 09:00 am",16.7,54.5612,1,63,215.797,189.455,63,16.5421,60.4049,0.189455,1,1,60.3864,2.6
"Nov 23, 10:00 am",16.7,43.9914,3,104,362.504,333.162,105,17.565,101.934,0.333162,1,1,101.911,4.1
"Nov 23, 11:00 am",15.6,36.4292,2,129,450.367,419.14,130,16.7424,126.148,0.41914,1,1,126.14,6.2
"Nov 23, 12:00 pm",15.6,33.96,3,251,901.346,859.411,253,19.1899,255.287,0.859411,1,1,255.279,5.7
"Nov 23, 01:00 pm",15.6,37.6031,2,213,758.127,719.781,214,18.6228,214.169,0.719781,1,1,214.161,5.7
"Nov 23, 02:00 pm",15.6,45.9226,1,234,848.405,807.817,234,19.2437,240.353,0.807817,1,1,240.344,5.2
"Nov 23, 03:00 pm",17.2,56.8933,219,122,895.786,853.995,198,20.8642,260.442,0.853995,1,1,255.663,6.2
"Nov 23, 04:00 pm",16.7,69.2373,341,54,618.759,583.737,116,19.9495,191.627,0.583737,1,1,175.856,4.1
"Nov 23, 05:00 pm",14.4,78.5522,21,14,64.6986,41.2545,16,13.6672,19.1975,0.0412545,1,3,17.8723,3.6
"Nov 23, 06:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.1
"Nov 23, 07:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,7.2
"Nov 23, 08:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,5.2
"Nov 23, 09:00 pm",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,7.7
"Nov 23, 10:00 pm",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,7.7
"Nov 23, 11:00 pm",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,7.7
"Nov 24, 12:00 am",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,5.2
"Nov 24, 01:00 am",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,6.2
"Nov 24, 02:00 am",3.9,0,0,0,0,0,0,3.9,0,0,1,0,0,5.7
"Nov 24, 03:00 am",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,5.2
"Nov 24, 04:00 am",2.2,0,0,0,0,0,0,2.2,0,0,1,0,0,5.2
"Nov 24, 05:00 am",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,2.6
"Nov 24, 06:00 am",0.6,0,0,0,0,0,0,0.6,0,0,1,0,0,3.6
"Nov 24, 07:00 am",0.6,77.2976,204,16,219.963,193.538,37,0.484311,70.0223,0.193538,1,2,57.3867,3.6
"Nov 24, 08:00 am",2.2,66.8507,657,33,1030.9,985.569,174,7.38937,303.871,0.985569,1,1,277.016,4.1
"Nov 24, 09:00 am",6.1,54.7332,827,47,1860.98,1790.5,355,18.1797,540.082,1.7905,1,1,524.642,3.1
"Nov 24, 10:00 am",9.4,44.1893,903,58,2436.33,2344.96,502,27.2872,723.703,2.34496,1,1,716.561,2.6
"Nov 24, 11:00 am",12.2,36.6454,937,64,2749.43,2645.51,594,33.1699,835.487,2.64551,1,1,831.899,2.6
"Nov 24, 12:00 pm",14.4,34.1635,947,66,2820.31,2713.44,622,36.3862,869.763,2.71344,1,1,866.977,2.6
"Nov 24, 01:00 pm",15.6,37.7576,934,63,2671.24,2570.54,583,35.3332,820.888,2.57054,1,1,816.881,3.1
"Nov 24, 02:00 pm",16.7,46.0221,899,56,2264.56,2179.72,482,34.4957,698.016,2.17972,1,1,689.66,2.6
"Nov 24, 03:00 pm",17.2,56.9491,814,45,1642.81,1579.51,327,28.6232,504.099,1.57951,1,1,486.264,3.6
"Nov 24, 04:00 pm",16.7,69.2603,615,31,808.969,769.369,143,22.5909,261.213,0.769369,1,1,232.737,3.1
"Nov 24, 05:00 pm",12.8,78.5147,125,12,127.216,102.597,27,12.827,42.8958,0.102597,1,3,35.011,2.6
"Nov 24, 06:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,2.6
"Nov 24, 07:00 pm",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,2.1
"Nov 24, 08:00 pm",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,2.6
"Nov 24, 09:00 pm",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,3.1
"Nov 24, 10:00 pm",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,4.1
"Nov 24, 11:00 pm",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,5.2
"Nov 25, 12:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,5.7
"Nov 25, 01:00 am",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,5.7
"Nov 25, 02:00 am",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,5.2
"Nov 25, 03:00 am",5,0,0,0,0,0,0,5,0,0,1,0,0,5.7
"Nov 25, 04:00 am",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,4.6
"Nov 25, 05:00 am",3.9,0,0,0,0,0,0,3.9,0,0,1,0,0,4.1
"Nov 25, 06:00 am",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,5.7
"Nov 25, 07:00 am",3.9,77.3252,128,17,168.834,143.414,30,3.6036,52.5667,0.143414,1,2,44.6343,6.7
"Nov 25, 08:00 am",6.1,66.9985,574,42,956.39,913.03,163,9.34239,282.842,0.91303,1,1,259.191,7.7
"Nov 25, 09:00 am",8.9,54.9042,763,60,1815.42,1746.47,341,15.7023,520.514,1.74647,1,1,506.088,8.2
"Nov 25, 10:00 am",11.1,44.3846,845,74,2439,2347.53,487,21.2164,704.04,2.34753,1,1,697.238,7.7
"Nov 25, 11:00 am",12.8,36.8569,829,85,2676.71,2575.78,551,23.7574,777.521,2.57578,1,1,774.276,8.2
"Nov 25, 12:00 pm",13.9,34.3607,507,137,2064.99,1987.43,433,22.6473,595.771,1.98743,1,1,594.247,7.7
"Nov 25, 01:00 pm",12.8,37.9057,89,275,1292.76,1240.13,324,18.6843,365.679,1.24013,1,1,365.291,6.2
"Nov 25, 02:00 pm",12.8,46.1157,41,186,799.361,760,205,15.9312,223.453,0.76,1,1,223.069,6.2
"Nov 25, 03:00 pm",12.8,56.9996,13,132,502.988,470.602,136,14.1473,139.53,0.470602,1,1,139.244,7.2
"Nov 25, 04:00 pm",12.2,69.2785,0,54,193.324,167.425,54,12.0833,53.0289,0.167425,1,1,53.0289,6.7
"Nov 25, 05:00 pm",11.7,78.4761,1,7,24.7874,2.07633,7,10.7581,6.82258,0.00207633,1,3,6.75953,7.2
"Nov 25, 06:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,7.2
"Nov 25, 07:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,6.7
"Nov 25, 08:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,7.2
"Nov 25, 09:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,5.2
"Nov 25, 10:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,6.2
"Nov 25, 11:00 pm",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,5.7
"Nov 26, 12:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,6.7
"Nov 26, 01:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,4.6
"Nov 26, 02:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,8.2
"Nov 26, 03:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,6.7
"Nov 26, 04:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,6.2
"Nov 26, 05:00 am",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,6.7
"Nov 26, 06:00 am",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,6.2
"Nov 26, 07:00 am",6.1,77.3543,2,17,61.7601,38.3704,18,5.12969,16.5585,0.0383704,1,2,16.4345,6.2
"Nov 26, 08:00 am",6.7,67.1462,4,81,312.175,283.883,82,6.91476,83.8791,0.283883,1,1,83.7129,6.2
