,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 6, 01:00 pm",2735.64,22.8,20.7414,582,2843.49,297,793,35.3084,869.753,2.73564,1,1,869.448,8.1
"Aug 6, 02:00 pm",2554.52,22.5,34.5116,713,2654.55,199,744,34.2868,809.779,2.55452,1,1,807.6,8.1
"Aug 6, 03:00 pm",1686.46,22.3,48.3982,395,1753.35,258,509,30.0729,527.095,1.68646,1,1,522.605,7.8
"Aug 6, 04:00 pm",1249.18,22.1,62.2287,552,1302.08,139,403,27.7076,400.933,1.24918,1,1,383.729,7.8
"Aug 6, 05:00 pm",602.341,21.7,75.9005,411,637.808,113,236,24.302,209.626,0.602341,1,1,184.966,7.8
"Aug 6, 06:00 pm",101.37,21.3,89.2608,111,125.966,43,56,21.1197,37.3193,0.10137,1,1,35.9938,8
"Aug 6, 07:00 pm",0,20.8,96.3159,10,3.41297,1,1,19.9171,0.969846,0,1,3,0.969846,8
"Aug 6, 08:00 pm",0,20,0,0,0,0,0,20,0,0,1,0,0,8
"Aug 6, 09:00 pm",0,19.2,0,0,0,0,0,19.2,0,0,1,0,0,4.7
"Aug 6, 10:00 pm",0,18.3,0,0,0,0,0,18.3,0,0,1,0,0,4.7
"Aug 6, 11:00 pm",0,18,0,0,0,0,0,18,0,0,1,0,0,4.7
"Aug 7, 12:00 am",0,17.7,0,0,0,0,0,17.7,0,0,1,0,0,3.7
"Aug 7, 01:00 am",0,17.4,0,0,0,0,0,17.4,0,0,1,0,0,3.7
"Aug 7, 02:00 am",0,17.3,0,0,0,0,0,17.3,0,0,1,0,0,3.7
"Aug 7, 03:00 am",0,17.2,0,0,0,0,0,17.2,0,0,1,0,0,4.5
"Aug 7, 04:00 am",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,4.5
"Aug 7, 05:00 am",32.5969,17.1,91.1332,24,55.8778,17,19,16.014,15.5991,0.0325969,1,2,15.5991,4.5
"Aug 7, 06:00 am",359.476,17.1,78.3609,50,389.388,110,123,18.3133,112.99,0.359476,1,1,109.842,2.2
"Aug 7, 07:00 am",801.327,17.1,64.7301,121,841.747,199,253,22.1612,246.073,0.801327,1,1,241.685,2.2
"Aug 7, 08:00 am",1509.95,17.8,50.9218,314,1570.98,267,458,29.0943,470.429,1.50995,1,1,466.05,2.2
"Aug 7, 09:00 am",2380.53,18.6,37.0422,615,2473.34,249,705,35.5914,759.781,2.38053,1,1,757.328,3.3
"Aug 7, 10:00 am",1621.29,19.3,23.2459,123,1685.98,381,484,31.2323,505.438,1.62129,1,1,505.345,3.3
"Aug 7, 11:00 am",493.587,19.8,10.2568,3,526.5,155,158,23.0314,151.783,0.493587,1,1,151.783,3.3
"Aug 7, 12:00 pm",1210.41,20.2,8.37146,36,1262.16,335,367,27.9172,372.337,1.21041,1,1,372.336,3
"Aug 7, 01:00 pm",2760.48,20.6,20.8649,631,2869.43,284,820,41.0871,903.495,2.76048,1,1,903.158,3
"Aug 7, 02:00 pm",2399.18,20.5,34.6165,607,2492.75,259,721,39.4402,779.957,2.39918,1,1,778.081,3
"Aug 7, 03:00 pm",756.528,20.5,48.5025,42,795.801,211,238,27.2375,234.484,0.756528,1,1,234.002,2.3
"Aug 7, 04:00 pm",1251.07,20.4,62.3397,407,1304.03,212,405,29.7395,400.83,1.25107,1,1,388.056,2.3
"Aug 7, 05:00 pm",266.053,19.7,76.0226,0,293.97,89,89,21.4008,84.109,0.266053,1,1,84.109,2.3
"Aug 7, 06:00 pm",98.3434,19.1,89.3956,61,122.88,40,47,18.6182,35.3153,0.0983434,1,1,34.7113,4.5
"Aug 7, 07:00 pm",0,18.4,96.3105,5,0,0,0,18.4,0,0,1,3,0,4.5
"Aug 7, 08:00 pm",0,17.3,0,0,0,0,0,17.3,0,0,1,0,0,4.5
"Aug 7, 09:00 pm",0,16.2,0,0,0,0,0,16.2,0,0,1,0,0,5.6
"Aug 7, 10:00 pm",0,15.1,0,0,0,0,0,15.1,0,0,1,0,0,5.6
"Aug 7, 11:00 pm",0,14.8,0,0,0,0,0,14.8,0,0,1,0,0,5.6
"Aug 8, 12:00 am",0,14.5,0,0,0,0,0,14.5,0,0,1,0,0,5.1
"Aug 8, 01:00 am",0,14.3,0,0,0,0,0,14.3,0,0,1,0,0,5.1
"Aug 8, 02:00 am",0,14.1,0,0,0,0,0,14.1,0,0,1,0,0,5.1
"Aug 8, 03:00 am",0,14,0,0,0,0,0,14,0,0,1,0,0,4.4
"Aug 8, 04:00 am",0,13.9,0,0,0,0,0,13.9,0,0,1,0,0,4.4
"Aug 8, 05:00 am",0,14,91.1029,0,17.1895,5,5,12.6156,4.72625,0,1,2,4.72625,4.4
"Aug 8, 06:00 am",85.761,14.1,78.4282,0,110.055,32,32,13.1434,30.3306,0.085761,1,1,30.3306,3.3
"Aug 8, 07:00 am",546.376,14.2,64.7849,13,580.515,165,171,16.4631,162.86,0.546376,1,1,162.387,3.3
"Aug 8, 08:00 am",776.606,14.8,50.9689,22,816.391,226,239,19.0117,231.337,0.776606,1,1,231.03,3.3
"Aug 8, 09:00 am",2085.58,15.4,37.0889,400,2166.82,312,608,29.183,644.69,2.08558,1,1,643.087,3.4
