Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
5122.5,25,20.6,20.4663,76,2.1,100
5123.5,26.7,21.7,21.6702,74,2.6,130
5124.5,27.8,22.2,22.2768,72,3.1,120
5125.5,27.8,22.2,22.2768,72,3.1,80
5126.5,28.3,22.2,22.2915,70,5.2,90
5127.5,28.9,21.7,21.6448,65,4.6,90
5128.5,28.9,22.2,22.1423,67,4.1,80
5129.5,28.9,21.7,21.6448,65,3.1,60
5130.5,28.3,22.2,22.2915,70,3.1,90
5131.5,27.2,22.2,22.1513,74,1.5,90
5132.5,27.2,22.8,22.8066,77,2.6,90
5133.5,26.1,22.2,22.1638,79,3.1,110
5134.5,25.6,22.2,22.2909,82,4.1,120
5135.5,25,21.1,21.0963,79,4.1,130
5136.5,25,20.6,20.4663,76,4.1,130
5137.5,24.4,20,19.8868,76,4.1,130
5138.5,23.9,20,20.0287,79,4.1,150
5139.5,23.9,20,20.0287,79,4.6,150
5140.5,23.9,20,20.0287,79,4.6,160
5141.5,23.3,20,20.0481,82,4.1,150
5142.5,23.9,20,20.0287,79,4.1,140
5143.5,25,20,20.034,74,4.1,150
5144.5,25.6,20,20.167,72,5.2,170
5145.5,27.8,21.1,21.0972,67,6.2,160
5146.5,29.4,21.7,21.605,63,5.2,170
5147.5,31.1,22.2,22.1238,59,6.2,170
5148.5,32.2,22.8,22.8684,58,6.7,160
5149.5,33.9,22.8,22.6372,52,6.7,160
5150.5,35,22.2,22.3227,48,5.2,150
5151.5,35,22.2,22.3227,48,5.2,150
5152.5,33.9,22.2,22.317,51,5.7,140
5153.5,33.9,22.2,22.317,51,5.2,130
5154.5,32.2,21.7,21.6919,54,4.6,120
5155.5,31.1,21.1,20.9744,55,3.6,130
5156.5,30,21.1,21.0959,59,3.1,150
5157.5,29.4,21.1,21.0777,61,3.6,140
5158.5,28.9,22.2,22.1423,67,4.1,170
5159.5,28.3,22.2,22.2915,70,3.6,180
5160.5,27.8,22.2,22.2768,72,5.2,150
5161.5,27.8,22.2,22.2768,72,3.1,170
5162.5,27.2,22.8,22.8066,77,5.2,20
5163.5,26.7,22.2,22.323,77,4.6,40
5164.5,26.7,22.2,22.323,77,3.6,100
5165.5,25,20.6,20.4663,76,3.6,60
5166.5,23.9,20.6,20.6332,82,5.2,80
5167.5,23.9,21.1,21.2186,85,3.6,90
5168.5,25,21.7,21.7058,82,5.7,110
5169.5,27.8,22.2,22.2768,72,4.1,130
5170.5,30,22.8,22.6856,65,4.1,170
5171.5,31.7,22.8,22.6843,59,4.1,190
5172.5,33.3,23.3,23.3099,56,5.2,200
5173.5,33.9,22.2,22.317,51,4.1,220
5174.5,33.3,22.8,22.7077,54,3.6,220
5175.5,33.9,22.8,22.6372,52,2.6,170
5176.5,33.9,22.2,22.317,51,2.6,120
5177.5,31.7,26.1,26.0151,72,3.6,80
5178.5,31.1,26.1,26.1304,75,4.1,100
5179.5,28.3,21.7,21.5723,67,5.2,130
5180.5,26.7,21.7,21.6702,74,6.2,160
5181.5,26.1,21.7,21.7427,77,5.2,160
5182.5,26.1,22.2,22.1638,79,4.1,160
5183.5,24.4,22.8,22.8313,91,4.1,220
5184.5,23.3,22.2,22.2773,94,5.2,180
5185.5,23.3,22.8,22.7956,97,3.6,160
