,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Mar 5, 07:00 am",600.909,15.1,73.2006,284,636.341,103,161,17.9414,194.817,0.600909,1,1,179.201,3.9
"Mar 5, 08:00 am",1380.2,16.7,59.3625,555,1437.1,131,346,25.1927,432.87,1.3802,1,1,418.51,3.9
"Mar 5, 09:00 am",2139.08,18.3,46.0655,709,2222.35,162,545,34.6993,684.1,2.13908,1,1,677.486,2.6
"Mar 5, 10:00 am",2516.91,20,34.0193,741,2615.35,171,655,40.2627,821.898,2.51691,1,1,819.751,2.6
"Mar 5, 11:00 am",2877.24,21,25.1248,830,2991.43,169,763,44.7884,960.434,2.87724,1,1,959.617,2.6
"Mar 5, 12:00 pm",2888.63,22,23.3337,828,3003.34,171,773,46.3504,971.935,2.88863,1,1,971.299,2.6
"Mar 5, 01:00 pm",2576.53,22.9,29.95,737,2677.49,182,686,44.6618,859.686,2.57653,1,1,858.345,2.6
"Mar 5, 02:00 pm",2163.91,23.3,41.0912,683,2248.13,165,568,41.3531,712.624,2.16391,1,1,708.562,2.6
"Mar 5, 03:00 pm",1521.68,23.6,54.0167,527,1583.1,159,397,34.5111,491.49,1.52168,1,1,482.161,3.8
"Mar 5, 04:00 pm",700.057,24,67.6916,274,737.91,116,193,28.7817,230.298,0.700057,1,1,218.583,3.8
"Mar 5, 05:00 pm",93.8162,22.8,80.9459,126,118.265,18,30,22.8367,42.0193,0.0938162,1,3,34.0634,3.8
"Mar 5, 06:00 pm",0,21.6,0,0,0,0,0,21.6,0,0,1,0,0,3.3
"Mar 5, 07:00 pm",0,20.4,0,0,0,0,0,20.4,0,0,1,0,0,3.3
"Mar 5, 08:00 pm",0,19.4,0,0,0,0,0,19.4,0,0,1,0,0,3.3
"Mar 5, 09:00 pm",0,18.3,0,0,0,0,0,18.3,0,0,1,0,0,3.5
"Mar 5, 10:00 pm",0,17.2,0,0,0,0,0,17.2,0,0,1,0,0,3.5
"Mar 5, 11:00 pm",0,16.3,0,0,0,0,0,16.3,0,0,1,0,0,3.5
"Mar 6, 12:00 am",0,15.3,0,0,0,0,0,15.3,0,0,1,0,0,3.7
"Mar 6, 01:00 am",0,14.3,0,0,0,0,0,14.3,0,0,1,0,0,3.7
"Mar 6, 02:00 am",0,13.7,0,0,0,0,0,13.7,0,0,1,0,0,3.7
"Mar 6, 03:00 am",0,13,0,0,0,0,0,13,0,0,1,0,0,3.5
"Mar 6, 04:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,3.5
"Mar 6, 05:00 am",0,11.7,0,0,0,0,0,11.7,0,0,1,0,0,3.5
"Mar 6, 06:00 am",0,11.1,83.696,21,8.75233,1,2,9.67589,3.58844,0,1,2,2.37544,4.1
"Mar 6, 07:00 am",629.882,10.4,73.0165,405,666.013,77,161,13.3441,205.83,0.629882,1,1,183.715,4.1
"Mar 6, 08:00 am",1455.85,12.8,59.1538,614,1515.14,114,355,21.5132,449.393,1.45585,1,1,433.727,4.1
"Mar 6, 09:00 am",2107.41,15.2,45.8193,746,2189.48,131,538,36.2275,679.337,2.10741,1,1,672.525,1
"Mar 6, 10:00 am",2499.4,17.7,33.7142,772,2597.11,154,662,43.873,831.354,2.4994,1,1,829.191,1
"Mar 6, 11:00 am",2677.58,19.1,24.7475,757,2782.88,180,726,47.8926,908.021,2.67758,1,1,907.313,1
"Mar 6, 12:00 pm",2638.77,20.6,22.965,729,2742.4,195,728,50.7811,908.457,2.63877,1,1,907.926,0.8
"Mar 6, 01:00 pm",2493.72,22,29.6915,743,2591.19,175,686,50.704,858.821,2.49372,1,1,857.511,0.8
"Mar 6, 02:00 pm",2167.92,22.8,40.9219,731,2252.3,154,589,47.8729,738.526,2.16792,1,1,734.249,0.8
"Mar 6, 03:00 pm",1710.16,23.6,53.9009,716,1777.87,119,446,38.4222,564.672,1.71016,1,1,552.107,2.3
"Mar 6, 04:00 pm",895.959,24.4,67.6081,525,938.862,92,241,32.2967,305.214,0.895959,1,1,282.866,2.3
"Mar 6, 05:00 pm",122.793,23.7,80.9946,245,147.807,15,38,24.5151,58.3677,0.122793,1,3,42.9071,2.3
"Mar 6, 06:00 pm",0,22.9,0,0,0,0,0,22.9,0,0,1,0,0,1.9
"Mar 6, 07:00 pm",0,22.2,0,0,0,0,0,22.2,0,0,1,0,0,1.9
"Mar 6, 08:00 pm",0,20.8,0,0,0,0,0,20.8,0,0,1,0,0,1.9
"Mar 6, 09:00 pm",0,19.5,0,0,0,0,0,19.5,0,0,1,0,0,4.4
"Mar 6, 10:00 pm",0,18.1,0,0,0,0,0,18.1,0,0,1,0,0,4.4
"Mar 6, 11:00 pm",0,17.3,0,0,0,0,0,17.3,0,0,1,0,0,4.4
"Mar 7, 12:00 am",0,16.4,0,0,0,0,0,16.4,0,0,1,0,0,4.9
"Mar 7, 01:00 am",0,15.6,0,0,0,0,0,15.6,0,0,1,0,0,4.9
"Mar 7, 02:00 am",0,15,0,0,0,0,0,15,0,0,1,0,0,4.9
"Mar 7, 03:00 am",0,14.3,0,0,0,0,0,14.3,0,0,1,0,0,4.6
"Mar 7, 04:00 am",0,13.7,0,0,0,0,0,13.7,0,0,1,0,0,4.6
"Mar 7, 05:00 am",0,13.2,0,0,0,0,0,13.2,0,0,1,0,0,4.6
"Mar 7, 06:00 am",0,12.7,83.696,0,3.45327,1,1,11.3969,0.944364,0,1,2,0.944364,4.8
"Mar 7, 07:00 am",155.351,12.2,72.8309,0,181.009,52,52,11.7715,49.5825,0.155351,1,1,49.5825,4.8
"Mar 7, 08:00 am",1398.3,13.8,58.9441,460,1455.78,170,353,21.0695,427.452,1.3983,1,1,415.88,4.8
"Mar 7, 09:00 am",2079.86,15.5,45.5724,720,2160.87,146,542,38.9517,679.27,2.07986,1,1,672.834,0.5
