,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 18, 02:00 am",0,23.4,0,0,0,0,0,23.4,0,0,1,0,0,1.6
"Aug 18, 03:00 am",0,22.8,0,0,0,0,0,22.8,0,0,1,0,0,1.3
"Aug 18, 04:00 am",0,22.2,0,0,0,0,0,22.2,0,0,1,0,0,1.3
"Aug 18, 05:00 am",0,22.4,93.7669,0,3.40537,1,1,20.4023,0.969846,0,1,2,0.969846,1.3
"Aug 18, 06:00 am",142.763,22.5,85.7025,0,168.171,52,52,22.019,48.2539,0.142763,1,1,48.2539,1.7
"Aug 18, 07:00 am",634.934,22.7,71.4741,203,671.187,148,219,26.9069,207.46,0.634934,1,1,197.05,1.7
"Aug 18, 08:00 am",867.506,25.3,57.0814,75,909.654,241,282,31.9906,275.317,0.867506,1,1,273.658,1.7
"Aug 18, 09:00 am",1609.63,27.9,42.6026,271,1673.94,318,510,39.5873,524.745,1.60963,1,1,522.889,2.9
"Aug 18, 10:00 am",2368.72,30.5,28.073,620,2461.05,239,755,49.1768,808.742,2.36872,1,1,807.846,2.9
"Aug 18, 11:00 am",2420.49,31.6,13.5216,508,2514.93,316,777,51.4912,835.866,2.42049,1,1,835.791,2.9
"Aug 18, 12:00 pm",2022.35,32.8,1.32509,268,2101.21,402,651,49.3223,690.263,2.02235,1,1,690.263,3
"Aug 18, 01:00 pm",1851.49,34,15.6691,224,1924.13,397,599,48.8707,630.628,1.85149,1,1,630.577,3
"Aug 18, 02:00 pm",2142.87,34.1,30.2223,520,2226.28,271,695,51.2508,739.888,2.14287,1,1,738.911,3
"Aug 18, 03:00 pm",1953.07,34.2,44.7507,673,2029.38,172,633,47.4231,665.608,1.95307,1,1,660.012,4.9
"Aug 18, 04:00 pm",1316.36,34.3,59.2261,617,1371.29,128,446,43.2919,452.33,1.31636,1,1,436.511,4.9
"Aug 18, 05:00 pm",615.367,33.5,73.6112,383,651.147,116,238,37.6646,222.826,0.615367,1,1,201.444,4.9
"Aug 18, 06:00 pm",96.0975,32.6,87.8079,60,120.591,40,47,32.7239,38.2359,0.0960975,1,1,36.4081,5.3
"Aug 18, 07:00 pm",0,31.8,94.71,2,0,0,0,31.8,0,0,1,3,0,5.3
"Aug 18, 08:00 pm",0,30.6,0,0,0,0,0,30.6,0,0,1,0,0,5.3
"Aug 18, 09:00 pm",0,29.3,0,0,0,0,0,29.3,0,0,1,0,0,4.3
"Aug 18, 10:00 pm",0,28.1,0,0,0,0,0,28.1,0,0,1,0,0,4.3
"Aug 18, 11:00 pm",0,27.2,0,0,0,0,0,27.2,0,0,1,0,0,4.3
"Aug 19, 12:00 am",0,26.3,0,0,0,0,0,26.3,0,0,1,0,0,2.4
"Aug 19, 01:00 am",0,25.4,0,0,0,0,0,25.4,0,0,1,0,0,2.4
"Aug 19, 02:00 am",0,24.6,0,0,0,0,0,24.6,0,0,1,0,0,2.4
"Aug 19, 03:00 am",0,23.7,0,0,0,0,0,23.7,0,0,1,0,0,1.6
"Aug 19, 04:00 am",0,22.9,0,0,0,0,0,22.9,0,0,1,0,0,1.6
"Aug 19, 05:00 am",0,23,93.7099,0,3.39369,1,1,21.1478,0.969846,0,1,2,0.969846,1.6
"Aug 19, 06:00 am",139.491,23,85.7237,0,164.834,51,51,22.2993,47.358,0.139491,1,1,47.358,0.7
"Aug 19, 07:00 am",559.187,23.1,71.4805,96,593.627,156,189,27.3179,179.545,0.559187,1,1,174.62,0.7
"Aug 19, 08:00 am",985.638,25.8,57.075,107,1030.97,266,324,35.3771,317.71,0.985638,1,1,315.345,0.7
"Aug 19, 09:00 am",1378.59,28.4,42.5859,132,1435.45,347,440,38.0603,445.866,1.37859,1,1,444.963,3.2
"Aug 19, 10:00 am",1651.51,31,28.0491,156,1717.22,402,532,43.2022,546.599,1.65151,1,1,546.374,3.2
"Aug 19, 11:00 am",1826.45,32.2,13.4992,160,1898.21,446,591,46.0852,613.066,1.82645,1,1,613.042,3.2
"Aug 19, 12:00 pm",1895.53,33.4,1.57624,217,1969.75,414,616,48.0732,642.816,1.89553,1,1,642.816,3.2
"Aug 19, 01:00 pm",1780.13,34.6,15.7533,203,1850.25,400,582,48.5123,605.266,1.78013,1,1,605.22,3.2
"Aug 19, 02:00 pm",1572.21,34.6,30.3074,152,1635.28,393,517,46.7935,530.376,1.57221,1,1,530.087,3.2
"Aug 19, 03:00 pm",1291.46,34.5,44.8433,129,1345.64,334,422,41.9083,426.399,1.29146,1,1,425.318,5.9
"Aug 19, 04:00 pm",890.861,34.4,59.3289,99,933.629,250,301,39.3361,293.824,0.890862,1,1,291.268,5.9
"Aug 19, 05:00 pm",455.496,33.2,73.7261,108,487.54,130,164,35.4838,155.258,0.455496,1,1,149.203,5.9
