,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 1, 03:00 pm",1290.87,31.8,43.8978,151,1345.03,317,422,42.1864,426.894,1.29087,1,1,425.731,2.9
"Aug 1, 04:00 pm",1374.64,31.4,57.8028,525,1431.37,180,466,42.0813,465.028,1.37464,1,1,452.816,2.9
"Aug 1, 05:00 pm",707.772,31,71.5534,315,745.818,151,267,36.4964,245.602,0.707772,1,1,229.393,3.2
"Aug 1, 06:00 pm",128.786,30.7,85.0409,0,153.918,49,49,31.1125,46.1075,0.128786,1,1,46.1075,3.2
"Aug 1, 07:00 pm",0,30.2,94.6778,0,3.1834,1,1,29.0761,0.944313,0,1,3,0.944313,3.2
"Aug 1, 08:00 pm",0,29.7,0,0,0,0,0,29.7,0,0,1,0,0,4
"Aug 1, 09:00 pm",0,29.3,0,0,0,0,0,29.3,0,0,1,0,0,4
"Aug 1, 10:00 pm",0,28.3,0,0,0,0,0,28.3,0,0,1,0,0,4
"Aug 1, 11:00 pm",0,27.4,0,0,0,0,0,27.4,0,0,1,0,0,2.7
"Aug 2, 12:00 am",0,26.5,0,0,0,0,0,26.5,0,0,1,0,0,2.7
"Aug 2, 01:00 am",0,25.9,0,0,0,0,0,25.9,0,0,1,0,0,2.7
"Aug 2, 02:00 am",0,25.3,0,0,0,0,0,25.3,0,0,1,0,0,2.9
"Aug 2, 03:00 am",0,24.7,0,0,0,0,0,24.7,0,0,1,0,0,2.9
"Aug 2, 04:00 am",0,24.1,0,0,0,0,0,24.1,0,0,1,0,0,2.9
"Aug 2, 05:00 am",0,23.4,93.2458,167,18.1657,6,17,22.0309,5.21264,0,1,2,5.21264,3.1
"Aug 2, 06:00 am",289.225,22.8,82.1877,458,317.63,62,164,24.1686,120.27,0.289225,1,1,92.056,3.1
"Aug 2, 07:00 am",943.577,24.4,68.6279,655,987.761,83,349,30.886,324.958,0.943577,1,1,295.569,3.1
"Aug 2, 08:00 am",1647.88,26,54.8349,752,1713.47,101,535,37.6597,544.225,1.64788,1,1,530.079,3.4
"Aug 2, 09:00 am",2217.01,27.6,40.9057,816,2303.3,109,698,44.0128,740.682,2.21701,1,1,735.914,3.4
"Aug 2, 10:00 am",2603.59,29,26.918,854,2705.7,113,823,48.9624,888.212,2.60359,1,1,887.147,3.4
"Aug 2, 11:00 am",2715.36,30.3,13.0317,711,2822.31,235,873,55.2647,957.433,2.71536,1,1,957.338,2.1
"Aug 2, 12:00 pm",2027.49,31.7,3.69103,320,2106.55,356,649,50.6103,696.78,2.02749,1,1,696.778,2.1
"Aug 2, 01:00 pm",2651.05,31.8,16.0373,693,2755.2,242,857,55.7314,937.136,2.65105,1,1,936.97,2.1
"Aug 2, 02:00 pm",2211.52,32,29.9801,567,2297.59,276,736,57.176,788.634,2.21152,1,1,787.599,1
"Aug 2, 03:00 pm",1381.67,32.1,43.9677,223,1438.62,309,464,47.9994,471.032,1.38167,1,1,469.303,1
"Aug 2, 04:00 pm",506.242,31.7,57.8812,18,539.446,165,175,37.3919,167.081,0.506242,1,1,166.661,1
"Aug 2, 05:00 pm",692.194,31.3,71.6436,299,729.853,150,260,35.8404,239.198,0.692194,1,1,223.753,3.5
"Aug 2, 06:00 pm",174.384,30.9,85.1455,47,200.422,64,73,31.6487,62.6125,0.174384,1,1,60.1945,3.5
"Aug 2, 07:00 pm",0,30.5,94.6733,12,11.8503,4,5,29.5131,3.52262,0,1,3,3.52262,3.5
"Aug 2, 08:00 pm",0,30,0,0,0,0,0,30,0,0,1,0,0,1.7
"Aug 2, 09:00 pm",0,29.6,0,0,0,0,0,29.6,0,0,1,0,0,1.7
"Aug 2, 10:00 pm",0,28.6,0,0,0,0,0,28.6,0,0,1,0,0,1.7
"Aug 2, 11:00 pm",0,27.6,0,0,0,0,0,27.6,0,0,1,0,0,2.7
"Aug 3, 12:00 am",0,26.5,0,0,0,0,0,26.5,0,0,1,0,0,2.7
"Aug 3, 01:00 am",0,25.7,0,0,0,0,0,25.7,0,0,1,0,0,2.7
"Aug 3, 02:00 am",0,24.9,0,0,0,0,0,24.9,0,0,1,0,0,3.6
"Aug 3, 03:00 am",0,24.1,0,0,0,0,0,24.1,0,0,1,0,0,3.6
"Aug 3, 04:00 am",0,23.5,0,0,0,0,0,23.5,0,0,1,0,0,3.6
"Aug 3, 05:00 am",0,22.8,93.2244,86,18.9897,8,13,21.5347,5.43658,0,1,2,5.43658,3.9
"Aug 3, 06:00 am",281.563,22.2,82.2578,240,309.806,78,131,23.112,104.1,0.281563,1,1,89.3465,3.9
"Aug 3, 07:00 am",935.208,24.3,68.6835,578,979.165,105,338,30.137,317.947,0.935208,1,1,291.94,3.9
"Aug 3, 08:00 am",1582.08,26.5,54.8791,698,1645.48,120,521,41.4245,531.979,1.58208,1,1,518.806,1.3
"Aug 3, 09:00 am",1981.73,28.6,40.9425,601,2059.09,204,637,48.178,675.865,1.98173,1,1,672.341,1.3
"Aug 3, 10:00 am",2496.34,29.7,26.9543,769,2593.92,174,812,55.1061,880.067,2.49634,1,1,879.103,1.3
"Aug 3, 11:00 am",2751.72,30.7,13.0929,779,2860.28,174,871,52.5419,956.061,2.75172,1,1,955.955,3.3
"Aug 3, 12:00 pm",2780.71,31.8,3.93705,762,2890.56,190,887,54.1578,974.583,2.78071,1,1,974.577,3.3
