Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
228.5,1,-5,-5.66868,61,2.6,50
229.5,1,-6,-6.78485,56,0,0
230.5,1.7,-5.6,-6.36495,55,0,0
231.5,2.8,-5.6,-6.32681,51,1.5,20
232.5,1.7,-5,-5.67055,58,3.1,40
233.5,-1.1,-6.1,-6.6334,66,0,0
234.5,-1.7,-7.8,-8.64756,59,2.1,10
235.5,-1.7,-11.1,-12.3361,44,2.6,360
236.5,-2.2,-11.7,-12.7921,44,2.1,360
237.5,-2.8,-11.1,-12.0119,49,0,0
238.5,-3.9,-10,-10.7205,59,1.5,310
239.5,-3.3,-11.1,-11.978,51,0,0
240.5,-3.9,-11.7,-12.5345,51,0,0
241.5,-4.4,-10,-10.7744,61,0,0
242.5,-6.1,-10,-10.49,71,0,0
243.5,-6.1,-8.3,-8.50919,83,0,0
244.5,-6.7,-7.8,-7.91938,91,0,0
245.5,-7.2,-8.3,-8.41412,91,0,0
246.5,-6.7,-7.8,-7.91938,91,0,0
247.5,-7.2,-7.8,-7.86192,95,0,0
248.5,-5.6,-7.2,-7.41314,87,2.1,330
249.5,-4.4,-7.2,-7.48393,79,2.1,290
250.5,-2.2,-6.7,-7.29729,68,2.1,260
251.5,0.6,-6.1,-6.92983,57,3.1,220
252.5,2.2,-6.7,-7.66627,48,3.1,240
253.5,2.8,-5.6,-6.32681,51,3.1,220
254.5,3.3,-5,-5.60957,52,2.6,210
255.5,3.3,-6.1,-6.92851,47,4.6,190
256.5,3.3,-5,-5.60957,52,4.6,200
257.5,2.2,-5,-5.66203,56,3.1,200
258.5,1.1,-4.4,-4.94235,64,2.1,200
259.5,1.1,-3.9,-4.33625,67,3.6,210
260.5,1.1,-3.3,-3.75374,70,4.1,220
261.5,0.6,-2.8,-3.13663,76,4.1,200
262.5,0,-2.8,-3.20055,79,4.6,190
263.5,0,-2.8,-3.20055,79,3.1,190
264.5,-1.1,-3.3,-3.61377,83,0,0
265.5,0,-2.8,-3.20055,79,3.1,190
266.5,0.6,-2.8,-3.13663,76,3.6,190
267.5,0,-3.3,-3.71798,76,2.6,220
268.5,-0.6,-3.9,-4.29938,76,2.1,220
269.5,-1.1,-3.9,-4.2712,79,2.1,230
270.5,-0.6,-3.9,-4.29938,76,1.5,230
271.5,1.7,-3.9,-4.37237,64,3.6,280
272.5,8.9,-2.2,-2.38682,45,6.2,270
273.5,11.1,-1.7,-1.9893,40,6.2,260
274.5,12.2,-1.1,-1.34724,39,7.7,260
275.5,13.9,-0.6,-0.550497,37,9.3,260
276.5,15.6,-0.6,-0.617623,33,6.7,300
