,"Ambient temperature | (C)","AC inverter power | (W)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jul 9, 02:00 am",24.4,0,0,0,0,0,0,24.4,0,0,1,0,0,2.6
"Jul 9, 03:00 am",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,0
"Jul 9, 04:00 am",23.3,0,97.2347,0,13.6198,4,4,20.4281,3.87939,0,1,2,3.87939,0
"Jul 9, 05:00 am",23.9,85.9704,89.3633,9,110.268,34,35,23.1896,31.9058,0.0859704,1,1,31.8122,3.1
"Jul 9, 06:00 am",25,390.271,75.9075,28,420.858,127,136,26.527,125.016,0.390271,1,1,123.335,3.6
"Jul 9, 07:00 am",26.7,865.166,62.1855,63,907.252,258,292,31.3344,274.027,0.865166,1,1,272.068,4.6
"Jul 9, 08:00 am",29.4,986.092,48.3418,103,1031.44,255,327,36.1463,317.856,0.986092,1,1,316.691,3.1
"Jul 9, 09:00 am",30.6,1611.87,34.5019,189,1676.26,381,539,42.9871,533.328,1.61187,1,1,532.751,2.6
"Jul 9, 10:00 am",31.1,2113.44,20.9373,237,2195.73,470,690,41.3203,692.059,2.11344,1,1,691.931,7.7
"Jul 9, 11:00 am",29.4,2062.66,9.32839,193,2143.03,468,656,37.3136,661.835,2.06266,1,1,661.824,10.8
"Jul 9, 12:00 pm",27.8,1355.85,11.7716,149,1412,286,430,38.8447,439.435,1.35585,1,1,439.42,2.6
"Jul 9, 01:00 pm",25.6,1004.45,24.3479,92,1050.3,235,319,33.7174,318.727,1.00445,1,1,318.645,2.1
"Jul 9, 02:00 pm",24.4,352.912,38.0353,3,382.681,115,117,26.2605,112.019,0.352912,1,1,112.006,3.6
"Jul 9, 03:00 pm",26.1,696.009,51.8945,6,733.762,225,229,29.3265,218.012,0.696009,1,1,217.922,5.2
"Jul 9, 04:00 pm",27.2,543.668,65.7223,4,577.743,181,182,30.2477,172.501,0.543668,1,1,172.347,3.6
"Jul 9, 05:00 pm",26.7,223.316,79.3997,2,250.348,78,78,27.4798,73.8256,0.223316,1,1,73.6986,3.1
"Jul 9, 06:00 pm",26.1,68.6744,92.5569,0,92.6397,29,29,25.5126,27.019,0.0686744,1,3,27.019,3.1
"Jul 9, 07:00 pm",25,0,0,0,0,0,0,25,0,0,1,0,0,1.5
"Jul 9, 08:00 pm",25,0,0,0,0,0,0,25,0,0,1,0,0,0
"Jul 9, 09:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,2.1
"Jul 9, 10:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,0
"Jul 9, 11:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,0
"Jul 10, 12:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.1
"Jul 10, 01:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.1
"Jul 10, 02:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 10, 03:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 10, 04:00 am",22.2,0,97.2404,4,10.2745,3,4,19.1603,2.90954,0,1,2,2.90954,0
"Jul 10, 05:00 am",23.3,90.5835,89.4277,71,114.97,37,47,21.3427,33.5536,0.0905835,1,1,32.8857,0
"Jul 10, 06:00 am",25.6,501.772,75.9624,399,534.874,93,229,31.1609,184.243,0.501772,1,1,160.264,0
"Jul 10, 07:00 am",27.2,1109.35,62.2302,503,1158.16,137,405,35.8906,370.827,1.10935,1,1,355.148,2.1
"Jul 10, 08:00 am",28.9,1669.76,48.3753,508,1736.09,211,566,41.1917,552.492,1.66976,1,1,546.729,3.1
"Jul 10, 09:00 am",31.1,2117.15,34.5209,544,2199.59,251,705,45.306,709.165,2.11715,1,1,707.501,4.6
"Jul 10, 10:00 am",32.2,1760.54,20.9309,177,1829.98,423,587,45.3809,588.941,1.76054,1,1,588.845,3.6
"Jul 10, 11:00 am",32.8,1975.24,9.24657,287,2052.36,370,649,46.176,663.159,1.97524,1,1,663.143,4.6
"Jul 10, 12:00 pm",32.8,1969.74,11.6673,311,2046.65,352,653,47.52,666.002,1.96974,1,1,665.971,3.6
"Jul 10, 01:00 pm",27.2,873.848,24.2856,90,916.164,193,275,31.5664,275.129,0.873848,1,1,275.05,6.7
"Jul 10, 02:00 pm",27.2,1847.12,37.9924,306,1919.61,358,603,39.2297,599.891,1.84712,1,1,598.547,4.1
"Jul 10, 03:00 pm",28.3,1334.66,51.8649,363,1390.16,213,453,39.1693,438.782,1.33466,1,1,433.33,2.6
"Jul 10, 04:00 pm",30,844.886,65.7042,251,886.439,186,307,36.3183,282.031,0.844886,1,1,272.404,3.1
"Jul 10, 05:00 pm",28.3,364.571,79.393,57,394.593,121,137,30.3721,121.401,0.364571,1,1,117.782,3.6
"Jul 10, 06:00 pm",27.2,70.7679,92.5316,36,94.7733,32,35,26.7711,27.8061,0.0707679,1,3,27.8061,2.6
"Jul 10, 07:00 pm",26.1,0,0,0,0,0,0,26.1,0,0,1,0,0,0
"Jul 10, 08:00 pm",25.6,0,0,0,0,0,0,25.6,0,0,1,0,0,0
"Jul 10, 09:00 pm",25.6,0,0,0,0,0,0,25.6,0,0,1,0,0,1.5
"Jul 10, 10:00 pm",25,0,0,0,0,0,0,25,0,0,1,0,0,0
"Jul 10, 11:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,2.1
"Jul 11, 12:00 am",24.4,0,0,0,0,0,0,24.4,0,0,1,0,0,0
"Jul 11, 01:00 am",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,0
"Jul 11, 02:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,3.1
"Jul 11, 03:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,3.1
"Jul 11, 04:00 am",22.8,0,97.2449,7,16.9493,5,6,21.3926,4.84923,0,1,2,4.84923,2.6
"Jul 11, 05:00 am",23.9,133.947,89.4923,106,159.181,54,69,22.6299,46.6946,0.133947,1,1,45.804,0
"Jul 11, 06:00 am",25.6,569.786,76.017,561,604.477,82,273,30.1875,214.032,0.569786,1,1,180.27,1.5
"Jul 11, 07:00 am",28.3,1200.35,62.2741,699,1251.8,77,448,36.1683,406.241,1.20035,1,1,384.393,4.1
"Jul 11, 08:00 am",30,1824.94,48.4075,746,1896.64,102,623,41.0863,605.455,1.82494,1,1,596.969,5.2
"Jul 11, 09:00 am",31.7,2263.1,34.538,669,2351.21,204,762,47.779,768.163,2.2631,1,1,766.113,4.1
"Jul 11, 10:00 am",32.8,2286.29,20.9218,598,2375.31,209,763,50.2157,784.344,2.28629,1,1,784.022,3.6
"Jul 11, 11:00 am",33.3,2306.36,9.15977,445,2396.18,346,780,53.0066,802.883,2.30636,1,1,802.858,2.6
"Jul 11, 12:00 pm",34.4,1734.71,11.5609,232,1803.25,343,566,45.0633,579.311,1.73471,1,1,579.289,5.7
"Jul 11, 01:00 pm",28.3,950.232,24.2238,107,994.596,205,302,34.3552,302.784,0.950232,1,1,302.691,4.6
"Jul 11, 02:00 pm",30,1443.33,37.951,257,1502.23,260,467,37.1272,464.621,1.44333,1,1,463.497,6.7
"Jul 11, 03:00 pm",30,1085.2,51.8374,166,1133.32,254,363,36.0113,350.227,1.0852,1,1,347.739,5.7
"Jul 11, 04:00 pm",28.3,783.887,65.6886,236,823.858,166,281,32.2258,257.175,0.783887,1,1,248.131,6.2
"Jul 11, 05:00 pm",23.3,144.76,79.3892,6,170.207,51,53,23.3187,49.5151,0.14476,1,1,49.1342,12.4
"Jul 11, 06:00 pm",20.6,23.6467,92.5065,2,46.7597,14,14,19.404,13.2562,0.0236467,1,3,13.2562,2.6
"Jul 11, 07:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,2.1
"Jul 11, 08:00 pm",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,2.6
"Jul 11, 09:00 pm",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,3.1
"Jul 11, 10:00 pm",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,2.6
"Jul 11, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 12, 12:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.6
"Jul 12, 01:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.1
"Jul 12, 02:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,3.1
"Jul 12, 03:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.1
"Jul 12, 04:00 am",22.2,0,97.2481,0,6.79987,2,2,20.749,1.93969,0,1,2,1.93969,3.1
"Jul 12, 05:00 am",22.8,127.327,89.5569,40,152.43,49,54,22.3016,43.7946,0.127327,1,1,43.7946,2.6
"Jul 12, 06:00 am",23.9,508.586,76.0711,164,541.845,139,194,26.177,168.412,0.508586,1,1,158.529,4.6
"Jul 12, 07:00 am",26.1,1027.05,62.3171,256,1073.53,218,353,31.2608,329.84,1.02705,1,1,321.817,5.7
"Jul 12, 08:00 am",27.8,718.722,48.4383,12,757.042,230,239,31.5774,227.427,0.718722,1,1,227.291,5.2
"Jul 12, 09:00 am",30,2313.28,34.5533,621,2403.37,232,750,40.4698,756.005,2.31328,1,1,754.099,8.2
"Jul 12, 10:00 am",31.1,2096.17,20.9101,384,2177.81,314,671,41.4523,686.952,2.09617,1,1,686.745,7.7
"Jul 12, 11:00 am",26.7,433.232,9.0681,6,464.773,137,143,28.0631,137.203,0.433232,1,1,137.203,11.3
"Jul 12, 12:00 pm",27.2,2784.33,11.4525,631,2894.34,331,941,52.4142,966.732,2.78433,1,1,966.672,1.5
"Jul 12, 01:00 pm",25.6,509.064,24.1628,3,542.333,165,168,28.7946,160.662,0.509064,1,1,160.659,5.7
"Jul 12, 02:00 pm",22.8,787.51,37.9112,94,827.574,171,246,27.2416,243.759,0.78751,1,1,243.349,3.6
"Jul 12, 03:00 pm",23.9,1235.5,51.8119,93,1287.99,343,404,31.4021,387.763,1.2355,1,1,386.372,4.1
"Jul 12, 04:00 pm",25,667.758,65.6755,48,704.813,202,225,29.0283,210.864,0.667758,1,1,209.026,4.1
"Jul 12, 05:00 pm",23.9,130.95,79.3884,5,156.124,47,48,23.9611,45.5217,0.13095,1,1,45.2043,4.6
"Jul 12, 06:00 pm",23.3,48.9086,92.4817,2,72.4975,22,22,22.6301,20.8611,0.0489086,1,3,20.8611,5.7
"Jul 12, 07:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.1
"Jul 12, 08:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,3.6
"Jul 12, 09:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,5.7
"Jul 12, 10:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,2.1
"Jul 12, 11:00 pm",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,1.5
"Jul 13, 12:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,1.5
"Jul 13, 01:00 am",20,0,0,0,0,0,0,20,0,0,1,0,0,1.5
"Jul 13, 02:00 am",20,0,0,0,0,0,0,20,0,0,1,0,0,0
"Jul 13, 03:00 am",20,0,0,0,0,0,0,20,0,0,1,0,0,2.6
"Jul 13, 04:00 am",20,0,97.25,1,0,0,0,20,0,0,1,2,0,2.6
"Jul 13, 05:00 am",19.4,28.3043,89.6216,6,51.5046,15,16,16.336,14.3991,0.0283043,1,1,14.3991,0
"Jul 13, 06:00 am",20.6,232.087,76.1247,6,259.3,77,79,20.8612,74.3668,0.232087,1,1,74.0047,1.5
"Jul 13, 07:00 am",20.6,671.423,62.3591,4,708.568,215,217,23.9526,205.276,0.671423,1,1,205.15,3.6
"Jul 13, 08:00 am",21.7,607.269,48.4678,6,642.854,192,196,24.9517,187.067,0.607269,1,1,186.998,3.6
"Jul 13, 09:00 am",21.7,1005.62,34.5667,3,1051.5,320,323,27.6673,309.831,1.00562,1,1,309.822,3.6
"Jul 13, 10:00 am",22.2,1163.74,20.8959,1,1214.12,373,374,29.5816,361.026,1.16374,1,1,361.025,3.6
"Jul 13, 11:00 am",22.2,1293.83,8.97168,1,1348.08,412,414,29.2142,400.156,1.29383,1,1,400.156,5.2
"Jul 13, 12:00 pm",22.2,1388.15,11.3424,3,1445.3,442,445,30.4493,431.57,1.38815,1,1,431.569,4.6
"Jul 13, 01:00 pm",23.9,1052.34,24.1026,9,1099.53,331,339,29.6585,327.082,1.05234,1,1,327.074,5.2
"Jul 13, 02:00 pm",24.4,1216.42,37.8732,71,1268.34,335,392,32.3045,382.457,1.21642,1,1,382.148,3.6
"Jul 13, 03:00 pm",25,1042.85,51.7887,141,1089.77,250,343,32.7067,331.094,1.04285,1,1,328.989,2.6
"Jul 13, 04:00 pm",25,531.01,65.6651,29,564.789,164,178,27.8006,167.629,0.53101,1,1,166.519,4.6
"Jul 13, 05:00 pm",23.3,345.047,79.3906,39,374.646,113,124,24.5165,111.233,0.345047,1,1,108.757,5.2
"Jul 13, 06:00 pm",23.3,36.6166,92.4571,9,59.9732,18,19,22.4583,17.2434,0.0366165,1,3,17.2434,2.6
"Jul 13, 07:00 pm",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,3.1
"Jul 13, 08:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,2.6
"Jul 13, 09:00 pm",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,3.1
"Jul 13, 10:00 pm",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,3.1
"Jul 13, 11:00 pm",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,3.6
"Jul 14, 12:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,3.6
"Jul 14, 01:00 am",20,0,0,0,0,0,0,20,0,0,1,0,0,3.1
"Jul 14, 02:00 am",20,0,0,0,0,0,0,20,0,0,1,0,0,4.6
"Jul 14, 03:00 am",19.4,0,0,0,0,0,0,19.4,0,0,1,0,0,5.7
"Jul 14, 04:00 am",19.4,0,97.2505,0,3.43896,1,1,18.2581,0.969846,0,1,2,0.969846,5.7
"Jul 14, 05:00 am",19.4,70.0266,89.6861,2,94.0179,28,28,18.6581,26.5631,0.0700266,1,1,26.5631,5.2
"Jul 14, 06:00 am",18.3,300.772,76.1777,5,329.422,98,99,18.816,93.4416,0.300772,1,1,93.1395,6.2
"Jul 14, 07:00 am",17.8,710.177,62.4002,8,748.283,222,226,20.7724,213.726,0.710177,1,1,213.474,5.2
"Jul 14, 08:00 am",18.9,911.43,48.4958,2,954.747,288,289,23.9201,276.407,0.91143,1,1,276.384,4.1
"Jul 14, 09:00 am",19.4,1228.38,34.5782,6,1280.66,385,390,26.688,375.612,1.22838,1,1,375.593,4.1
"Jul 14, 10:00 am",22.8,1050.1,20.8791,8,1097.23,332,340,30.391,327.546,1.0501,1,1,327.542,2.6
"Jul 14, 11:00 am",22.8,2288.14,8.87067,362,2377.23,370,722,40.279,745.194,2.28814,1,1,745.176,2.6
"Jul 14, 12:00 pm",23.3,1883.61,11.2308,228,1957.4,375,595,38.6126,608.462,1.88361,1,1,608.441,2.6
"Jul 14, 01:00 pm",24.4,2555.33,24.0436,648,2655.39,232,819,42.0629,840.505,2.55533,1,1,839.955,4.1
"Jul 14, 02:00 pm",25.6,1994.85,37.8369,498,2072.69,240,640,37.3014,642.218,1.99485,1,1,640.064,5.7
"Jul 14, 03:00 pm",25,1521.67,51.7678,326,1583.08,290,504,34.8523,487.826,1.52167,1,1,482.966,4.6
"Jul 14, 04:00 pm",25,999.814,65.6574,429,1045.54,157,363,31.7789,330.626,0.999815,1,1,314.214,4.1
"Jul 14, 05:00 pm",23.9,365.244,79.3959,401,395.281,73,188,26.2995,141.175,0.365244,1,1,115.715,4.1
"Jul 14, 06:00 pm",22.2,57.7288,92.4329,93,81.4853,28,38,21.5462,23.3297,0.0577288,1,3,23.3297,2.1
"Jul 14, 07:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,0
"Jul 14, 08:00 pm",20,0,0,0,0,0,0,20,0,0,1,0,0,3.6
"Jul 14, 09:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,3.1
"Jul 14, 10:00 pm",18.3,0,0,0,0,0,0,18.3,0,0,1,0,0,2.6
"Jul 14, 11:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,0
"Jul 15, 12:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,0
"Jul 15, 01:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,0
"Jul 15, 02:00 am",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,0
"Jul 15, 03:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,2.1
"Jul 15, 04:00 am",16.1,0,97.2496,1,3.5046,1,1,14.0683,0.969846,0,1,2,0.969846,1.5
"Jul 15, 05:00 am",17.8,109.123,89.7505,98,133.87,45,58,15.6348,37.3077,0.109123,1,1,37.3077,0
"Jul 15, 06:00 am",20.6,534.406,76.2302,397,568.264,102,234,26.2953,190.373,0.534406,1,1,166.351,0
"Jul 15, 07:00 am",21.1,1270.06,62.4402,630,1323.59,121,452,30.3172,414.872,1.27006,1,1,394.975,2.6
"Jul 15, 08:00 am",22.8,1984.65,48.5224,725,2062.11,150,653,35.2701,638.736,1.98465,1,1,630.409,4.6
"Jul 15, 09:00 am",24.4,2371.76,34.5879,595,2464.22,261,755,37.306,762.82,2.37176,1,1,760.986,6.2
"Jul 15, 10:00 am",25,2428.78,20.86,527,2523.56,294,781,42.9099,802.006,2.42878,1,1,801.725,3.6
"Jul 15, 11:00 am",25.6,2812.69,8.7652,674,2923.96,256,910,45.6803,942.363,2.81269,1,1,942.33,4.1
"Jul 15, 12:00 pm",25.6,2500.12,11.118,506,2597.85,322,810,45.5431,836.679,2.50012,1,1,836.634,3.1
"Jul 15, 01:00 pm",25,2478.78,23.9858,533,2575.62,324,807,44.4752,825.341,2.47878,1,1,824.892,3.1
"Jul 15, 02:00 pm",24.4,2156.35,37.8026,573,2240.29,250,709,42.3256,712.073,2.15635,1,1,709.604,2.6
"Jul 15, 03:00 pm",26.1,1756.44,51.7493,600,1825.74,201,595,39.0808,577.783,1.75644,1,1,568.852,3.6
"Jul 15, 04:00 pm",27.2,1037.95,65.6525,539,1084.73,131,390,35.9714,353.38,1.03795,1,1,332.766,2.6
"Jul 15, 05:00 pm",26.1,349.972,79.4043,363,379.677,77,182,32.8488,137.748,0.349972,1,1,114.7,0
"Jul 15, 06:00 pm",25,89.9012,92.409,25,114.275,38,40,24.6842,33.1994,0.0899012,1,3,33.1994,2.1
"Jul 15, 07:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,0
"Jul 15, 08:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 15, 09:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,2.1
"Jul 15, 10:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,0
"Jul 15, 11:00 pm",18.3,0,0,0,0,0,0,18.3,0,0,1,0,0,2.1
"Jul 16, 12:00 am",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,0
"Jul 16, 01:00 am",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,1.5
"Jul 16, 02:00 am",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,2.1
"Jul 16, 03:00 am",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,2.1
"Jul 16, 04:00 am",17.2,0,97.2472,1,3.48317,1,1,15.4358,0.969846,0,1,2,0.969846,2.1
"Jul 16, 05:00 am",17.8,133.53,89.8147,33,158.756,51,56,17.1874,44.5546,0.13353,1,1,44.5546,2.6
"Jul 16, 06:00 am",18.3,453.627,76.282,39,485.628,142,155,20.3962,140.665,0.453627,1,1,138.303,2.1
"Jul 16, 07:00 am",21.7,965.001,62.4792,279,1009.77,183,329,28.1385,307.028,0.965002,1,1,298.195,2.6
"Jul 16, 08:00 am",24.4,1558.3,48.5476,386,1620.91,240,507,34.8204,498.873,1.5583,1,1,494.431,3.6
"Jul 16, 09:00 am",25.6,1699.96,34.5958,264,1767.31,325,544,36.9281,545.56,1.69996,1,1,544.746,4.1
"Jul 16, 10:00 am",27.2,2290.97,20.8386,434,2380.18,326,727,40.3936,746.764,2.29097,1,1,746.534,5.7
"Jul 16, 11:00 am",27.2,2111.15,8.65543,330,2193.36,348,668,39.5624,685.069,2.11115,1,1,685.053,5.7
"Jul 16, 12:00 pm",27.2,1732.76,11.0043,233,1801.24,325,550,39.8047,563.291,1.73276,1,1,563.271,3.6
"Jul 16, 01:00 pm",28.9,2528.75,23.9295,756,2627.69,219,904,62.2981,927.679,2.52875,1,1,927.048,0
"Jul 16, 02:00 pm",28.9,2134,37.7704,653,2217.08,187,710,45.2397,715.686,2.134,1,1,712.881,3.6
"Jul 16, 03:00 pm",28.9,1676.91,51.7333,702,1743.48,118,578,41.4954,560.341,1.67691,1,1,549.905,3.6
"Jul 16, 04:00 pm",28.3,1019.73,65.6503,665,1066,76,395,36.5139,353.331,1.01973,1,1,327.901,3.1
"Jul 16, 05:00 pm",27.8,351.076,79.416,469,380.805,64,198,34.8631,145.962,0.351076,1,1,116.182,0
"Jul 16, 06:00 pm",25,72.3599,92.3855,126,96.3959,34,47,24.5719,27.9904,0.0723599,1,3,27.9904,2.1
"Jul 16, 07:00 pm",24.4,0,0,0,0,0,0,24.4,0,0,1,0,0,1.5
"Jul 16, 08:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.1
"Jul 16, 09:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.1
"Jul 16, 10:00 pm",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,0
"Jul 16, 11:00 pm",19.4,0,0,0,0,0,0,19.4,0,0,1,0,0,2.1
"Jul 17, 12:00 am",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,2.1
"Jul 17, 01:00 am",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,2.6
"Jul 17, 02:00 am",18.3,0,0,0,0,0,0,18.3,0,0,1,0,0,2.6
"Jul 17, 03:00 am",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,2.6
"Jul 17, 04:00 am",18.9,0,97.2433,0,0,0,0,18.9,0,0,1,2,0,1.5
"Jul 17, 05:00 am",20,111.265,89.8785,4,136.053,42,43,19.3359,38.5586,0.111265,1,1,38.5586,3.1
"Jul 17, 06:00 am",21.7,419.89,76.3331,110,451.133,119,155,23.6276,137.09,0.41989,1,1,130.418,2.6
"Jul 17, 07:00 am",25,1015.39,62.517,264,1061.55,213,351,32.4393,328.43,1.01539,1,1,320.052,2.1
"Jul 17, 08:00 am",27.2,1372.7,48.5714,235,1429.37,293,456,38.2315,446.168,1.3727,1,1,443.459,2.1
"Jul 17, 09:00 am",26.7,1126.8,34.6019,86,1176.1,294,366,36.9527,362.825,1.1268,1,1,362.56,1.5
"Jul 17, 10:00 am",27.8,658.288,20.8149,4,695.111,214,218,31.9863,209.114,0.658288,1,1,209.111,3.6
"Jul 17, 11:00 am",28.3,2495.74,8.54155,424,2593.3,413,825,48.9661,850.329,2.49574,1,1,850.309,2.1
"Jul 17, 12:00 pm",28.3,1804.33,10.89,113,1875.3,480,590,42.6273,594.923,1.80433,1,1,594.913,3.1
"Jul 17, 01:00 pm",28.3,765.806,23.8748,30,805.315,222,250,33.7714,244.409,0.765806,1,1,244.384,3.6
"Jul 17, 02:00 pm",28.3,1318.03,37.7405,125,1373.01,329,430,37.409,424.76,1.31803,1,1,424.225,3.1
"Jul 17, 03:00 pm",27.8,612.92,51.7199,6,648.641,201,205,32.0534,195.284,0.61292,1,1,195.195,3.1
"Jul 17, 04:00 pm",27.2,599.517,65.6511,53,634.916,179,205,30.6274,191.777,0.599517,1,1,189.75,3.6
"Jul 17, 05:00 pm",26.7,399.169,79.4308,80,429.952,129,151,28.9064,132.516,0.399169,1,1,127.436,3.1
"Jul 17, 06:00 pm",24.4,51.7748,92.3624,5,75.4181,23,23,23.7661,21.8167,0.0517748,1,3,21.8167,2.6
"Jul 17, 07:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,2.6
"Jul 17, 08:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.1
"Jul 17, 09:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,1.5
"Jul 17, 10:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 17, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 18, 12:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,2.1
"Jul 18, 01:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 18, 02:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,2.1
"Jul 18, 03:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 18, 04:00 am",21.7,0,97.2379,0,3.40942,1,1,20.1438,0.969846,0,1,2,0.969846,2.6
"Jul 18, 05:00 am",21.7,40.203,89.942,2,63.6272,19,19,18.9371,17.9997,0.040203,1,1,17.9997,0
"Jul 18, 06:00 am",22.8,323.141,76.3834,0,352.268,109,109,24.4548,102.232,0.323141,1,1,102.232,0
"Jul 18, 07:00 am",23.9,505.986,62.5538,4,539.184,165,167,26.767,158.319,0.505986,1,1,158.191,2.1
"Jul 18, 08:00 am",25,880.468,48.5937,82,922.96,230,286,30.4594,276.558,0.880468,1,1,275.61,3.1
"Jul 18, 09:00 am",26.1,1432.66,34.6062,82,1491.21,393,461,33.6234,452.455,1.43266,1,1,452.202,5.7
"Jul 18, 10:00 am",28.3,1676.55,20.7891,213,1743.1,336,532,38.9736,542.925,1.67655,1,1,542.812,4.6
"Jul 18, 11:00 am",28.9,2314.08,8.42374,406,2404.21,368,762,48.9629,788.314,2.31408,1,1,788.296,2.1
"Jul 18, 12:00 pm",29.4,2594.79,10.7754,553,2696.53,327,860,50.0597,889.354,2.59479,1,1,889.309,3.1
"Jul 18, 01:00 pm",30.6,2208.68,23.8219,461,2294.65,333,750,53.0106,769.234,2.20868,1,1,768.855,1.5
"Jul 18, 02:00 pm",30,1414.17,37.7128,122,1472.14,373,471,41.9356,465.888,1.41417,1,1,465.367,2.6
"Jul 18, 03:00 pm",28.9,1474.58,51.7091,407,1534.47,239,505,42.7492,493.132,1.47458,1,1,487.093,1.5
"Jul 18, 04:00 pm",28.9,897.888,65.6549,288,940.842,190,328,37.6545,302.068,0.897888,1,1,291.052,1.5
"Jul 18, 05:00 pm",28.9,383.279,79.449,164,413.712,114,161,31.8931,134.816,0.383279,1,1,124.401,2.1
"Jul 18, 06:00 pm",26.7,58.5223,92.3398,10,82.2939,26,27,26.1995,24.0795,0.0585223,1,3,24.0795,2.6
"Jul 18, 07:00 pm",25.6,0,0,0,0,0,0,25.6,0,0,1,0,0,1.5
"Jul 18, 08:00 pm",25,0,0,0,0,0,0,25,0,0,1,0,0,4.6
"Jul 18, 09:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,2.1
"Jul 18, 10:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,1.5
"Jul 18, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.6
