,"Ambient temperature | (C)","AC inverter power | (W)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 9, 12:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,2.6
"Jan 9, 01:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,3.6
"Jan 9, 02:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,3.6
"Jan 9, 03:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,5.2
"Jan 9, 04:00 am",-7.2,0,0,0,0,0,0,-7.2,0,0,1,0,0,4.6
"Jan 9, 05:00 am",-7.2,0,0,0,0,0,0,-7.2,0,0,1,0,0,6.2
"Jan 9, 06:00 am",-7.2,0,80.3926,0,7.71874,2,2,-8.5766,1.93969,0,1,2,1.93969,5.2
"Jan 9, 07:00 am",-7.2,247.784,74.2589,1,275.322,58,58,-7.3238,69.5982,0.247784,1,1,69.5411,5.2
"Jan 9, 08:00 am",-7.2,691.682,62.0183,1,729.328,169,169,-4.42549,186.45,0.691682,1,1,186.419,3.6
"Jan 9, 09:00 am",-7.2,989.137,50.957,1,1034.57,249,249,-2.59581,266.466,0.989137,1,1,266.452,4.1
"Jan 9, 10:00 am",-5.6,1332.15,42.1428,2,1387.57,340,341,3.51024,366.697,1.33215,1,1,366.683,2.1
"Jan 9, 11:00 am",-5.6,1402.32,37.2339,1,1459.92,360,361,2.62216,384.35,1.40232,1,1,384.346,3.6
"Jan 9, 12:00 pm",-5,1365.53,37.7926,1,1421.98,351,352,2.40302,374.013,1.36553,1,1,374.009,4.1
"Jan 9, 01:00 pm",-5,1329.74,43.6088,0,1385.09,338,338,2.77878,364.888,1.32974,1,1,364.888,3.6
"Jan 9, 02:00 pm",-4.4,1004.66,52.9716,1,1050.51,253,253,1.22657,274.948,1.00466,1,1,274.931,3.6
"Jan 9, 03:00 pm",-4.4,596.047,64.3325,1,631.363,147,148,-1.89258,163.12,0.596047,1,1,163.084,4.1
"Jan 9, 04:00 pm",-5,168.163,75.527,0,194.077,43,43,-5.25793,49.4368,0.168163,1,3,49.4368,4.6
"Jan 9, 05:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,3.6
"Jan 9, 06:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,2.6
"Jan 9, 07:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,2.1
"Jan 9, 08:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,3.1
"Jan 9, 09:00 pm",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,2.1
"Jan 9, 10:00 pm",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,2.6
"Jan 9, 11:00 pm",-5.6,0,0,0,0,0,0,-5.6,0,0,1,0,0,3.1
"Jan 10, 12:00 am",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,2.6
"Jan 10, 01:00 am",-7.8,0,0,0,0,0,0,-7.8,0,0,1,0,0,2.6
"Jan 10, 02:00 am",-9.4,0,0,0,0,0,0,-9.4,0,0,1,0,0,2.6
"Jan 10, 03:00 am",-10,0,0,0,0,0,0,-10,0,0,1,0,0,4.1
"Jan 10, 04:00 am",-10,0,0,0,0,0,0,-10,0,0,1,0,0,2.1
"Jan 10, 05:00 am",-11.1,0,0,0,0,0,0,-11.1,0,0,1,0,0,0
"Jan 10, 06:00 am",-10.6,0,80.4429,5,5.99914,1,4,-12.6785,1.8,0,1,2,1.48287,2.1
"Jan 10, 07:00 am",-8.9,495.963,74.2908,451,528.93,24,69,-6.93923,159.588,0.495963,1,1,133.808,3.6
"Jan 10, 08:00 am",-7.2,1476.52,62.0251,770,1536.47,46,251,1.49748,426.268,1.47652,1,1,402.573,3.6
"Jan 10, 09:00 am",-5.6,2221.28,50.9299,877,2307.74,63,418,8.62196,635.693,2.22128,1,1,623.453,3.6
"Jan 10, 10:00 am",-3.3,2696.69,42.0698,934,2802.83,76,541,17.032,792.145,2.69669,1,1,786.056,2.6
"Jan 10, 11:00 am",-1.7,2917.09,37.1085,952,3033.1,81,600,19.5178,864.147,2.91709,1,1,860.324,3.1
"Jan 10, 12:00 pm",-0.6,2916.15,37.6297,953,3032.11,81,595,18.3931,859.671,2.91615,1,1,855.635,4.1
"Jan 10, 01:00 pm",0,2648.88,43.436,929,2752.95,74,522,14.7284,770.958,2.64888,1,1,764.092,5.2
"Jan 10, 02:00 pm",0.6,2050.15,52.8056,866,2130.05,60,388,13.8219,602.8,2.05015,1,1,588.813,4.1
"Jan 10, 03:00 pm",0,1253.41,64.1787,729,1306.44,42,213,7.9427,377.497,1.25341,1,1,351.902,4.1
"Jan 10, 04:00 pm",-1.7,340.241,75.4816,337,369.736,20,54,0.342977,116.393,0.340241,1,3,96.4039,3.1
