Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind direction (deg),Wind speed (m/s)
1785.5,19.4,12.7,12.6461,65,250,4.6
1786.5,21.1,11.6,11.7006,55,250,4.6
1787.5,23.3,12.7,12.5856,51,280,5.1
1788.5,23.8,12.7,12.7425,50,130,1.5
1789.5,26.1,12.7,12.5296,43,190,6.1
1790.5,25.5,13.3,13.3478,47,180,5.1
1791.5,22.7,14.4,14.2672,59,160,4.6
1792.5,16.6,15,14.9511,90,150,6.6
1793.5,17.2,15,15.0148,87,130,2
1794.5,16.6,15,14.9511,90,170,2.5
1795.5,18.3,15.5,15.5466,84,20,2.5
1796.5,15,15,15,100,70,1.5
1797.5,17.2,15.5,15.5433,90,160,2.5
1798.5,18.3,16.6,16.629,90,190,4.6
1799.5,17.7,16.6,16.5521,93,210,6.6
1800.5,17.2,16.1,16.0566,93,200,3.6
1801.5,17.2,16.1,16.0566,93,210,4.1
1802.5,17.7,16.1,16.0368,90,220,4.6
1803.5,17.7,16.1,16.0368,90,230,5.6
1804.5,17.7,16.1,16.0368,90,240,5.1
1805.5,17.2,16.1,16.0566,93,230,4.1
1806.5,17.2,15.5,15.5433,90,190,3
1807.5,16.6,16.1,16.1211,97,160,2.5
1808.5,17.2,16.6,16.5556,96,230,4.1
1809.5,16.6,16.6,16.6,100,260,4.1
1810.5,17.2,15.5,15.5433,90,240,2.5
1811.5,17.2,16.1,16.0566,93,230,3.6
1812.5,16.6,15,14.9511,90,160,3.6
1813.5,15.5,15,15.0252,97,150,5.6
1814.5,15.5,14.4,14.3718,93,160,3.6
1815.5,16.1,15,14.9664,93,190,3.6
1816.5,15.5,14.4,14.3718,93,190,3.6
1817.5,15,14.4,14.3666,96,170,3.6
1818.5,15,14.4,14.3666,96,150,3.6
1819.5,15,14.4,14.3666,96,180,3.6
1820.5,15,14.4,14.3666,96,170,5.1
1821.5,15,14.4,14.3666,96,80,0.5
1822.5,14.4,14.4,14.4,100,130,1
1823.5,13.8,13.8,13.8,100,280,1.5
1824.5,14.4,13.8,13.7696,96,140,2.5
1825.5,14.4,13.8,13.7696,96,210,1
1826.5,13.3,13.3,13.3,100,200,1.5
1827.5,12.7,12.7,12.7,100,240,1
1828.5,12.7,12.7,12.7,100,110,1.5
1829.5,12.7,12.7,12.7,100,30,2.5
1830.5,12.7,12.7,12.7,100,50,2
1831.5,13.3,13.3,13.3,100,20,3.6
1832.5,12.7,12.2,12.2357,97,40,5.1
1833.5,12.2,11.6,11.5806,96,40,4.6
1834.5,12.2,11.6,11.5806,96,40,5.1
1835.5,11.6,11.1,11.1397,97,20,4.6
1836.5,12.7,11.6,11.5965,93,40,5.1
1837.5,12.2,11.1,11.1009,93,30,4.6
1838.5,12.2,11.1,11.1009,93,70,5.6
1839.5,11.6,11.1,11.1397,97,50,5.6
1840.5,11.6,10.5,10.5062,93,20,5.1
1841.5,11.1,10.5,10.486,96,30,4.6
1842.5,11.1,10.5,10.486,96,50,4.6
1843.5,11.1,10.5,10.486,96,60,4.1
1844.5,11.1,10.5,10.486,96,60,3.6
1845.5,11.1,10.5,10.486,96,60,3
1846.5,11.1,10.5,10.486,96,70,3.6
1847.5,11.6,11.1,11.1397,97,70,4.6
1848.5,11.1,11.1,11.1,100,70,4.6
1849.5,11.1,11.1,11.1,100,80,5.6
1850.5,11.1,11.1,11.1,100,80,5.6
1851.5,11.6,11.1,11.1397,97,110,5.6
1852.5,12.2,12.2,12.2,100,130,7.2
1853.5,12.7,12.7,12.7,100,150,4.6
1854.5,12.2,12.2,12.2,100,170,5.1
1855.5,17.2,11.1,11.0155,67,170,5.6
1856.5,15.5,10.5,10.4718,72,220,11.8
1857.5,13.3,7.2,7.30108,67,230,10.8
1858.5,12.7,6.6,6.51073,66,230,9.2
1859.5,11.6,6.1,6.10625,69,230,10.2
1860.5,10,2.7,2.59381,60,250,13.8
1861.5,10.5,1.1,1.06055,52,240,10.2
1862.5,11.1,-0.6,-0.692313,44,240,13.3
1863.5,10.5,-0.6,-0.629856,46,260,12.8
1864.5,10,-1.7,-2.00223,43,250,11.8
1865.5,9.4,-1.2,-1.34132,47,230,12.8
1866.5,8.3,-1.2,-1.24074,51,250,10.2
1867.5,7.7,-2.3,-2.61412,48,240,9.7
1868.5,8.3,-1.7,-2.06355,48,250,9.7
1869.5,7.2,-1.7,-1.99476,52,240,7.2
1870.5,6.6,-1.7,-2.04117,54,240,10.2
1871.5,6.1,-2.8,-3.27411,51,240,9.7
1872.5,5.5,-2.8,-3.06489,54,240,9.2
1873.5,5.5,-5,-5.77948,44,250,10.2
1874.5,4.4,-4.5,-5.10756,50,240,10.2
1875.5,3.8,-4.5,-5.14589,52,240,9.7
1876.5,3.3,-4.5,-5.11332,54,240,9.2
1877.5,3.3,-5,-5.60957,52,240,8.2
1878.5,3.3,-3.9,-4.39867,57,220,8.7
1879.5,4.4,-4.5,-5.10756,50,230,9.2
1880.5,5.5,-4.5,-5.19561,46,230,10.2
1881.5,7.2,-5,-5.49262,40,240,12.8
1882.5,7.2,-3.9,-4.53885,43,240,10.8
1883.5,8.3,-5,-5.53207,37,250,10.2
1884.5,8.3,-4.5,-5.1814,38,250,9.7
1885.5,8.8,-5,-5.81689,35,240,10.2
1886.5,7.7,-5,-5.71751,38,240,11.3
1887.5,7.7,-6.2,-7.16644,34,240,11.3
1888.5,7.7,-6.2,-7.16644,34,260,8.7
1889.5,6.6,-6.7,-7.40138,36,240,9.7
1890.5,6.1,-5.6,-6.15978,41,260,9.2
1891.5,5.5,-4.5,-5.19561,46,260,10.8
1892.5,3.8,-3.9,-4.40464,55,250,9.2
1893.5,3.3,-2.8,-3.06415,63,240,5.6
1894.5,3.8,-3.9,-4.40464,55,250,7.7
1895.5,2.7,-4.5,-4.96099,57,250,5.1
1896.5,3.3,-3.4,-3.94055,59,250,7.2
1897.5,2.2,-4.5,-4.97558,59,250,7.7
1898.5,1.6,-4.5,-5.10177,61,250,6.1
1899.5,1.1,-5,-5.57419,61,250,5.6
1900.5,0.5,-4.5,-5.10761,66,250,5.1
1901.5,0.6,-5,-5.62419,63,260,5.7
1902.5,0.5,-5,-5.71903,63,250,5.1
1903.5,2.7,-4.5,-4.96099,57,250,6.6
1904.5,5,-3.9,-4.29132,51,270,7.7
1905.5,6.6,-7.3,-8.13746,34,300,8.2
1906.5,7.7,-6.7,-7.55225,33,300,7.2
1907.5,9.4,-5.6,-6.45915,32,220,8.2
1908.5,10,-5.6,-6.34845,31,290,6.6
1909.5,11.6,-5,-5.82998,29,270,6.1
1910.5,11.6,-5,-5.82998,29,290,5.6
1911.5,10.5,-2.8,-3.21688,38,230,8.7
1912.5,9.4,-2.8,-3.18535,41,240,9.7
1913.5,8.3,-2.8,-3.23454,44,240,5.6
1914.5,7.2,-2.3,-2.52434,50,250,8.2
1915.5,6.1,-2.3,-2.50646,54,240,6.1
1916.5,6.6,-2.3,-2.5506,52,240,7.2
1917.5,6.6,-3.4,-3.90444,47,250,6.1
1918.5,5.5,-3.4,-3.82891,51,280,6.6
1919.5,4.4,-5.6,-6.20119,46,320,4.6
1920.5,3.3,-5,-5.60957,52,290,4.1
1921.5,2.2,-5,-5.66203,56,300,2.5
1922.5,1.1,-4.5,-5.14999,63,270,3.6
1923.5,0.5,-3.9,-4.32963,70,260,3.6
1924.5,0,-3.4,-3.89449,75,270,3.6
1925.5,-0.6,-3.9,-4.29938,76,280,3
1926.5,0,-3.9,-4.4368,72,270,4.1
1927.5,2.2,-3.4,-3.89744,64,280,4.6
1928.5,5,-4.5,-5.09308,48,240,4.1
1929.5,7.2,-5,-5.49262,40,230,4.1
1930.5,9.4,-6.7,-7.73428,29,260,6.1
1931.5,11.1,-5,-5.81939,30,250,6.1
1932.5,12.2,-7.3,-8.32084,23,240,7.2
1933.5,13.3,-7.8,-8.5638,21,260,6.6
1934.5,13.8,-10,-11.5854,16,270,7.2
1935.5,14.4,-8.4,-9.61767,18,270,7.7
1936.5,14.4,-10,-11.1005,16,260,7.7
1937.5,13.8,-8.4,-9.42467,19,260,6.6
1938.5,11.1,-7.3,-8.18298,25,250,3
1939.5,10.5,-7.8,-8.69367,25,260,3.6
1940.5,9.4,-8.9,-10.1465,24,330,4.1
1941.5,8.3,-9.5,-10.5679,25,300,3
1942.5,7.7,-8.9,-10.1126,27,310,2.5
1943.5,6.6,-9.5,-10.603,28,300,3.6
1944.5,6.1,-9.5,-10.5951,29,310,3
1945.5,2.2,-7.3,-8.21354,46,180,2.5
1946.5,0,-6.7,-7.49256,57,200,2.5
1947.5,2.2,-7.3,-8.21354,46,50,3
1948.5,2.2,-7.3,-8.21354,46,320,3
1949.5,2.7,-8.9,-9.8627,39,330,3.6
1950.5,3.3,-10,-11.0537,34,340,3.6
1951.5,6.1,-10.6,-11.9588,26,320,7.7
1952.5,8.3,-9.5,-10.5679,25,330,4.6
1953.5,11.1,-10,-11.011,20,350,3.6
1954.5,11.6,-12.3,-14.1536,15,320,4.6
1955.5,13.3,-12.8,-14.5372,13,310,4.1
1956.5,15.5,-13.4,-14.8394,11,280,2
1957.5,16.6,-12.3,-13.9876,11,240,5.6
1958.5,17.2,-13.4,-14.6841,10,220,2
1959.5,17.8,-12.8,-14.225,10,290,3.6
1960.5,17.7,-11.7,-13.1368,11,250,3.6
1961.5,15.5,-12.8,-14.8394,11,240,4.1
1962.5,14.4,-11.7,-12.7584,14,270,2.5
1963.5,12.7,-9.5,-11.0101,18,280,2
1964.5,9.4,-5,-5.6668,34,300,1
1965.5,6.6,-4.5,-5.08277,43,210,1.5
1966.5,5.5,-3.9,-4.36069,49,190,1.5
1967.5,3.3,-3.4,-3.94055,59,40,1
1968.5,2.2,-2.8,-3.0874,68,260,0.5
1969.5,3.8,-2.3,-2.59023,63,190,1
1970.5,3.3,-2.8,-3.06415,63,150,1
1971.5,1.6,-2.3,-2.52763,74,150,1
1972.5,1.1,-2.3,-2.6522,76,40,1
1973.5,0.5,-2.3,-2.54463,80,50,2.5
1974.5,2.2,-2.3,-2.50713,71,40,2.5
1975.5,6.6,-2.3,-2.5506,52,40,2.5
1976.5,12.2,-5,-5.77173,28,40,3
1977.5,15,-3.9,-4.34904,26,70,3
1978.5,17.7,-1.7,-2.04857,26,130,3
1979.5,20,-2.8,-2.99315,21,190,2.5
1980.5,21.6,-3.9,-4.49984,17,140,3
1981.5,21.1,-3.4,-4.14733,18,210,5.1
1982.5,21.6,-4.5,-5.30017,16,170,4.1
1983.5,21.6,-2.8,-3.01709,19,160,5.1
1984.5,21.1,-1.7,-2.08103,21,150,5.1
1985.5,18.8,-5,-5.31303,19,150,6.6
1986.5,16.1,-6.2,-6.86762,20,150,4.6
1987.5,15,-0.6,-0.735709,34,150,4.1
1988.5,13.8,3.3,3.26934,49,150,3.6
1989.5,12.2,5,4.90041,61,150,3
1990.5,11.1,5,4.98861,66,140,2
1991.5,10,5.5,5.58018,74,200,1.5
1992.5,8.8,5,4.99135,77,100,0.5
1993.5,8.8,5,4.99135,77,210,1
1994.5,7.7,5,4.99683,83,220,0.5
1995.5,7.7,5.5,5.50734,86,250,1
1996.5,9.4,7.2,7.17699,86,180,0.5
1997.5,8.3,7.2,7.23488,93,30,0.5
1998.5,8.8,7.7,7.73055,93,50,1
1999.5,14.4,10.5,10.4177,77,170,3
2000.5,17.7,11.6,11.4915,67,170,6.6
2001.5,20.5,11.1,11.1434,55,180,8.7
2002.5,20.5,10.5,10.5859,53,190,8.2
2003.5,22.2,11.1,10.9699,49,190,8.2
2004.5,22.7,10.5,10.476,46,200,6.6
2005.5,22.7,10.5,10.476,46,210,5.6
2006.5,22.7,10.5,10.476,46,220,4.6
2007.5,21.6,10,10.1117,48,170,6.1
2008.5,21.1,11.1,11.1407,53,160,7.2
2009.5,20,11.1,11.2169,57,170,7.7
2010.5,18.8,11.6,11.6031,63,170,5.1
2011.5,17.2,11.1,11.0155,67,170,3.6
2012.5,16.1,11.1,11.0482,72,140,2.5
2013.5,15,11.1,10.9989,77,210,2
2014.5,13.3,11.6,11.5243,89,190,1
2015.5,13.8,11.6,11.6725,87,150,0.5
2016.5,12.7,11.1,11.1011,90,210,1
2017.5,13.8,12.2,12.1871,90,210,2
2018.5,15,12.7,12.6756,86,180,2.5
2019.5,15,12.7,12.6756,86,170,0.5
2020.5,11.6,11.6,11.6,100,120,1
2021.5,12.2,12.2,12.2,100,300,1
2022.5,11.6,11.1,11.1397,97,120,0.5
2023.5,15,13.3,13.3717,90,220,2.5
2024.5,17.7,13.8,13.8123,78,310,3
2025.5,19.4,13.8,13.7826,70,10,1.5
2026.5,21.6,13.3,13.2372,59,300,3
2027.5,23.3,12.7,12.5856,51,220,1.5
2028.5,24.4,12.2,12.0197,46,50,3
2029.5,26.1,10,9.84858,36,90,2
2030.5,25.5,6.6,6.63965,30,240,2
2031.5,25.5,1.6,1.5605,21,110,2
2032.5,25.5,3.8,4.01668,25,10,3
2033.5,23.8,5.5,5.64593,31,10,2
2034.5,20.5,5.5,5.30432,37,350,2
2035.5,18.3,7.2,7.09594,48,60,2
2036.5,16.6,5.5,5.54104,48,340,2.5
2037.5,16.1,7.2,7.31719,56,350,1.5
2038.5,17.2,6.1,6.08993,48,350,3.6
2039.5,15.5,8.3,8.2486,62,200,3
2040.5,15,7.2,7.29645,60,30,5.1
2041.5,13.8,5.5,5.42753,57,30,6.1
2042.5,13.8,2.7,2.68135,47,40,6.6
2043.5,14.4,1.1,0.970547,40,40,6.6
2044.5,15,-0.6,-0.735709,34,50,7.7
2045.5,14.4,-2.3,-2.51458,31,40,7.2
2046.5,13.8,-2.3,-2.61022,32,40,7.7
2047.5,13.8,-2.8,-3.03685,31,50,5.1
2048.5,15,-1.2,-1.56203,32,60,6.1
2049.5,15.5,0,0.102535,35,70,5.6
2050.5,16.1,1.1,1.02212,36,70,6.1
2051.5,16.6,1.6,1.46442,36,70,6.6
2052.5,16.1,3.8,3.84063,44,90,5.6
2053.5,11.6,9.4,9.33741,86,80,5.1
2054.5,11.1,10.5,10.486,96,70,6.6
2055.5,10,9.4,9.3914,96,60,7.7
2056.5,10,8.8,8.76007,92,60,6.1
2057.5,9.4,7.2,7.17699,86,70,8.2
2058.5,8.8,6.6,6.58773,86,60,5.6
2059.5,8.3,6.1,6.09665,86,60,6.6
2060.5,8.3,6.6,6.5941,89,60,7.7
2061.5,7.7,5.5,5.50734,86,60,6.6
2062.5,6.6,6.6,6.6,100,50,6.6
2063.5,6.1,6.1,6.1,100,60,6.6
2064.5,6.1,6.1,6.1,100,50,7.7
2065.5,5.5,5.5,5.5,100,60,6.1
2066.5,4.4,4.4,4.4,100,60,7.7
2067.5,5,5,5,100,60,6.6
2068.5,5.5,3.3,3.3463,86,60,5.6
2069.5,4.4,4.4,4.4,100,60,7.2
2070.5,5.5,0.5,0.467634,70,50,6.6
2071.5,5.5,5,5.06196,97,50,6.6
2072.5,5,5,5,100,360,4.1
2073.5,6.1,5.5,5.51039,96,360,5.1
2074.5,6.1,5.5,5.51039,96,350,4.6
2075.5,6.6,6.1,6.15799,97,360,5.6
2076.5,7.2,6.6,6.60507,96,10,5.6
2077.5,6.6,6.1,6.15799,97,320,5.6
2078.5,6.6,5.5,5.54951,93,360,3.6
2079.5,6.6,5.5,5.54951,93,350,5.1
2080.5,6.6,5,5.07783,90,330,3
2081.5,6.1,5,5.0538,93,360,4.1
2082.5,6.1,5,5.0538,93,360,4.1
2083.5,6.1,4.4,4.42437,89,10,4.6
2084.5,5.5,4.4,4.45893,93,360,4.1
2085.5,5.5,3.8,3.83258,89,10,3.6
2086.5,5.5,3.8,3.83258,89,340,4.1
2087.5,5,3.8,3.8095,92,10,3.6
2088.5,5,3.8,3.8095,92,30,3.6
2089.5,5,3.8,3.8095,92,350,2.5
2090.5,5,3.8,3.8095,92,350,4.1
2091.5,5,3.8,3.8095,92,330,3
2092.5,5,3.8,3.8095,92,320,3.6
2093.5,5,3.8,3.8095,92,340,3
2094.5,5,3.8,3.8095,92,20,2.5
2095.5,5,3.8,3.8095,92,360,2.5
2096.5,5.5,4.4,4.45893,93,330,1
2097.5,8.3,6.1,6.09665,86,300,2.5
2098.5,9.4,6.1,6.12517,80,300,2
2099.5,11.6,7.2,7.12342,74,300,3
2100.5,13.8,7.7,7.77744,67,310,2.5
2101.5,15.5,7.7,7.7664,60,290,3
2102.5,17.2,8.3,8.34222,56,270,2.5
2103.5,19.4,9.4,9.28524,52,150,2.5
2104.5,18.8,8.8,8.73148,52,90,1.5
2105.5,18.3,9.4,9.36694,56,90,2.5
2106.5,17.2,9.4,9.36381,60,200,1
2107.5,13.3,10,9.92169,80,120,1.5
2108.5,12.2,10,9.92656,86,50,1.5
2109.5,10.5,8.8,8.76356,89,310,0.5
2110.5,11.6,9.4,9.33741,86,10,1
2111.5,10,8.8,8.76007,92,110,1
2112.5,10,8.8,8.76007,92,50,2
2113.5,10,8.3,8.27052,89,80,2
2114.5,10.5,8.8,8.76356,89,90,2.5
2115.5,10.5,8.3,8.25724,86,60,3
2116.5,10.5,8.3,8.25724,86,80,3
2117.5,10,7.2,7.2462,83,80,3
2118.5,10.5,7.7,7.73514,83,90,3.6
2119.5,11.6,7.2,7.12342,74,80,5.6
2120.5,12.2,6.6,6.68007,69,80,6.1
2121.5,13.8,6.1,6.16833,60,80,5.6
2122.5,15,6.1,6.03084,55,40,5.6
2123.5,15.5,6.6,6.49594,55,50,5.6
2124.5,15.5,6.6,6.49594,55,60,3
2125.5,16.6,6.6,6.70012,52,70,4.1
2126.5,16.1,7.2,7.31719,56,70,4.6
2127.5,15.5,7.2,7.26983,58,60,5.1
2128.5,14.4,7.2,7.21058,62,60,4.6
2129.5,13.3,7.2,7.30108,67,10,5.1
2130.5,12.7,7.2,7.1582,69,60,4.1
2131.5,12.2,7.7,7.70204,74,80,2.5
2132.5,12.2,7.7,7.70204,74,70,3.6
2133.5,12.2,7.7,7.70204,74,70,3.6
2134.5,11.6,8.8,8.81071,83,140,1.5
2135.5,10.5,8.8,8.76356,89,110,3
2136.5,10,8.3,8.27052,89,130,3.6
2137.5,9.4,8.3,8.32535,93,130,3
2138.5,9.4,7.7,7.67886,89,70,2
2139.5,8.8,7.7,7.73055,93,50,3.6
2140.5,8.8,7.7,7.73055,93,30,3.6
2141.5,8.8,7.2,7.25038,90,10,2.5
2142.5,9.4,7.7,7.67886,89,60,3
2143.5,9.4,7.7,7.67886,89,40,4.1
2144.5,10,8.3,8.27052,89,30,3
2145.5,11.1,9.4,9.35518,89,40,4.1
2146.5,11.6,9.4,9.33741,86,10,3
2147.5,13.8,10,10.0293,78,60,4.1
2148.5,16.1,10.6,10.6243,70,50,4.1
2149.5,17.2,10.5,10.5597,65,90,3.6
2150.5,18.3,11.1,11.1308,63,100,3.6
2151.5,18.3,11.6,11.603,65,110,3
2152.5,18.3,11.6,11.603,65,60,2.5
2153.5,18.3,12.2,12.288,68,70,2.5
2154.5,16.6,12.7,12.7455,78,60,2
2155.5,16.6,12.7,12.7455,78,60,2.5
2156.5,16.1,12.7,12.6464,80,70,4.1
2157.5,14.8,10,13.678,93,50,4.4
2158.5,13.5,7.4,10.6683,83,100,4.7
2159.5,12.2,4.7,9.39735,83,330,5
2160.5,10.9,2,-6.43564,29,290,5.3
2161.5,9.6,-0.6,-4.3745,37,280,5.6
2162.5,8.3,-3.2,-5.53207,37,280,5.9
2163.5,7,-6,-6.69033,37,290,6.2
2164.5,6,-6,-6.90071,39,300,6.7
2165.5,6,-7,-7.93465,36,300,4.6
2166.5,7,-8,-8.9676,31,300,7.2
2167.5,8,-9,-10.3308,26,310,8.7
2168.5,11,-10,-11.094,20,340,8.2
2169.5,13,-10,-11.479,17,330,8.2
2170.5,15,-11,-12.2808,14,350,8.7
2171.5,16,-11,-12.4054,13,360,7.2
2172.5,18,-11,-11.8287,12,340,7.7
2173.5,19,-10,-11.0488,12,340,6.2
2174.5,19,-12,-13.3075,10,360,5.1
2175.5,20,-10,-11.3606,11,330,6.7
2176.5,19,-11,-12.1324,11,340,6.2
2177.5,18,-10,-10.8296,13,350,5.7
2178.5,15,-9,-9.85177,17,360,2.6
2179.5,13,-7,-7.64701,23,30,1.5
2180.5,11,-6,-6.8057,28,30,2.6
2181.5,11,-8,-8.79031,24,40,1.5
2182.5,7,-4,-4.41578,44,50,3.1
2183.5,11,-7,-7.76408,26,10,2.6
2184.5,10,-7,-7.66788,28,10,4.1
2185.5,9,-6,-6.80949,32,350,3.1
2186.5,8,-6,-6.9017,34,40,2.6
2187.5,5,-5,-5.65264,46,30,2.1
2188.5,5,-5,-5.65264,46,50,2.1
2189.5,5,-5,-5.65264,46,30,2.1
2190.5,7,-5,-5.67244,40,20,3.1
2191.5,11,-5,-5.47633,31,30,5.1
2192.5,13,-5,-5.56118,27,60,4.6
2193.5,15,-4,-4.34904,26,80,5.7
2194.5,16,-5,-5.70752,22,100,1.5
2195.5,18,-4,-4.65332,21,130,2.1
2196.5,19,-4,-4.47122,20,140,3.1
2197.5,19,-6,-6.6049,17,160,2.6
2198.5,19.7,-5.5,-6.03773,17,200,2.4
2199.5,20,-5,-5.79476,17,200,2.1
2200.5,20,-3,-3.64602,20,230,5.7
2201.5,18,-3,-3.44357,23,220,3.1
2202.5,16,-2,-2.50221,28,240,3.1
2203.5,15,-2,-2.4354,30,250,3.1
2204.5,10,1,1.12101,54,220,2.1
2205.5,9,1,0.938943,57,200,2.1
2206.5,8,2,2.03813,66,210,2.6
2207.5,6,3,2.98926,81,200,2.6
2208.5,6,1,0.947135,70,210,2.1
2209.5,5,2,2.01377,81,270,1.5
2210.5,4,1,1.03817,81,180,2.1
2211.5,5,1,0.94135,75,220,1.5
2212.5,5,1,0.94135,75,200,1.5
2213.5,9,0,-0.0661169,53,180,1
2214.5,8,4,4.02963,76,160,1.5
2215.5,13,1,1.03122,44,200,2.6
2216.5,16,0,0.143412,34,250,3.1
2217.5,19,1,1.02789,30,290,3.6
2218.5,21,1,0.758018,26,260,3.6
2219.5,23,2,1.90651,25,260,3.1
2220.5,24,-3,-3.37414,16,260,2.6
2221.5,24,-2,-2.56047,17,250,2.6
2222.5,25,-2,-2.57273,16,250,3.1
2223.5,25,-3,-3.43864,15,240,2.6
2224.5,24,-3,-3.37414,16,240,4.1
2225.5,23,0,0.132049,22,210,2.1
2226.5,17,1,1.0221,34,210,3.1
2227.5,15,2,1.85292,41,220,0.5
2228.5,13,3,3.09855,51,220,1.5
2229.5,10,5,4.985,71,220,2.6
2230.5,11,5,4.89346,66,200,2.6
2231.5,12,4,3.99219,58,210,3.6
2232.5,11,4,4.0005,62,220,3.6
2233.5,12,3,2.97965,54,210,3.1
2234.5,10,3,3.05589,62,190,3.1
2235.5,10,3,3.05589,62,200,3.1
2236.5,10,3,3.05589,62,190,2.6
2237.5,10,3,3.05589,62,190,2.1
2238.5,11,5,4.89346,66,190,2.1
2239.5,16,4,4.06961,45,240,5.1
2240.5,18,5,4.89218,42,240,5.1
2241.5,22,7,7.02092,38,240,5.1
2242.5,24,6,5.81912,31,250,5.1
2243.5,25,4,4.15244,26,240,5.7
2244.5,26,3,3.25332,23,250,4.1
2245.5,27,4,4.08797,23,230,2.1
2246.5,27,3,2.7994,21,210,2.6
2247.5,27,4,4.08797,23,190,5.1
2248.5,26,4,3.85672,24,190,5.1
2249.5,25,5,5.21296,28,200,4.1
2250.5,21,6,6.13275,38,190,2.6
2251.5,18,7,7.12229,49,200,2.1
2252.5,17,8,7.89086,55,190,3.6
2253.5,15,7,7.05096,59,200,2.6
2254.5,14,7,7.06632,63,0,0
2255.5,13,7,7.01524,67,280,0.5
2256.5,13,7,7.01524,67,200,2.1
2257.5,13,9,9.06149,77,210,2.6
2258.5,14,10,10.0303,77,210,2.1
2259.5,14,10,10.0303,77,180,1.5
2260.5,12,10,10.0735,88,100,2.1
2261.5,12,10,10.0735,88,160,1.5
2262.5,13,11,11.0581,88,180,0.5
2263.5,16,12,11.9674,77,190,1
2264.5,20,12,11.9934,60,200,2.6
2265.5,23,11,11.0723,47,210,5.1
2266.5,24,9,8.79607,38,230,4.6
2267.5,26,11,10.9603,39,200,5.7
2268.5,26,10,10.1699,37,200,5.7
2269.5,26,10,10.1699,37,160,5.7
2270.5,27,12,11.8493,39,170,7.2
2271.5,26,12,12.0815,42,180,6.7
2272.5,26,12,12.0815,42,160,6.7
2273.5,24,13,12.9259,50,170,7.2
2274.5,22,15,14.8695,64,140,4.6
2275.5,21,16,15.9693,73,170,5.1
2276.5,19,16,16.0436,83,170,4.6
2277.5,19,16,16.0436,83,160,3.1
2278.5,18,16,15.9802,88,170,3.1
2279.5,18,16,15.9802,88,180,3.1
2280.5,17,16,16.026,94,150,2.1
2281.5,16.5,15.6,15.5298,94,150,1.6
2282.5,16,15,15.0336,94,140,1
2283.5,16,16,16,100,120,1
2284.5,16,16,16,100,130,2.1
2285.5,16,16,16,100,160,2.1
2286.5,18,17,17.0183,94,180,3.6
2287.5,20,17,17.0207,83,200,8.7
2288.5,22,16,16.0438,69,200,8.2
2289.5,24,15,14.9469,57,190,7.2
2290.5,26,15,15.0674,51,190,7.2
2291.5,26,15,15.0674,51,190,7.2
2292.5,27,15,15.0393,48,200,7.7
2293.5,27,15,15.0393,48,190,6.7
2294.5,27,16,15.9861,51,220,6.2
2295.5,25,17,16.9455,61,220,5.1
2296.5,20,19,19.003,94,250,8.2
2297.5,20,19,19.003,94,190,3.6
2298.5,19,19,19,100,150,2.6
2299.5,19,19,19,100,170,3.6
2300.5,19,19,19,100,180,3.1
2301.5,20,19,19.003,94,190,2.1
2302.5,19,19,19,100,190,3.6
2303.5,19,18,18.0107,94,190,3.1
2304.5,18,18,18,100,210,3.1
2305.5,18,17,17.0183,94,210,4.1
2306.5,18,17,17.0183,94,240,5.1
2307.5,18,17,17.0183,94,250,5.1
2308.5,17,17,17,100,240,3.6
2309.5,16.3,16.3,16.3,100,240,3.6
2310.5,17,17,17,100,230,3.6
2311.5,20,17,17.0207,83,250,6.2
2312.5,21,17,17.012,78,260,3.6
2313.5,23,16,16.0582,65,240,5.7
2314.5,26,14,14.1274,48,260,6.2
2315.5,26,11,10.9603,39,280,8.2
2316.5,27,9,8.88403,32,270,4.6
2317.5,28,7,6.69288,26,250,7.2
2318.5,27,2,2.11395,20,260,7.2
2319.5,26,0,-0.1641,18,260,7.2
2320.5,25,2,1.79545,22,270,7.7
2321.5,24,2,2.17743,24,270,6.2
2322.5,21,2,1.78892,28,280,3.6
2323.5,19,2,1.92721,32,280,3.6
2324.5,18,3,3.08866,37,300,3.6
2325.5,18,0,0.162778,30,320,4.6
2326.5,16,-1,-1.12268,31,320,5.1
2327.5,15,-2,-2.4354,30,330,5.1
2328.5,13,-1,-0.986814,38,330,4.1
2329.5,13,-2,-2.10398,35,330,5.7
2330.5,11,-3,-3.49531,36,330,4.1
2331.5,10,-3,-3.31611,39,340,4.1
2332.5,9,-4,-4.55611,38,350,2.6
2333.5,8,-4,-4.44673,41,320,2.6
2334.5,9,-4,-4.55611,38,350,3.1
2335.5,12,-4,-4.60467,31,10,6.7
2336.5,14.1,-4.9,-5.63236,25,20,6.7
2337.5,16,-6,-6.95034,20,20,6.7
2338.5,17,-6,-6.79149,19,30,7.2
2339.5,19,-6,-6.6049,17,40,5.7
2340.5,19,-8,-9.10332,14,50,5.7
2341.5,20,-8,-9.25658,13,50,4.6
2342.5,20,-8,-9.25658,13,350,2.1
2343.5,19,-7,-8.22172,15,50,1
2344.5,19,-6,-6.6049,17,100,3.1
2345.5,19,-3,-3.20148,22,160,2.1
2346.5,16,1,0.933647,36,210,2.6
2347.5,14,3,2.86405,47,230,1.5
2348.5,13,4,3.90858,54,210,1.5
2349.5,12,5,4.9449,62,200,2.1
