,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Apr 15, 11:00 am",3177.84,12.3,14.4467,915,3306.13,131,929,39.7837,1033.92,3.17784,1,1,1033.76,2.2
"Apr 15, 12:00 pm",3228.91,13.9,6.5336,920,3359.69,133,955,42.307,1064.09,3.22891,1,1,1064.07,2.2
"Apr 15, 01:00 pm",3046.81,14.7,17.4001,869,3168.85,147,895,41.6107,1000.33,3.04681,1,1,1000.06,2.2
"Apr 15, 02:00 pm",2667.73,15.5,31.432,797,2772.61,168,787,40.0439,869.804,2.66773,1,1,868.078,1.9
"Apr 15, 03:00 pm",2052.87,16.3,45.7762,627,2132.88,201,606,35.0016,656.883,2.05287,1,1,651.178,1.9
"Apr 15, 04:00 pm",1496.73,16.4,60.164,727,1557.33,111,459,29.9121,483.662,1.49673,1,1,463.82,1.9
"Apr 15, 05:00 pm",679.304,16.6,74.5005,545,716.643,89,245,22.7221,237.672,0.679304,1,1,206.301,2.1
"Apr 15, 06:00 pm",84.6359,16.7,87.8039,114,108.908,33,44,16.5249,33.9511,0.0846359,1,3,30.4733,2.1
"Apr 15, 07:00 pm",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,2.1
"Apr 15, 08:00 pm",0,15.1,0,0,0,0,0,15.1,0,0,1,0,0,1.8
"Apr 15, 09:00 pm",0,14.3,0,0,0,0,0,14.3,0,0,1,0,0,1.8
"Apr 15, 10:00 pm",0,13.4,0,0,0,0,0,13.4,0,0,1,0,0,1.8
"Apr 15, 11:00 pm",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,2.9
"Apr 16, 12:00 am",0,11.4,0,0,0,0,0,11.4,0,0,1,0,0,2.9
"Apr 16, 01:00 am",0,10.4,0,0,0,0,0,10.4,0,0,1,0,0,2.9
"Apr 16, 02:00 am",0,9.3,0,0,0,0,0,9.3,0,0,1,0,0,2.1
"Apr 16, 03:00 am",0,8.2,0,0,0,0,0,8.2,0,0,1,0,0,2.1
"Apr 16, 04:00 am",0,7.5,0,0,0,0,0,7.5,0,0,1,0,0,2.1
"Apr 16, 05:00 am",0,6.8,93.0865,6,3.64753,1,1,4.94483,0.969846,0,1,2,0.969846,2.6
"Apr 16, 06:00 am",164.358,6.1,85.4411,88,190.195,52,63,5.55066,55.0834,0.164358,1,1,50.7031,2.6
"Apr 16, 07:00 am",860.927,7.7,71.2225,586,902.901,85,280,13.1244,278.539,0.860927,1,1,248.815,2.6
"Apr 16, 08:00 am",1724.36,9.3,56.8639,733,1792.55,118,500,22.3853,531.183,1.72436,1,1,515.219,2.2
"Apr 16, 09:00 am",2432.47,10.9,42.4685,851,2527.41,116,696,30.5761,760.905,2.43247,1,1,755.149,2.2
"Apr 16, 10:00 am",2884.97,13.4,28.137,895,2999.51,125,843,37.8239,929.995,2.88497,1,1,928.692,2.2
"Apr 16, 11:00 am",3240.39,15.8,14.2332,913,3371.73,131,930,35.6056,1032.64,3.24039,1,1,1032.48,5.2
"Apr 16, 12:00 pm",3289.45,18.3,6.20577,920,3423.2,134,958,38.8791,1065.52,3.28945,1,1,1065.5,5.2
"Apr 16, 01:00 pm",3111.51,18.9,17.3193,891,3236.61,138,907,38.3996,1005.26,3.11151,1,1,1005,5.2
"Apr 16, 02:00 pm",2764.81,19.5,31.3996,888,2873.94,123,815,38.8546,896.342,2.76481,1,1,894.427,4.3
"Apr 16, 03:00 pm",2224.69,20.1,45.7551,840,2311.28,113,658,35.532,715.126,2.22469,1,1,707.497,4.3
"Apr 16, 04:00 pm",1494.43,20.2,60.142,754,1554.96,99,462,30.4821,484.935,1.49443,1,1,464.386,4.3
"Apr 16, 05:00 pm",672.584,20.3,74.4713,547,709.757,89,247,25.3727,238.324,0.672584,1,1,206.869,3.5
"Apr 16, 06:00 pm",76.7209,20.4,87.8632,122,100.841,31,42,20.1939,32.3353,0.0767209,1,3,28.6918,3.5
"Apr 16, 07:00 pm",0,19,0,0,0,0,0,19,0,0,1,0,0,3.5
"Apr 16, 08:00 pm",0,17.5,0,0,0,0,0,17.5,0,0,1,0,0,3.1
"Apr 16, 09:00 pm",0,16,0,0,0,0,0,16,0,0,1,0,0,3.1
"Apr 16, 10:00 pm",0,15.1,0,0,0,0,0,15.1,0,0,1,0,0,3.1
"Apr 16, 11:00 pm",0,14.1,0,0,0,0,0,14.1,0,0,1,0,0,2.9
"Apr 17, 12:00 am",0,13.2,0,0,0,0,0,13.2,0,0,1,0,0,2.9
"Apr 17, 01:00 am",0,12.2,0,0,0,0,0,12.2,0,0,1,0,0,2.9
"Apr 17, 02:00 am",0,11.2,0,0,0,0,0,11.2,0,0,1,0,0,2.3
"Apr 17, 03:00 am",0,10.2,0,0,0,0,0,10.2,0,0,1,0,0,2.3
"Apr 17, 04:00 am",0,10,0,0,0,0,0,10,0,0,1,0,0,2.3
"Apr 17, 05:00 am",0,9.9,93.0979,4,3.6003,1,1,7.95979,0.969846,0,1,2,0.969846,2.1
"Apr 17, 06:00 am",158.114,9.7,85.2928,52,183.827,52,59,9.07295,52.3931,0.158114,1,1,49.7602,2.1
"Apr 17, 07:00 am",482.9,11.2,71.0825,48,515.567,134,150,13.3272,144.624,0.4829,1,1,142.204,2.1
"Apr 17, 08:00 am",413.52,12.7,56.7298,0,444.622,129,129,14.2734,123.155,0.41352,1,1,123.155,3.4
"Apr 17, 09:00 am",796.447,14.2,42.3341,10,836.742,237,244,18.3811,236.175,0.796448,1,1,236.108,3.4
"Apr 17, 10:00 am",518.677,15.2,27.9895,0,552.169,162,162,17.7798,155.383,0.518677,1,1,155.383,3.4
"Apr 17, 11:00 am",739.376,16.3,14.0283,9,778.214,220,228,19.919,221.145,0.739376,1,1,221.143,4.2
"Apr 17, 12:00 pm",1986.26,17.4,5.88385,242,2063.79,350,567,29.5639,613.633,1.98626,1,1,613.629,4.2
"Apr 17, 01:00 pm",463.027,17.4,17.2449,1,495.242,146,147,20.2358,140.937,0.463027,1,1,140.937,4.2
