,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Dec 5, 07:00 pm",0,-5,0,0,0,0,0,-5,0,0,1,0,0,8.2
"Dec 5, 08:00 pm",0,-5,0,0,0,0,0,-5,0,0,1,0,0,7.2
"Dec 5, 09:00 pm",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,8.8
"Dec 5, 10:00 pm",0,-6.7,0,0,0,0,0,-6.7,0,0,1,0,0,7.7
"Dec 5, 11:00 pm",0,-6.7,0,0,0,0,0,-6.7,0,0,1,0,0,7.2
"Dec 6, 12:00 am",0,-7.2,0,0,0,0,0,-7.2,0,0,1,0,0,6.2
"Dec 6, 01:00 am",0,-7.8,0,0,0,0,0,-7.8,0,0,1,0,0,6.2
"Dec 6, 02:00 am",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,5.7
"Dec 6, 03:00 am",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,6.7
"Dec 6, 04:00 am",0,-8.9,0,0,0,0,0,-8.9,0,0,1,0,0,6.7
"Dec 6, 05:00 am",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,6.7
"Dec 6, 06:00 am",0,-10.6,0,0,0,0,0,-10.6,0,0,1,0,0,5.2
"Dec 6, 07:00 am",155.302,-10.6,76.7295,126,180.959,15,27,-11.0948,52.728,0.155302,1,2,45.0141,4.6
"Dec 6, 08:00 am",954.199,-8.9,67.1495,570,998.672,39,148,-5.65885,277.649,0.954199,1,1,253.971,7.2
"Dec 6, 09:00 am",1825.2,-7.8,55.8415,767,1896.91,55,314,-0.699685,507.958,1.8252,1,1,492.432,7.2
"Dec 6, 10:00 am",2466.47,-6.7,46.406,859,2562.81,68,450,3.95973,686.809,2.46647,1,1,678.556,6.7
"Dec 6, 11:00 am",2772.31,-5,40.2261,895,2881.78,75,529,8.08764,781.624,2.77231,1,1,776.724,6.2
"Dec 6, 12:00 pm",2814.25,-4.4,38.8978,903,2925.6,76,545,10.8054,802.319,2.81425,1,1,797.976,5.2
"Dec 6, 01:00 pm",2594.67,-3.9,42.876,880,2696.4,72,496,10.1358,739.478,2.59467,1,1,733.298,5.2
"Dec 6, 02:00 pm",2106.37,-2.2,50.9271,821,2188.4,62,386,9.14311,604.016,2.10637,1,1,592.56,5.2
"Dec 6, 03:00 pm",1382.47,-5.6,61.4569,695,1439.45,47,233,2.2066,398.916,1.38247,1,1,378.287,4.6
"Dec 6, 04:00 pm",429.97,-4.4,73.3439,303,461.439,32,65,-1.99035,135.894,0.42997,1,1,119.143,3.6
"Dec 6, 05:00 pm",0,-5.6,79.7473,9,7.90605,1,3,-6.96222,2.57175,0,1,3,1.99987,4.1
"Dec 6, 06:00 pm",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,4.6
"Dec 6, 07:00 pm",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,5.2
"Dec 6, 08:00 pm",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,6.2
"Dec 6, 09:00 pm",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,5.2
"Dec 6, 10:00 pm",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,5.2
"Dec 6, 11:00 pm",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,5.2
"Dec 7, 12:00 am",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,6.2
"Dec 7, 01:00 am",0,-7.2,0,0,0,0,0,-7.2,0,0,1,0,0,4.6
"Dec 7, 02:00 am",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,6.7
"Dec 7, 03:00 am",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,5.7
"Dec 7, 04:00 am",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,6.2
"Dec 7, 05:00 am",0,-6.7,0,0,0,0,0,-6.7,0,0,1,0,0,6.2
"Dec 7, 06:00 am",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,5.7
"Dec 7, 07:00 am",106.995,-5,76.7743,48,131.7,22,27,-5.71332,36.4266,0.106995,1,2,33.4851,5.7
"Dec 7, 08:00 am",719.212,-3.3,67.2913,344,757.544,58,123,-1.51673,210.384,0.719212,1,1,195.985,9.8
"Dec 7, 09:00 am",1685.39,-0.6,55.9903,729,1752.25,51,295,4.61572,480.167,1.68539,1,1,465.25,10.3
"Dec 7, 10:00 am",1632.16,1.7,46.5559,428,1697.22,132,322,7.23151,459.917,1.63216,1,1,455.752,9.3
"Dec 7, 11:00 am",2332.61,3.3,40.363,650,2423.48,131,460,11.6076,666.97,2.33261,1,1,663.365,9.3
"Dec 7, 12:00 pm",2514.45,5.6,39.0002,691,2612.79,147,505,14.2551,727.012,2.51445,1,1,723.655,10.3
"Dec 7, 01:00 pm",1896.6,7.2,42.9313,441,1970.85,183,395,13.6505,547.501,1.8966,1,1,544.388,10.3
"Dec 7, 02:00 pm",1569.72,7.8,50.9403,516,1632.71,100,304,13.3982,457.686,1.56972,1,1,450.479,9.3
"Dec 7, 03:00 pm",1010.1,7.2,61.439,435,1056.11,68,184,10.6174,300.721,1.0101,1,1,287.824,9.3
"Dec 7, 04:00 pm",469.692,6.1,73.3034,413,502.058,25,69,7.68371,157.879,0.469692,1,1,135.082,7.7
"Dec 7, 05:00 pm",0,4.4,79.7001,19,15.6259,2,5,3.52735,5.33689,0,1,3,4.12963,7.7
"Dec 7, 06:00 pm",0,3.3,0,0,0,0,0,3.3,0,0,1,0,0,7.7
"Dec 7, 07:00 pm",0,2.2,0,0,0,0,0,2.2,0,0,1,0,0,8.2
"Dec 7, 08:00 pm",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,7.7
"Dec 7, 09:00 pm",0,2.8,0,0,0,0,0,2.8,0,0,1,0,0,7.2
"Dec 7, 10:00 pm",0,4.4,0,0,0,0,0,4.4,0,0,1,0,0,9.3
"Dec 7, 11:00 pm",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,10.3
"Dec 8, 12:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,10.3
"Dec 8, 01:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,9.3
"Dec 8, 02:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,10.3
"Dec 8, 03:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,7.2
"Dec 8, 04:00 am",0,6.7,0,0,0,0,0,6.7,0,0,1,0,0,8.2
"Dec 8, 05:00 am",0,7.8,0,0,0,0,0,7.8,0,0,1,0,0,7.2
"Dec 8, 06:00 am",0,9.4,0,0,0,0,0,9.4,0,0,1,0,0,3.1
"Dec 8, 07:00 am",28.9985,13.9,76.8196,1,52.2118,15,15,13.1219,14.4493,0.0289985,1,2,14.388,8.2
"Dec 8, 08:00 am",390.669,13.9,67.431,128,421.264,60,84,14.8056,122.362,0.390669,1,1,116.964,6.7
"Dec 8, 09:00 am",442.9,15.6,56.1357,13,474.659,125,130,16.7211,133.2,0.4429,1,1,132.931,7.7
"Dec 8, 10:00 am",564.163,12.8,46.7009,2,598.721,164,165,14.2091,165.811,0.564163,1,1,165.792,9.3
"Dec 8, 11:00 am",602.075,11.1,40.4936,3,637.536,174,175,12.7867,175.44,0.602075,1,1,175.424,8.2
"Dec 8, 12:00 pm",812.764,7.2,39.0953,0,853.48,227,227,9.2543,231.212,0.812764,1,1,231.212,10.8
"Dec 8, 01:00 pm",731.525,5,42.9796,8,770.166,198,201,6.71641,206.407,0.731525,1,1,206.35,11.3
"Dec 8, 02:00 pm",577.884,2.2,50.9474,3,612.766,158,159,3.32874,161.848,0.577884,1,1,161.806,11.8
"Dec 8, 03:00 pm",1148.76,1.1,61.4156,423,1198.7,101,213,4.01669,329.981,1.14876,1,1,317.458,12.4
"Dec 8, 04:00 pm",331.986,-0.6,73.2583,116,361.303,50,62,-0.0969415,100.423,0.331986,1,1,94.0309,11.3
"Dec 8, 05:00 pm",0,-1.7,79.6528,1,0.450722,0,1,-2.60804,0.179613,0,1,3,0.116077,9.3
"Dec 8, 06:00 pm",0,-3.3,0,0,0,0,0,-3.3,0,0,1,0,0,8.8
"Dec 8, 07:00 pm",0,-3.3,0,0,0,0,0,-3.3,0,0,1,0,0,9.3
"Dec 8, 08:00 pm",0,-4.4,0,0,0,0,0,-4.4,0,0,1,0,0,9.3
"Dec 8, 09:00 pm",0,-6.7,0,0,0,0,0,-6.7,0,0,1,0,0,9.3
"Dec 8, 10:00 pm",0,-7.8,0,0,0,0,0,-7.8,0,0,1,0,0,9.3
"Dec 8, 11:00 pm",0,-8.9,0,0,0,0,0,-8.9,0,0,1,0,0,9.3
"Dec 9, 12:00 am",0,-10,0,0,0,0,0,-10,0,0,1,0,0,9.3
"Dec 9, 01:00 am",0,-11.1,0,0,0,0,0,-11.1,0,0,1,0,0,8.8
"Dec 9, 02:00 am",0,-11.1,0,0,0,0,0,-11.1,0,0,1,0,0,8.8
"Dec 9, 03:00 am",0,-11.7,0,0,0,0,0,-11.7,0,0,1,0,0,8.2
"Dec 9, 04:00 am",0,-12.2,0,0,0,0,0,-12.2,0,0,1,0,0,7.7
"Dec 9, 05:00 am",0,-12.8,0,0,0,0,0,-12.8,0,0,1,0,0,6.7
"Dec 9, 06:00 am",0,-12.8,0,0,0,0,0,-12.8,0,0,1,0,0,5.2
"Dec 9, 07:00 am",163.888,-12.8,76.8656,156,189.716,13,29,-13.1758,56.38,0.163888,1,2,46.8012,5.2
"Dec 9, 08:00 am",839.318,-11.1,67.5684,468,880.725,43,129,-8.29959,241.452,0.839318,1,1,221.572,6.7
"Dec 9, 09:00 am",1718.14,-9.4,56.2776,705,1786.12,58,290,-3.93865,472.185,1.71814,1,1,457.459,9.3
"Dec 9, 10:00 am",2456.56,-8.3,46.8408,865,2552.49,64,443,1.21421,676.606,2.45656,1,1,667.981,7.7
"Dec 9, 11:00 am",2807.05,-6.7,40.6176,904,2918.07,71,524,4.57423,779.795,2.80705,1,1,774.656,7.7
"Dec 9, 12:00 pm",2839.74,-5.6,39.1832,906,2952.23,72,539,7.19172,797.102,2.83974,1,1,792.62,6.7
"Dec 9, 01:00 pm",2605.64,-6.1,43.021,902,2707.84,63,494,10.2731,743.272,2.60564,1,1,736.853,4.1
"Dec 9, 02:00 pm",2012.59,-5,50.9483,764,2091.09,59,359,3.91392,564.228,2.01259,1,1,553.55,6.7
"Dec 9, 03:00 pm",1346.17,-5,61.387,670,1402.02,47,225,1.90942,387.785,1.34617,1,1,367.987,5.2
"Dec 9, 04:00 pm",508.537,-6.1,73.2088,430,541.795,24,70,-3.81288,162.488,0.508537,1,1,138.836,5.2
"Dec 9, 05:00 pm",0,-7.8,79.6053,20,17.0543,2,6,-9.03961,5.54826,0,1,3,4.27765,4.1
"Dec 9, 06:00 pm",0,-7.8,0,0,0,0,0,-7.8,0,0,1,0,0,4.1
"Dec 9, 07:00 pm",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,4.1
