,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Apr 9, 10:00 am",1939.36,21.6,30.248,261,2015.16,357,566,29.1825,598.568,1.93936,1,1,598.076,9.1
"Apr 9, 11:00 am",2629.14,23.9,15.6497,495,2732.35,346,785,39.1661,851.805,2.62914,1,1,851.695,5.6
"Apr 9, 12:00 pm",2950.2,26.3,3.52348,644,3067.73,307,897,44.2713,981.468,2.9502,1,1,981.464,5.6
"Apr 9, 01:00 pm",3003.73,27.9,14.7556,717,3123.75,288,926,46.6029,1011.71,3.00373,1,1,1011.57,5.6
"Apr 9, 02:00 pm",631.732,29.5,29.3344,17,667.908,189,203,31.8518,200.825,0.631732,1,1,200.797,11.3
"Apr 9, 03:00 pm",2231.82,31.1,44.0385,686,2318.69,217,680,39.3242,728.683,2.23182,1,1,723.33,11.3
"Apr 9, 04:00 pm",1511.62,30.6,58.7492,686,1572.71,133,476,36.3894,500.495,1.51162,1,1,483.465,11.3
"Apr 9, 05:00 pm",636.128,30.1,73.422,428,672.41,103,230,33.1487,227.161,0.636128,1,1,203.431,8
"Apr 9, 06:00 pm",63.6907,29.6,86.7643,123,87.5608,26,38,29.4814,30.9943,0.0636907,1,3,26.0243,8
"Apr 9, 07:00 pm",0,28,0,0,0,0,0,28,0,0,1,0,0,8
"Apr 9, 08:00 pm",0,26.5,0,0,0,0,0,26.5,0,0,1,0,0,3.8
"Apr 9, 09:00 pm",0,24.9,0,0,0,0,0,24.9,0,0,1,0,0,3.8
"Apr 9, 10:00 pm",0,23.6,0,0,0,0,0,23.6,0,0,1,0,0,3.8
"Apr 9, 11:00 pm",0,22.3,0,0,0,0,0,22.3,0,0,1,0,0,5.2
"Apr 10, 12:00 am",0,21,0,0,0,0,0,21,0,0,1,0,0,5.2
"Apr 10, 01:00 am",0,19.7,0,0,0,0,0,19.7,0,0,1,0,0,5.2
"Apr 10, 02:00 am",0,18.5,0,0,0,0,0,18.5,0,0,1,0,0,5
"Apr 10, 03:00 am",0,17.3,0,0,0,0,0,17.3,0,0,1,0,0,5
"Apr 10, 04:00 am",0,16.2,0,0,0,0,0,16.2,0,0,1,0,0,5
"Apr 10, 05:00 am",0,15,0,0,0,0,0,15,0,0,1,0,0,9.9
"Apr 10, 06:00 am",24.2218,13.9,87.2443,183,47.3455,12,28,13.3016,19.6717,0.0242218,1,2,13.0574,9.9
"Apr 10, 07:00 am",642.347,14.2,74.2206,441,678.78,93,220,16.1189,214.73,0.642347,1,1,189.58,9.9
"Apr 10, 08:00 am",1552.29,14.6,59.5509,705,1614.71,112,459,21.2896,480.226,1.55229,1,1,461.752,7.3
"Apr 10, 09:00 am",2272.05,15,44.8386,748,2360.5,146,646,25.3149,694.084,2.27205,1,1,687.815,7.3
"Apr 10, 10:00 am",2827.37,16.3,30.1241,719,2939.3,229,807,29.6887,875.806,2.82737,1,1,874.471,7.3
"Apr 10, 11:00 am",2191.21,17.5,15.4966,249,2276.49,412,633,28.5267,673.571,2.19121,1,1,673.517,6.7
"Apr 10, 12:00 pm",3021.35,18.8,3.14699,567,3142.18,358,879,34.2474,955.773,3.02135,1,1,955.771,6.7
"Apr 10, 01:00 pm",2608.81,19.6,14.7318,467,2711.15,340,757,33.1509,820.328,2.60881,1,1,820.24,6.7
"Apr 10, 02:00 pm",2505.6,20.4,29.3453,564,2603.57,286,743,36.2315,800.689,2.5056,1,1,799.735,4.9
"Apr 10, 03:00 pm",1661.62,21.3,44.0552,263,1727.67,322,500,31.6519,520.95,1.66162,1,1,518.895,4.9
"Apr 10, 04:00 pm",974.886,21,58.7636,123,1019.92,239,301,26.5854,302.035,0.974886,1,1,298.978,4.9
"Apr 10, 05:00 pm",551.892,20.7,73.4297,209,586.161,122,185,23.083,180.614,0.551893,1,1,169.023,6.3
"Apr 10, 06:00 pm",76.8425,20.5,86.841,42,100.964,30,34,20.152,30.3914,0.0768425,1,3,28.7215,6.3
"Apr 10, 07:00 pm",0,19.1,0,0,0,0,0,19.1,0,0,1,0,0,6.3
"Apr 10, 08:00 pm",0,17.8,0,0,0,0,0,17.8,0,0,1,0,0,5
"Apr 10, 09:00 pm",0,16.4,0,0,0,0,0,16.4,0,0,1,0,0,5
"Apr 10, 10:00 pm",0,15.2,0,0,0,0,0,15.2,0,0,1,0,0,5
"Apr 10, 11:00 pm",0,14,0,0,0,0,0,14,0,0,1,0,0,6.2
"Apr 11, 12:00 am",0,12.7,0,0,0,0,0,12.7,0,0,1,0,0,6.2
"Apr 11, 01:00 am",0,11.9,0,0,0,0,0,11.9,0,0,1,0,0,6.2
"Apr 11, 02:00 am",0,11,0,0,0,0,0,11,0,0,1,0,0,6.7
"Apr 11, 03:00 am",0,10.2,0,0,0,0,0,10.2,0,0,1,0,0,6.7
"Apr 11, 04:00 am",0,9.4,0,0,0,0,0,9.4,0,0,1,0,0,6.7
"Apr 11, 05:00 am",0,8.6,0,0,0,0,0,8.6,0,0,1,0,0,7
"Apr 11, 06:00 am",22.8042,7.8,87.2554,0,45.9014,13,13,6.87396,12.3067,0.0228042,1,2,12.3067,7
"Apr 11, 07:00 am",300.674,9.3,74.0954,0,329.321,94,94,9.60649,89.3526,0.300674,1,1,89.3526,7
"Apr 11, 08:00 am",896.549,10.9,59.4323,91,939.468,221,266,14.3432,262.669,0.896549,1,1,260.304,6.2
"Apr 11, 09:00 am",699.281,12.4,44.7233,7,737.115,208,213,15.0766,204.967,0.699281,1,1,204.909,6.2
"Apr 11, 10:00 am",1688.16,14.7,30.0055,140,1755.11,376,489,22.5205,505.03,1.68816,1,1,504.773,6.2
"Apr 11, 11:00 am",499.074,17,15.3527,2,532.113,155,157,19.0673,150.621,0.499074,1,1,150.62,6.3
"Apr 11, 12:00 pm",504.694,19.4,2.773,1,537.863,159,160,21.115,153.687,0.504694,1,1,153.687,6.3
"Apr 11, 01:00 pm",501.5,20.5,14.7166,1,534.595,159,160,22.2329,153.546,0.5015,1,1,153.546,6.3
"Apr 11, 02:00 pm",416.814,21.6,29.3597,0,447.989,135,135,22.959,129.106,0.416814,1,1,129.106,6.1
"Apr 11, 03:00 pm",507.722,22.7,44.0735,0,540.96,164,164,24.5346,157.051,0.507722,1,1,157.051,6.1
"Apr 11, 04:00 pm",467.243,22.7,58.7785,1,499.553,151,152,24.3587,144.935,0.467243,1,1,144.91,6.1
"Apr 11, 05:00 pm",210.486,22.8,73.4373,0,237.256,72,72,23.0298,68.3971,0.210486,1,1,68.3971,8.6
"Apr 11, 06:00 pm",32.7591,22.9,86.9168,0,56.043,17,17,22.3261,16.1035,0.0327591,1,3,16.1035,8.6
"Apr 11, 07:00 pm",0,21.8,0,0,0,0,0,21.8,0,0,1,0,0,8.6
"Apr 11, 08:00 pm",0,20.7,0,0,0,0,0,20.7,0,0,1,0,0,9.9
"Apr 11, 09:00 pm",0,19.6,0,0,0,0,0,19.6,0,0,1,0,0,9.9
"Apr 11, 10:00 pm",0,19.1,0,0,0,0,0,19.1,0,0,1,0,0,9.9
"Apr 11, 11:00 pm",0,18.6,0,0,0,0,0,18.6,0,0,1,0,0,11.2
"Apr 12, 12:00 am",0,18.1,0,0,0,0,0,18.1,0,0,1,0,0,11.2
"Apr 12, 01:00 am",0,17.3,0,0,0,0,0,17.3,0,0,1,0,0,11.2
